Quarter,Time,Down,ToGo,Location,JAX,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 68 yards, returned by Devontae Booker for 25 yards (tackle by Jarrod Wilson)",0.000,0.410
1,14:55,1,10,DEN 22,0,0,Joe Flacco pass complete short left to Emmanuel Sanders for 13 yards (tackle by Ronnie Harrison),0.410,1.270
1,14:18,1,10,DEN 35,0,0,Phillip Lindsay up the middle for 2 yards (tackle by Myles Jack),1.270,0.990
1,13:36,2,8,DEN 37,0,0,Joe Flacco pass complete short right to Courtland Sutton for 5 yards (tackle by Jarrod Wilson),0.990,0.960
1,12:56,3,3,DEN 42,0,0,Joe Flacco pass complete short middle to Courtland Sutton for 10 yards (tackle by Jarrod Wilson),0.960,2.390
1,12:17,1,10,JAX 48,0,0,Joe Flacco pass incomplete deep left intended for Emmanuel Sanders,2.390,1.850
1,12:12,2,10,JAX 48,0,0,Joe Flacco pass complete short right to Diontae Spencer for 8 yards (tackle by A.J. Bouye),1.850,2.210
1,11:38,3,2,JAX 40,0,0,Phillip Lindsay left end for 1 yard (tackle by Quincy Williams and A.J. Bouye),2.210,0.660
1,11:14,4,1,JAX 39,0,0,Colby Wadman punts 38 yards downed by Davontae Harris,0.660,0.380
1,11:06,1,10,JAX 1,0,0,Gardner Minshew up the middle for 2 yards (tackle by Shelby Harris),-0.380,-0.630
1,10:25,2,8,JAX 3,0,0,Leonard Fournette left tackle for 4 yards (tackle by Adam Gotsis),-0.630,-0.720
1,9:40,3,4,JAX 7,0,0,"Penalty on Cam Robinson: False Start, 3 yards (no play)",-0.720,-1.070
1,9:24,3,7,JAX 4,0,0,Gardner Minshew pass incomplete deep right intended for Chris Conley,-1.070,-2.490
1,9:19,4,7,JAX 4,0,0,"Logan Cooke punts 59 yards, returned by Diontae Spencer for 10 yards (tackle by Cody Davis)",-2.490,-2.060
1,9:07,1,10,DEN 47,0,0,Phillip Lindsay right tackle for 28 yards (tackle by Tre Herndon),2.060,3.910
1,8:28,1,10,JAX 25,0,6,"Joe Flacco pass complete short left to Noah Fant for 25 yards, touchdown",3.910,7.000
1,8:17,,,JAX 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,8:17,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,8:17,1,10,JAX 25,0,7,Gardner Minshew pass complete short left to Dede Westbrook for 7 yards (tackle by De'Vante Bausby),0.610,1.010
1,7:41,2,3,JAX 32,0,7,Leonard Fournette up the middle for 3 yards (tackle by Derek Wolfe),1.010,1.270
1,7:02,1,10,JAX 35,0,7,Gardner Minshew pass complete short right to Leonard Fournette for 19 yards (tackle by Justin Simmons),1.270,2.520
1,6:25,1,10,DEN 46,0,7,Leonard Fournette right guard for 1 yard (tackle by Todd Davis),2.520,2.110
1,5:40,2,9,DEN 45,0,7,Leonard Fournette left tackle for 10 yards (tackle by DeMarcus Walker),2.110,3.250
1,4:55,1,10,DEN 35,0,7,Gardner Minshew pass complete deep right to DJ Chark for 24 yards (tackle by Justin Simmons). Penalty on De'Vante Bausby: Defensive Pass Interference (Declined),3.250,4.840
1,4:40,1,10,DEN 11,0,7,Ryquell Armstead left guard for 3 yards (tackle by Bradley Chubb),4.840,4.700
1,4:01,2,7,DEN 8,0,7,Gardner Minshew pass incomplete short left intended for James O'Shaughnessy (defended by Justin Simmons),4.700,3.760
1,3:56,3,7,DEN 8,0,7,Gardner Minshew pass complete short left to Leonard Fournette for 1 yard (tackle by Todd Davis),3.760,2.980
1,3:16,4,6,DEN 7,3,7,Josh Lambo 25 yard field goal good,2.980,3.000
1,3:13,,,JAX 35,3,7,"Josh Lambo kicks off 64 yards, returned by Devontae Booker for 25 yards (tackle by Andrew Wingard and Najee Goode)",0.000,0.670
1,3:06,1,10,DEN 26,3,7,Phillip Lindsay right end for 4 yards (tackle by Myles Jack and Ronnie Harrison),0.670,0.670
1,2:31,2,6,DEN 30,3,7,Joe Flacco pass incomplete short right intended for Royce Freeman,0.670,-0.030
1,2:26,3,6,DEN 30,3,7,Joe Flacco pass incomplete short right intended for Emmanuel Sanders (defended by Tre Herndon),-0.030,-1.370
1,2:21,4,6,DEN 30,3,7,"Penalty on Keishawn Bierria: False Start, 5 yards (no play)",-1.370,-1.700
1,2:21,4,11,DEN 25,3,7,"Colby Wadman punts 49 yards, returned by Dede Westbrook for 5 yards (tackle by Davontae Harris)",-1.700,-1.000
1,2:13,1,10,JAX 31,3,7,Gardner Minshew sacked by Von Miller for -7 yards,1.000,-0.490
1,1:29,2,17,JAX 24,3,7,Gardner Minshew pass incomplete short left intended for James O'Shaughnessy,-0.490,-1.150
1,1:26,3,17,JAX 24,3,7,Gardner Minshew pass incomplete short right intended for Leonard Fournette. Penalty on Brandon Linder: Ineligible Downfield Pass (Declined),-1.150,-1.770
1,1:19,4,17,JAX 24,3,7,"Logan Cooke punts 45 yards, fair catch by Diontae Spencer at DEN-31",-1.770,-1.000
1,1:11,1,10,DEN 31,3,7,Royce Freeman up the middle for 3 yards (tackle by Quincy Williams),1.000,0.870
1,0:31,2,7,DEN 34,3,7,Joe Flacco pass incomplete short right intended for Courtland Sutton,0.870,0.170
1,0:27,3,7,DEN 34,3,7,Joe Flacco pass complete short middle to Royce Freeman for 15 yards (tackle by Ronnie Harrison and Quincy Williams),0.170,2.190
Quarter,Time,Down,ToGo,Location,JAX,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 49,3,7,Joe Flacco pass complete short left to Courtland Sutton for 5 yards (tackle by Quincy Williams),2.190,2.320
2,14:27,2,5,JAX 46,3,7,Joe Flacco pass complete deep right to Emmanuel Sanders for 39 yards (tackle by A.J. Bouye and Tre Herndon),2.320,5.600
2,13:43,1,7,JAX 7,3,13,"Joe Flacco pass complete short right to Courtland Sutton for 7 yards, touchdown",5.600,7.000
2,13:39,,,JAX 15,3,14,Brandon McManus kicks extra point good,0.000,0.000
2,13:39,,,DEN 35,3,14,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,13:39,1,10,JAX 25,3,14,Leonard Fournette left tackle for 11 yards (tackle by De'Vante Bausby),0.610,1.330
2,12:59,1,10,JAX 36,3,14,Leonard Fournette left guard for 1 yard (tackle by DeMarcus Walker),1.330,0.930
2,12:21,2,9,JAX 37,3,14,Gardner Minshew pass incomplete deep middle intended for Chris Conley Penalty on JAX: Illegal Shift (Declined),0.930,0.230
2,12:15,3,9,JAX 37,3,14,Gardner Minshew pass incomplete short left,0.230,-0.910
2,12:07,4,9,JAX 37,3,14,"Logan Cooke punts 56 yards, muffed catch by Fred Brown, recovered by Fred Brown at DEN-7 (tackle by Von Miller)",-0.910,0.380
2,11:55,1,10,DEN 7,3,14,Joe Flacco pass incomplete deep right,-0.380,-0.780
2,11:48,2,10,DEN 7,3,14,Royce Freeman left guard for 2 yards (tackle by Josh Allen),-0.780,-1.190
2,11:10,3,8,DEN 9,3,14,Joe Flacco pass incomplete short right intended for Courtland Sutton,-1.190,-2.490
2,11:07,4,8,DEN 9,3,14,Colby Wadman punts 46 yards out of bounds,-2.490,-1.930
2,11:00,1,10,JAX 45,3,14,Leonard Fournette left end for 1 yard (tackle by De'Vante Bausby),1.930,1.520
2,10:28,2,9,JAX 46,3,14,Leonard Fournette up the middle for 4 yards (tackle by Derek Wolfe and Shelby Harris),1.520,1.360
2,9:46,3,5,JAX 50,3,14,Gardner Minshew sacked by Bradley Chubb for -7 yards,1.360,-0.520
2,9:00,4,12,JAX 43,3,14,"Penalty on JAX: Delay of Game, 5 yards (no play)",-0.520,-0.850
2,8:51,4,17,JAX 38,3,14,Logan Cooke punts 26 yards out of bounds,-0.850,-1.330
2,8:43,1,10,DEN 36,3,14,Phillip Lindsay right guard for 3 yards (tackle by Yannick Ngakoue and Calais Campbell),1.330,1.200
2,8:10,2,7,DEN 39,3,14,Phillip Lindsay right tackle for 6 yards (tackle by Quincy Williams and Tre Herndon),1.200,1.290
2,7:31,3,1,DEN 45,3,14,Royce Freeman up the middle for 2 yards (tackle by Calais Campbell and Jarrod Wilson),1.290,2.060
2,6:55,1,10,DEN 47,3,14,Joe Flacco pass complete short middle to Royce Freeman for 7 yards (tackle by Quincy Williams),2.060,2.460
2,6:14,2,3,JAX 46,3,14,Joe Flacco pass complete short right to Phillip Lindsay for 7 yards (tackle by Yannick Ngakoue),2.460,2.980
2,5:35,1,10,JAX 39,3,14,Joe Flacco pass incomplete deep right intended for Noah Fant,2.980,2.440
2,5:29,2,10,JAX 39,3,14,Joe Flacco pass complete deep right to DaeSean Hamilton for 28 yards (tackle by Tre Herndon),2.440,4.840
2,5:05,1,10,JAX 11,3,14,"Joe Flacco pass incomplete short left. Penalty on Joe Flacco: Intentional Grounding, 13 yards",4.840,2.530
2,4:59,2,23,JAX 24,3,14,Joe Flacco pass complete short left to Emmanuel Sanders for 9 yards (tackle by Myles Jack),2.530,2.970
2,4:22,3,14,JAX 15,3,14,Joe Flacco pass incomplete short left intended for Royce Freeman (defended by Yannick Ngakoue),2.970,2.440
2,4:20,4,14,JAX 15,3,17,Brandon McManus 33 yard field goal good. Penalty on Cody Davis: Defensive Offside (Declined),2.440,3.000
2,4:16,,,DEN 35,3,17,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,4:16,1,10,JAX 25,3,17,Gardner Minshew sacked by Von Miller for -2 yards,0.610,-0.210
2,3:36,2,12,JAX 23,3,17,"Penalty on Cam Robinson: False Start, 4 yards (no play)",-0.210,-0.810
2,3:14,2,16,JAX 19,3,17,Gardner Minshew pass complete short middle to Geoff Swaim for 9 yards (tackle by Justin Hollins),-0.810,-0.230
2,2:35,3,7,JAX 28,3,17,Gardner Minshew pass incomplete short left intended for Geoff Swaim,-0.230,-1.500
2,2:29,4,7,JAX 28,3,17,"Logan Cooke punts 48 yards, fair catch by Diontae Spencer at DEN-24",-1.500,-0.540
2,2:21,1,10,DEN 24,3,17,Phillip Lindsay right tackle for 7 yards (tackle by Jarrod Wilson),0.540,0.940
2,2:00,2,3,DEN 31,3,17,Royce Freeman up the middle for 2 yards (tackle by Josh Allen),0.940,0.500
2,1:22,3,1,DEN 33,3,17,"Joe Flacco pass complete short left to DaeSean Hamilton for 9 yards (tackle by Myles Jack). Penalty on Myles Jack: Face Mask (15 Yards), 15 yards",0.500,2.720
2,1:14,1,10,JAX 43,3,17,Joe Flacco pass incomplete short right intended for DaeSean Hamilton,2.720,2.180
2,1:10,2,10,JAX 43,3,17,Joe Flacco pass complete short left to Royce Freeman for 10 yards (tackle by A.J. Bouye),2.180,3.380
2,1:05,1,10,JAX 33,3,17,Joe Flacco pass short left intended for Emmanuel Sanders is intercepted by Ronnie Harrison at JAC-26 and returned for 31 yards,3.380,-2.720
2,0:49,1,10,DEN 43,3,17,Gardner Minshew pass complete short right to Dede Westbrook for 12 yards (tackle by Justin Hollins and Todd Davis),2.720,3.510
2,0:43,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:43,1,10,DEN 31,3,17,Gardner Minshew pass complete short left to Dede Westbrook for 8 yards,3.510,4.050
2,0:39,2,2,DEN 23,3,17,Gardner Minshew pass complete short middle to Geoff Swaim for 5 yards (tackle by Justin Hollins),4.050,4.370
2,0:34,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:34,1,10,DEN 18,3,17,"Gardner Minshew pass complete deep right to DJ Chark for 18 yards. Penalty on Cam Robinson: Illegal Use of Hands, 10 yards (no play)",4.370,3.710
