Quarter,Time,Tm,Detail,MIA,NWE
1.0,1:38,Dolphins,Jason Sanders 27 yard field goal,3,0
2.0,10:31,Dolphins,Eric Rowe 35 yard interception return (Jason Sanders kick),10,0
,5:51,Patriots,Nick Folk 25 yard field goal,10,3
,2:05,Patriots,Sony Michel 4 yard rush (Nick Folk kick),10,10
3.0,7:42,Dolphins,Ryan Fitzpatrick 2 yard rush (Jason Sanders kick),17,10
,4:26,Patriots,Elandon Roberts 38 yard pass from Tom Brady (Nick Folk kick),17,17
4.0,8:29,Dolphins,Jason Sanders 32 yard field goal,20,17
,3:53,Patriots,James White 13 yard pass from Tom Brady (Nick Folk kick),20,24
,0:24,Dolphins,Mike Gesicki 5 yard pass from Ryan Fitzpatrick (Jason Sanders kick),27,24
