Quarter,Time,Tm,Detail,PIT,BAL
1.0,7:56,Ravens,Justin Tucker 45 yard field goal,0,3
,2:40,Ravens,Justin Tucker 22 yard field goal,0,6
2.0,12:50,Steelers,Benny Snell Jr. 4 yard rush (Chris Boswell kick),7,6
,1:10,Ravens,Justin Tucker 42 yard field goal,7,9
,0:21,Ravens,Justice Hill 8 yard rush (Justin Tucker kick),7,16
3.0,9:55,Steelers,Chris Boswell 26 yard field goal,10,16
4.0,13:29,Ravens,Justin Tucker 47 yard field goal,10,19
,4:36,Ravens,Jordan Richards fumble recovery in end zone (Justin Tucker kick),10,26
,4:21,Ravens,"Safety, Devlin Hodges Intentional Grounding in end zone",10,28
