Unnamed: 0,PIT,BAL
First Downs,10,19
Rush-Yds-TDs,23-91-1,44-223-1
Cmp-Att-Yd-TD-INT,9-25-95-0-0,11-21-96-0-1
Sacked-Yards,2-18,3-15
Net Pass Yards,77,81
Total Yards,168,304
Fumbles-Lost,3-2,1-1
Turnovers,2,2
Penalties-Yards,6-47,6-35
Third Down Conv.,5-12,7-16
Fourth Down Conv.,0-1,1-2
Time of Possession,20:33,39:27
