Player,Pos
B.J. Finney,C/G
Devlin Hodges,QB
Benny Snell Jr.,RB
James Washington,WR
JuJu Smith-Schuster,WR
Diontae Johnson,WR
Vance McDonald,TE
Alejandro Villanueva,OT
Matt Feiler,OT
David DeCastro,G
Ramon Foster,G
Cameron Heyward,DT
Javon Hargrave,NT
T.J. Watt,LB
Mark Barron,LB
Bud Dupree,LB
Devin Bush Jr.,LB
Mike Hilton,CB
Steven Nelson,CB
Joe Haden,CB
Minkah Fitzpatrick,S
Terrell Edmunds,S
