Unnamed: 0,ARI,PHI
First Downs,15,26
Rush-Yds-TDs,20-124-0,43-212-1
Cmp-Att-Yd-TD-INT,20-35-163-2-1,20-25-255-4-1
Sacked-Yards,4-39,1-5
Net Pass Yards,124,250
Total Yards,248,462
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,1-5,8-88
Third Down Conv.,7-16,7-11
Fourth Down Conv.,1-4,0-0
Time of Possession,23:45,36:15
