Quarter,Time,Tm,Detail,ARI,PHI
1.0,9:18,Cardinals,Jason McAddley 12 yard pass from Jake Plummer (Bill Gramatica kick),7,0
,6:25,Eagles,James Thrash 2 yard pass from Donovan McNabb (David Akers kick),7,7
2.0,9:56,Eagles,Dorsey Levens 3 yard pass from Donovan McNabb (David Akers kick),7,14
,7:43,Cardinals,Joel Makovicka 2 yard pass from Jake Plummer (Bill Gramatica kick),14,14
,3:11,Eagles,Todd Pinkston 27 yard pass from Donovan McNabb (David Akers kick),14,21
,1:02,Eagles,Duce Staley 9 yard pass from Donovan McNabb (David Akers kick),14,28
3.0,5:55,Eagles,David Akers 34 yard field goal,14,31
4.0,8:21,Eagles,James Thrash 4 yard rush (David Akers kick),14,38
