Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"Jose Cortez kicks off 69 yards, returned by Ladell Betts for 19 yards (tackle by Matt Ware)",0.000,0.280
1,14:56,1,10,WAS 20,0,0,Clinton Portis right end for 3 yards (tackle by Hollis Thomas),0.280,0.140
1,14:20,2,7,WAS 23,0,0,Clinton Portis left tackle for 2 yards (tackle by Hollis Thomas and Jeremiah Trotter),0.140,-0.300
1,13:42,3,5,WAS 25,0,0,Mark Brunell pass incomplete intended for David Patten,-0.300,-1.700
1,13:37,4,5,WAS 25,0,0,"Derrick Frost punts 43 yards, fair catch by Lito Sheppard",-1.700,-1.070
1,13:30,1,10,PHI 32,0,0,Brian Westbrook left end for -1 yards (tackle by Walt Harris),1.070,0.390
1,12:56,2,11,PHI 31,0,0,Brian Westbrook right end for 5 yards (tackle by Renaldo Wynn),0.390,0.370
1,12:15,3,6,PHI 36,0,0,Donovan McNabb pass complete to Josh Parry for 9 yards (tackle by Shawn Springs),0.370,1.930
1,11:45,1,10,PHI 45,0,0,Donovan McNabb pass complete to Greg Lewis for 9 yards (tackle by Lemar Marshall),1.930,2.600
1,11:08,2,1,WAS 46,0,0,Brian Westbrook left end for 2 yards (tackle by Walt Harris),2.600,2.650
1,10:24,1,10,WAS 44,0,0,Donovan McNabb pass incomplete intended for L.J. Smith (defended by Lemar Marshall),2.650,2.110
1,10:18,2,10,WAS 44,0,0,Brian Westbrook left end for no gain (tackle by Walt Harris),2.110,1.420
1,9:37,3,10,WAS 44,0,0,Donovan McNabb pass complete to Brian Westbrook for 1 yard (tackle by Ryan Clark),1.420,0.400
1,9:08,4,9,WAS 43,0,0,Reggie Hodges punts 39 yards,0.400,0.380
1,8:57,1,10,WAS 4,0,0,Mark Brunell pass complete to Santana Moss for 14 yards (tackle by Michael Lewis),-0.380,0.040
1,8:35,1,10,WAS 18,0,0,Clinton Portis right tackle for 1 yard (tackle by Dhani Jones),0.040,-0.320
1,8:02,2,9,WAS 19,0,0,Mark Brunell sacked by Jevon Kearse for -2 yards,-0.320,-1.340
1,7:34,3,11,WAS 17,0,0,Mark Brunell pass complete to Chris Cooley for 18 yards (tackle by Brian Dawkins),-1.340,1.270
1,7:03,1,10,WAS 35,0,0,Mark Brunell pass incomplete intended for Robert Johnson,1.270,0.720
1,6:56,2,10,WAS 35,0,0,Mark Brunell pass complete to Clinton Portis for -4 yards (tackle by Roderick Hood),0.720,-0.490
1,6:22,3,14,WAS 31,0,0,Mark Brunell pass incomplete intended for Santana Moss,-0.490,-1.310
1,6:15,4,14,WAS 31,0,0,Derrick Frost punts 40 yards,-1.310,-0.940
1,6:05,1,10,PHI 30,0,0,Brian Westbrook up the middle for 3 yards (tackle by Phillip Daniels),0.940,0.800
1,5:29,2,7,PHI 33,0,0,"Penalty on Donovan McNabb: False Start, 5 yards (no play)",0.800,0.120
1,5:06,2,12,PHI 28,0,0,"Donovan McNabb pass complete to Josh Parry for 6 yards (tackle by Lemar Marshall). Penalty on Marcus Washington: Illegal Contact, 5 yards (no play)",0.120,1.140
1,4:32,1,10,PHI 33,0,0,Lamar Gordon right end for 2 yards (tackle by Sean Taylor),1.140,0.860
