Unnamed: 0,PHI,WAS
First Downs,17,17
Rush-Yds-TDs,23-45-0,29-78-2
Cmp-Att-Yd-TD-INT,22-35-304-1-1,21-29-224-0-0
Sacked-Yards,2-13,2-9
Net Pass Yards,291,215
Total Yards,336,293
Fumbles-Lost,2-0,3-1
Turnovers,1,1
Penalties-Yards,5-64,4-35
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,28:03,31:57
