Quarter,Time,Tm,Detail,PHI,WAS
1.0,2:55,Eagles,Reggie Brown 56 yard pass from Donovan McNabb (David Akers kick),7,0
2.0,12:37,Redskins,John Hall 24 yard field goal,7,3
,4:17,Redskins,Mike Sellers 1 yard rush (John Hall kick),7,10
3.0,6:26,Eagles,David Akers 34 yard field goal,10,10
,2:47,Redskins,Clinton Portis 6 yard rush (John Hall kick),10,17
