Unnamed: 0,TEN,ATL
First Downs,20,16
Rush-Yds-TDs,35-144-1,20-25-1
Cmp-Att-Yd-TD-INT,18-26-212-3-0,19-32-276-2-1
Sacked-Yards,1-9,2-19
Net Pass Yards,203,257
Total Yards,347,282
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,9-62,5-40
Third Down Conv.,4-12,2-11
Fourth Down Conv.,0-0,1-2
Time of Possession,32:55,27:05
