Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 69 yards, returned by Jake Schifino for 25 yards (tackle by Travis Jervey). Penalty on Rocky Calmus: Offensive Holding, 10 yards",0.000,-0.350
1,14:52,1,10,TEN 12,0,0,Eddie George right end for -2 yards (tackle by Matt Stewart and Ellis Johnson),-0.350,-0.930
1,14:14,2,12,TEN 10,0,0,Eddie George right tackle for -1 yards (tackle by Patrick Kerney),-0.930,-1.770
1,13:32,3,13,TEN 9,0,0,"Penalty on Justin McCareins: False Start, 5 yards (no play)",-1.770,-2.360
1,13:15,3,18,TEN 4,0,0,Steve McNair pass incomplete intended for Derrick Mason,-2.360,-2.490
1,13:10,4,18,TEN 4,0,6,"Craig Hentrich punts 55 yards, returned by Allen Rossum for 59 yards, touchdown",-2.490,-7.000
1,,,,TEN 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Jay Feely kicks off 70 yards, returned by Jake Schifino for 16 yards (tackle by Jimmy Farris)",0.000,-0.140
1,12:48,1,10,TEN 16,0,7,Steve McNair pass complete to Derrick Mason for 13 yards,-0.140,0.870
1,12:21,1,10,TEN 29,0,7,Steve McNair pass complete to Frank Wycheck for 12 yards (tackle by Bryan Scott),0.870,1.660
1,11:43,1,10,TEN 41,0,7,Eddie George right end for 5 yards (tackle by Keith Brooking),1.660,1.800
1,11:03,2,5,TEN 46,0,7,Steve McNair pass incomplete intended for Derrick Mason,1.800,1.090
1,10:55,3,5,TEN 46,0,7,"Steve McNair for 9 yards (tackle by Bryan Scott). Steve McNair fumbles (forced by Bryan Scott), recovered by Kevin Mathis at ATL-43 and returned for 2 yards (tackle by Justin Hartwig)",1.090,-1.930
1,10:45,1,10,ATL 45,0,7,Doug Johnson pass complete to Alge Crumpler for 12 yards (tackle by Rocky Calmus),1.930,2.720
1,10:06,1,10,TEN 43,0,7,Doug Johnson pass complete to Warrick Dunn for 10 yards (tackle by Tank Williams),2.720,3.380
1,9:35,,,,0,7,Timeout #1 by Atlanta Falcons,0.000,3.380
1,9:35,1,10,TEN 33,0,7,Warrick Dunn right tackle for 11 yards (tackle by Carlos Hall and Lance Schulters),3.380,4.110
1,8:57,1,10,TEN 22,0,7,"Warrick Dunn up the middle for no gain (tackle by Robaire Smith). Penalty on Albert Haynesworth: Defensive Offside, 5 yards (no play)",4.110,4.970
1,8:35,1,5,TEN 17,0,7,Doug Johnson pass complete to Warrick Dunn for 6 yards (tackle by Rocky Calmus),4.970,4.840
1,7:58,1,10,TEN 11,0,7,Doug Johnson pass incomplete intended for Alge Crumpler,4.840,4.140
1,7:53,2,10,TEN 11,0,7,"Warrick Dunn left tackle for 6 yards (tackle by Kevin Carter). Penalty on Lance Schulters: Face Mask (15 Yards), 3 yards",4.140,6.740
1,7:26,1,2,TEN 2,0,13,"T.J. Duckett left tackle for 2 yards, touchdown",6.740,7.000
1,,,,TEN 2,0,14,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,0,14,"Jay Feely kicks off 66 yards, returned by Jake Schifino for 23 yards (tackle by Bryan Scott). Penalty on Rocky Calmus: Illegal Block Above the Waist, 10 yards",0.000,-0.320
1,7:14,1,10,TEN 13,0,14,Eddie George up the middle for 2 yards (tackle by Keith Brooking and Matt Stewart),-0.320,-0.570
1,6:35,2,8,TEN 15,0,14,Steve McNair pass complete to Derrick Mason for 16 yards (tackle by Cory Hall),-0.570,1.000
1,5:52,1,10,TEN 31,0,14,"Steve McNair for no gain. Steve McNair fumbles, recovered by Steve McNair at TEN-30",1.000,0.320
1,5:18,2,11,TEN 30,0,14,Steve McNair sacked by Chris Draft for -9 yards,0.320,-1.550
1,4:42,3,20,TEN 21,0,14,Steve McNair pass complete to Chris Brown for 10 yards (tackle by Bryan Scott),-1.550,-1.310
1,4:00,4,10,TEN 31,0,14,"Craig Hentrich punts 57 yards, returned by Terrence Edwards for 2 yards (tackle by Scott McGarrahan)",-1.310,0.280
1,3:47,1,10,ATL 14,0,14,Warrick Dunn up the middle for -3 yards (tackle by Rocky Calmus),-0.280,-1.000
1,3:10,2,13,ATL 11,0,14,Warrick Dunn up the middle for -2 yards (tackle by Albert Haynesworth),-1.000,-2.010
1,2:31,3,15,ATL 9,0,14,"Warrick Dunn for -6 yards (tackle by Peter Sirmon). Penalty on Juqua Parker: Defensive Offside, 15 yards, Penalty on Peter Sirmon: Face Mask (15 Yards) (Declined)",-2.010,0.040
1,2:18,1,10,ATL 18,0,14,Warrick Dunn right tackle for 1 yard (tackle by Rocky Calmus),0.040,-0.320
1,1:37,2,9,ATL 19,0,14,Doug Johnson pass incomplete intended for Justin Griffith. Penalty on Kevin Shaffer: Illegal Use of Hands (Declined),-0.320,-1.040
1,0:58,3,9,ATL 19,0,14,"Penalty on Roberto Garza: False Start, 5 yards (no play)",-1.040,-1.820
1,0:57,3,14,ATL 14,0,20,"Doug Johnson pass complete to Warrick Dunn for 86 yards, touchdown. Penalty on ATL: Unsportsmanlike Conduct, 15 yards",-1.820,7.000
1,,,,TEN 2,0,21,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 15,0,21,"Jay Feely kicks off 58 yards, returned by Robert Holcombe for 11 yards (tackle by Travis Jervey)",0.000,1.470
1,0:36,1,10,TEN 38,0,21,Eddie George up the middle for 3 yards (tackle by Matt Stewart and Brady Smith),1.470,1.330
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,TEN 41,0,21,Steve McNair pass complete to Erron Kinney for 27 yards (tackle by Chris Draft),1.330,3.450
2,14:29,1,10,ATL 32,0,21,Eddie George left tackle for 18 yards (tackle by Keith Brooking),3.450,4.650
2,13:50,1,10,ATL 14,0,21,Eddie George up the middle for 2 yards (tackle by Patrick Kerney),4.650,4.330
2,13:12,2,8,ATL 12,0,21,Steve McNair pass complete to Eddie George for 1 yard (tackle by Chris Draft),4.330,3.620
2,12:26,3,7,ATL 11,0,21,"Penalty on Patrick Kerney: Defensive Offside, 5 yards (no play)",3.620,4.730
2,12:08,3,2,ATL 6,6,21,"Steve McNair pass complete to Frank Wycheck for 6 yards, touchdown",4.730,7.000
2,,,,ATL 2,7,21,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,7,21,--,0.000,-5.370
2,11:57,1,8,ATL 8,7,21,Eddie George right tackle for 3 yards (tackle by Keith Newman),5.370,5.150
2,11:18,2,5,ATL 5,13,21,"Steve McNair pass complete to Frank Wycheck for 5 yards, touchdown",5.150,7.000
2,,,,ATL 2,14,21,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,14,21,"Craig Hentrich kicks off 70 yards, returned by Travis Jervey for 20 yards (tackle by Donnie Nickey)",0.000,0.280
2,11:08,1,10,ATL 20,14,21,T.J. Duckett left tackle for 2 yards (tackle by Carlos Hall),0.280,0.000
2,10:31,2,8,ATL 22,14,21,Doug Johnson pass complete to Peerless Price for 14 yards (tackle by Lance Schulters),0.000,1.330
2,9:53,1,10,ATL 36,14,21,T.J. Duckett right tackle for 3 yards (tackle by Keith Bulluck),1.330,1.200
2,9:11,2,7,ATL 39,14,21,T.J. Duckett left tackle for 1 yard (tackle by Rocky Calmus),1.200,0.630
2,8:29,3,6,ATL 40,14,21,Doug Johnson pass incomplete intended for Warrick Dunn,0.630,-0.720
2,8:21,4,6,ATL 40,14,21,"Chris Mohr punts 46 yards, fair catch by Justin McCareins",-0.720,0.280
2,8:13,1,10,TEN 14,14,21,Eddie George up the middle for 3 yards (tackle by Chris Draft),-0.280,-0.370
2,7:32,2,7,TEN 17,14,21,Steve McNair pass complete to Frank Wycheck for 5 yards (tackle by Chris Draft),-0.370,-0.440
2,6:44,3,2,TEN 22,14,21,Billy Volek pass incomplete intended for Tyrone Calico,-0.440,-1.900
2,6:38,4,2,TEN 22,14,21,"Craig Hentrich punts 43 yards, fair catch by Allen Rossum",-1.900,-1.270
2,6:31,1,10,ATL 35,14,21,Doug Johnson pass complete to Alge Crumpler for 6 yards (tackle by Tank Williams),1.270,1.530
2,5:50,2,4,ATL 41,14,21,Doug Johnson pass complete to Justin Griffith for 18 yards (tackle by Rocky Calmus),1.530,2.850
2,5:19,1,10,TEN 41,14,21,Warrick Dunn right tackle for no gain (tackle by Lance Schulters and Rocky Boiman),2.850,2.310
2,4:39,2,10,TEN 41,14,21,Doug Johnson pass complete to Warrick Dunn for 6 yards (tackle by Rocky Calmus),2.310,2.410
2,3:59,3,4,TEN 35,14,21,Doug Johnson pass incomplete intended for Peerless Price (defended by Lance Schulters),2.410,0.980
2,3:53,,,,14,21,Timeout #2 by Atlanta Falcons,0.000,0.980
2,3:53,4,4,TEN 35,14,21,"Chris Mohr punts 27 yards, fair catch by Justin McCareins",0.980,0.380
2,3:44,1,10,TEN 8,14,21,Chris Brown left end for 4 yards (tackle by Patrick Kerney),-0.380,-0.490
2,3:03,2,6,TEN 12,14,21,Chris Brown up the middle for 13 yards (tackle by Keith Brooking),-0.490,0.610
