Unnamed: 0,CAR,ARI
First Downs,17,23
Rush-Yds-TDs,18-67-0,39-171-2
Cmp-Att-Yd-TD-INT,20-32-236-1-1,14-25-172-0-1
Sacked-Yards,1-5,5-26
Net Pass Yards,231,146
Total Yards,298,317
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,4-35,5-50
Third Down Conv.,3-8,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,22:06,37:54
