Unnamed: 0,PIT,DEN
First Downs,24,21
Rush-Yds-TDs,26-119-0,24-90-0
Cmp-Att-Yd-TD-INT,24-35-290-4-2,22-29-248-3-2
Sacked-Yards,4-30,2-14
Net Pass Yards,260,234
Total Yards,379,324
Fumbles-Lost,1-1,2-0
Turnovers,3,2
Penalties-Yards,3-23,2-20
Third Down Conv.,8-12,7-10
Fourth Down Conv.,1-1,0-0
Time of Possession,31:35,28:25
