Quarter,Time,Tm,Detail,DAL,DET
3.0,12:06,Lions,Jason Hanson 42 yard field goal,0,3
,6:09,Lions,Jason Hanson 44 yard field goal,0,6
4.0,7:42,Cowboys,Troy Hambrick 3 yard rush (Billy Cundiff kick),7,6
,0:48,Lions,Jason Hanson 43 yard field goal,7,9
