Unnamed: 0,DAL,DET
First Downs,17,8
Rush-Yds-TDs,27-71-1,23-52-0
Cmp-Att-Yd-TD-INT,22-39-208-0-0,14-33-104-0-2
Sacked-Yards,5-58,1-8
Net Pass Yards,150,96
Total Yards,221,148
Fumbles-Lost,3-2,0-0
Turnovers,2,2
Penalties-Yards,7-70,6-50
Third Down Conv.,5-16,2-15
Fourth Down Conv.,1-1,1-1
Time of Possession,34:33,25:27
