Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
2,5:10,2,4,WAS 28,0,3,Clinton Portis right guard for 5 yards (tackle by Keith Davis and Bradie James),0.680,1.140
2,4:30,1,10,WAS 33,0,3,"Mark Brunell pass incomplete intended for Chris Cooley. Penalty on Derrick Dockery: Offensive Holding, 10 yards (no play)",1.140,0.480
2,4:25,1,20,WAS 23,0,3,Mark Brunell pass complete to Santana Moss for no gain,0.480,-0.760
2,3:42,2,20,WAS 23,0,3,Mark Brunell pass complete to Ladell Betts for 5 yards (tackle by Anthony Henry),-0.760,-0.760
2,3:08,3,15,WAS 28,0,3,Mark Brunell sacked by Greg Ellis and Marcus Spears for -11 yards,-0.760,-2.320
2,2:49,4,26,WAS 17,0,3,"Andy Groom punts 46 yards, out of bounds",-2.320,-1.400
2,2:42,1,10,DAL 37,0,3,Drew Bledsoe pass complete to Julius Jones for 4 yards (tackle by Marcus Washington),1.400,1.400
2,2:14,2,6,DAL 41,0,3,Julius Jones right end for 3 yards (tackle by Cornelius Griffin),1.400,1.090
2,2:00,3,3,DAL 44,0,3,Drew Bledsoe pass incomplete intended for Terry Glenn,1.090,-0.460
2,1:53,4,3,DAL 44,0,3,"Mat McBriar punts 56 yards, touchback",-0.460,-0.280
2,1:44,1,10,WAS 20,0,3,Mark Brunell pass complete to Clinton Portis for 6 yards (tackle by Terence Newman),0.280,0.540
2,1:21,2,4,WAS 26,0,3,Mark Brunell pass complete to Clinton Portis for 3 yards (tackle by Marcus Spears),0.540,0.230
2,0:56,3,1,WAS 29,0,3,Mark Brunell up the middle for 4 yards (tackle by Scott Shanle),0.230,1.140
2,0:54,,,,0,3,Timeout #1 by Washington Redskins,0.000,1.140
2,0:54,1,10,WAS 33,0,3,"Penalty on Chris Samuels: False Start, 5 yards (no play)",1.140,0.810
2,0:54,1,15,WAS 28,0,3,Clinton Portis up the middle for 4 yards (tackle by Scott Shanle),0.810,0.460
2,0:32,2,11,WAS 32,0,3,"Mark Brunell pass incomplete intended for David Patten (defended by Anthony Henry). Penalty on Casey Rabach: Offensive Holding, 10 yards (no play)",0.460,-0.890
2,0:24,2,21,WAS 22,0,3,Ladell Betts right tackle for 5 yards (tackle by Greg Ellis),-0.890,-0.890
2,0:18,,,,0,3,Timeout #2 by Dallas Cowboys,0.000,-0.890
2,0:18,3,16,WAS 27,0,3,"Ladell Betts up the middle for 10 yards (tackle by Roy Williams). Ladell Betts fumbles (forced by Roy Williams), recovered by Keith Davis at WAS-41 and returned for 5 yards (tackle by Chris Cooley)",-0.890,-3.180
2,0:06,1,10,WAS 36,0,3,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,3.180,2.640
2,0:05,2,10,WAS 36,0,3,Drew Bledsoe pass complete to Patrick Crayton for 5 yards (tackle by Shawn Springs),2.640,2.610
Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,0,3,"Jose Cortez kicks off 70 yards, returned by Ladell Betts for 18 yards (tackle by Brett Pierce)",0.000,0.040
3,14:56,1,10,WAS 18,0,3,Clinton Portis up the middle for 2 yards (tackle by Greg Ellis),0.040,-0.130
3,14:22,2,8,WAS 20,0,3,Mark Brunell pass complete to Robert Royal for 5 yards (tackle by DeMarcus Ware),-0.130,-0.270
3,13:41,3,3,WAS 25,0,3,Mark Brunell pass incomplete intended for Santana Moss,-0.270,-1.700
3,13:36,4,3,WAS 25,0,3,Andy Groom punts 39 yards (tackle by Omar Stoutmire),-1.700,-1.600
3,13:26,1,10,DAL 40,0,3,"Julius Jones left end for 14 yards (tackle by Matt Bowen). Penalty on Flozell Adams: Offensive Holding, 10 yards (no play)",1.600,0.940
3,13:02,1,20,DAL 30,0,9,"Drew Bledsoe pass complete to Terry Glenn for 70 yards, touchdown",0.940,7.000
3,13:02,,,WAS 2,0,10,Jose Cortez kicks extra point good,0.000,0.000
3,12:51,,,DAL 30,0,10,"Jose Cortez kicks off 64 yards, returned by Ladell Betts for 22 yards (tackle by Nate Jones). Penalty on Khary Campbell: Illegal Block Above the , 10 yards",0.000,0.040
3,12:46,1,10,WAS 18,0,10,Mark Brunell sacked by Chris Canty for -8 yards,0.040,-1.360
3,12:18,2,18,WAS 10,0,10,Mark Brunell pass complete to David Patten for 12 yards (tackle by Dat Nguyen),-1.360,-0.660
3,11:40,3,6,WAS 22,0,10,Mark Brunell pass incomplete intended for David Patten,-0.660,-1.900
3,11:35,4,6,WAS 22,0,10,"Andy Groom punts 48 yards, returned by Patrick Crayton for 3 yards (tackle by James Thrash)",-1.900,-1.140
3,11:24,1,10,DAL 33,0,10,Julius Jones left tackle for 2 yards (tackle by Cornelius Griffin),1.140,0.860
3,10:40,2,8,DAL 35,0,10,Drew Bledsoe pass complete to Keyshawn Johnson for 10 yards (tackle by Walt Harris),0.860,1.930
3,10:18,1,10,DAL 45,0,10,"Drew Bledsoe for no gain. Drew Bledsoe fumbles, recovered by Drew Bledsoe at DAL-43",1.930,1.110
3,9:54,2,12,DAL 43,0,10,Drew Bledsoe pass complete to Jason Witten for 10 yards (tackle by Lemar Marshall and Marcus Washington),1.110,1.750
3,9:16,3,2,WAS 47,0,10,Drew Bledsoe pass incomplete intended for Dan Campbell,1.750,0.130
3,9:06,4,2,WAS 47,0,10,Mat McBriar punts 39 yards,0.130,0.380
3,8:59,1,10,WAS 8,0,10,Mark Brunell pass incomplete intended for Chris Cooley,-0.380,-0.780
3,8:53,2,10,WAS 8,0,10,"Mark Brunell pass incomplete intended for Santana Moss. Penalty on La'Roi Glover: Roughing the Passer, 15 yards (no play)",-0.780,0.480
3,8:48,1,10,WAS 23,0,10,Clinton Portis left end for 5 yards (tackle by Anthony Henry),0.480,0.610
3,8:05,2,5,WAS 28,0,10,"Mark Brunell pass incomplete intended for Santana Moss. Penalty on Derrick Dockery: Offensive Holding, 10 yards (no play)",0.610,-0.840
3,7:59,2,15,WAS 18,0,10,Clinton Portis up the middle for 3 yards (tackle by Dat Nguyen),-0.840,-1.020
3,7:22,3,12,WAS 21,0,10,Mark Brunell pass complete to Santana Moss for 41 yards,-1.020,3.050
3,6:47,1,10,DAL 38,0,10,"Penalty on Mark Brunell: Delay of Game, 5 yards (no play)",3.050,2.720
3,6:30,1,15,DAL 43,0,10,Ladell Betts right end for 2 yards (tackle by Kenyon Coleman),2.720,2.100
3,5:53,2,13,DAL 41,0,10,Mark Brunell pass incomplete intended for David Patten (defended by Bradie James),2.100,1.420
3,5:47,3,13,DAL 41,0,10,Mark Brunell sacked by Scott Shanle for -1 yards,1.420,0.460
3,5:17,4,14,DAL 42,0,10,"Andy Groom punts 23 yards, fair catch by Patrick Crayton",0.460,-0.150
3,5:11,1,10,DAL 19,0,10,Julius Jones left tackle for no gain (tackle by Marcus Washington),0.150,-0.390
3,4:29,2,10,DAL 19,0,10,Drew Bledsoe pass incomplete intended for Julius Jones,-0.390,-1.070
3,4:25,3,10,DAL 19,0,10,Drew Bledsoe pass complete to Julius Jones for 13 yards (tackle by Omar Stoutmire),-1.070,1.070
3,3:47,1,10,DAL 32,0,10,Julius Jones right end for -1 yards (tackle by Cornelius Griffin),1.070,0.390
3,3:08,2,11,DAL 31,0,10,Julius Jones right tackle for 1 yard (tackle by Cornelius Griffin),0.390,-0.160
3,2:30,3,10,DAL 32,0,10,Drew Bledsoe pass complete to Jason Witten for 6 yards (tackle by Warrick Holdman),-0.160,-0.850
3,1:50,4,4,DAL 38,0,10,Mat McBriar punts 58 yards,-0.850,0.380
