Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Todd Gurley middle for 1 yard (tackle by Kelcie McCray),0.280,-0.130
1,14:16,2,9,STL 21,0,0,Case Keenum pass complete short left to Kenny Britt for 13 yards (tackle by Kelcie McCray and DeShawn Shead),-0.130,1.200
1,13:38,1,10,STL 34,0,0,Case Keenum pass incomplete short middle intended for Tavon Austin,1.200,0.660
1,13:35,2,10,STL 34,0,0,Tavon Austin middle for 2 yards (tackle by K.J. Wright),0.660,0.230
1,12:54,3,8,STL 36,0,0,Case Keenum pass incomplete short right intended for Tavon Austin,0.230,-0.980
1,12:50,4,8,STL 36,0,0,"Johnny Hekker punts 50 yards, returned by Tyler Lockett for 7 yards (tackle by C.B. Bryant). Penalty on Kevin Pierre-Louis: Illegal Block Above the Waist, 10 yards",-0.980,0.370
1,12:38,1,10,SEA 11,0,0,Russell Wilson pass incomplete short left intended for Tyler Lockett,-0.370,-0.780
1,12:33,2,10,SEA 11,0,0,Christine Michael right tackle for -4 yards (tackle by William Hayes),-0.780,-1.890
1,11:52,3,14,SEA 7,0,0,"Penalty on Alvin Bailey: False Start, 3 yards (no play)",-1.890,-2.240
1,11:35,3,17,SEA 4,0,0,Fred Jackson middle for 4 yards (tackle by Rodney McLeod),-2.240,-2.490
1,11:02,4,13,SEA 8,0,0,"Jon Ryan punts 45 yards, returned by Tavon Austin for 3 yards (tackle by DeShawn Shead)",-2.490,-2.260
1,10:51,1,10,,0,0,Case Keenum pass complete short left to Tavon Austin for 16 yards (tackle by Bobby Wagner),2.260,3.310
1,10:21,1,10,SEA 34,0,0,Todd Gurley left tackle for 4 yards (tackle by Kelcie McCray),3.310,3.310
1,9:38,2,6,SEA 30,0,0,Todd Gurley left guard for 3 yards (tackle by Brandon Mebane),3.310,3.010
1,8:58,3,3,SEA 27,0,0,Case Keenum right guard for 2 yards (tackle by Bobby Wagner),3.010,1.950
1,8:15,4,1,SEA 25,3,0,Greg Zuerlein 42 yard field goal good,1.950,3.000
1,8:15,,,STL 35,3,0,"Greg Zuerlein kicks off 58 yards, returned by Tyler Lockett for 34 yards (tackle by Greg Zuerlein)",0.000,-1.660
1,8:05,1,10,SEA 41,3,0,"Russell Wilson for no gain. Patrick Lewis fumbles, recovered by Christine Michael at SEA-35",1.660,0.310
1,7:22,2,16,SEA 35,3,0,Russell Wilson pass complete short left to Doug Baldwin for 15 yards (tackle by Trumaine Johnson),0.310,1.620
1,6:47,3,1,,9,0,"Will Tukuafu right guard for -5 yards (tackle by Mark Barron). Will Tukuafu fumbles (forced by Mark Barron), recovered by Akeem Ayers at SEA-45 and returned for 45 yards, touchdown",1.620,-7.000
1,6:34,,,SEA 50,10,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,6:34,,,STL 35,10,0,"Greg Zuerlein kicks off 64 yards, returned by Tyler Lockett for 22 yards (tackle by Daren Bates)",0.000,-0.480
1,6:30,1,10,SEA 23,10,0,Russell Wilson pass complete short left to Tyler Lockett for 13 yards (tackle by Maurice Alexander),0.480,1.330
1,5:56,1,10,SEA 36,10,0,Russell Wilson pass incomplete deep left intended for Tyler Lockett,1.330,0.790
1,5:46,2,10,SEA 36,10,0,Christine Michael right tackle for 3 yards (tackle by Nick Fairley and James Laurinaitis),0.790,0.500
1,5:03,3,7,SEA 39,10,0,Russell Wilson right tackle for 9 yards (tackle by Nick Fairley and Mark Barron),0.500,2.130
1,4:39,1,10,SEA 48,10,0,Russell Wilson pass complete short right to Cooper Helfet for 1 yard (tackle by Trumaine Johnson),2.130,1.720
1,3:58,2,9,SEA 49,10,0,Bryce Brown middle for 4 yards (tackle by Aaron Donald),1.720,1.550
1,3:21,3,5,STL 47,10,0,Russell Wilson pass complete short left to Tyler Lockett for 4 yards (tackle by Eugene Sims),1.550,1.550
1,2:45,3,5,STL 47,10,0,Timeout #1 by Los Angeles Rams,1.550,0.400
1,2:44,4,1,STL 43,10,0,Jon Ryan punts 38 yards,0.400,0.380
1,2:36,1,10,STL 5,10,0,Tre Mason right guard for 5 yards (tackle by K.J. Wright),-0.380,-0.420
1,1:57,2,5,STL 10,10,0,Tre Mason left tackle for no gain (tackle by Brandon Mebane),-0.420,-0.840
1,1:12,3,5,STL 10,10,0,Case Keenum pass complete short left to Jared Cook for 5 yards (tackle by Kelcie McCray),-0.840,-0.220
1,0:37,1,10,STL 15,10,0,"Case Keenum pass incomplete short right intended for Jared Cook (defended by K.J. Wright). Penalty on Cliff Avril: Neutral Zone Infraction, 5 yards (no play)",-0.220,0.680
1,0:33,1,5,STL 20,10,0,Tre Mason middle for -2 yards (tackle by Michael Bennett),0.680,-0.280
Quarter,Time,Down,ToGo,Location,STL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,STL 18,10,0,Case Keenum pass complete short left to Tre Mason for 3 yards (tackle by Kelcie McCray),-0.280,-0.630
2,14:23,3,4,STL 21,10,0,Case Keenum pass complete short right to Wes Welker for 3 yards (tackle by Jeremy Lane),-0.630,-1.770
2,13:41,4,1,STL 24,10,0,"Johnny Hekker punts 45 yards, fair catch by Tyler Lockett. Penalty on Johnny Hekker: Unnecessary Roughness, 15 yards",-1.770,-1.990
2,13:35,1,10,SEA 46,10,0,Bryce Brown left end for -5 yards (tackle by Aaron Donald),1.990,0.780
2,12:57,2,15,SEA 41,10,0,"Russell Wilson pass complete deep left to Bryce Brown for no gain. Penalty on Russell Wilson: Illegal Forward Pass, 5 yards",0.780,-0.430
,,,,,,,"SEA challenged the illegal forward pass ruling, and the play was upheld.",,
2,12:40,3,19,SEA 37,10,0,Russell Wilson pass incomplete deep right intended for Tyler Lockett is intercepted by Trumaine Johnson at STL-11,-0.430,0.370
2,12:28,1,10,STL 11,10,0,"Case Keenum right tackle for 4 yards (tackle by Bruce Irvin). Penalty on Bruce Irvin: Unnecessary Roughness, 15 yards",-0.370,0.940
2,11:56,1,10,STL 30,10,0,Tavon Austin right end for 2 yards (tackle by Kelcie McCray and Richard Sherman),0.940,0.660
2,11:13,2,8,STL 32,10,0,Todd Gurley right tackle for 10 yards (tackle by Richard Sherman),0.660,1.730
2,10:32,1,10,STL 42,10,0,Case Keenum pass complete short left to Tavon Austin for -4 yards (tackle by K.J. Wright),1.730,0.650
2,9:48,2,14,STL 38,10,0,Case Keenum pass complete short left to Kenny Britt for 8 yards (tackle by DeShawn Shead),0.650,1.030
2,9:09,3,6,STL 46,10,0,Case Keenum pass incomplete deep right intended for Jared Cook (defended by DeShawn Shead),1.030,-0.320
2,9:04,4,6,STL 46,10,0,"Johnny Hekker punts 35 yards, fair catch by Kevin Smith",-0.320,-0.150
2,8:55,1,10,SEA 19,10,0,Bryce Brown left tackle for 1 yard (tackle by James Laurinaitis),0.150,-0.200
2,8:18,2,9,SEA 20,10,0,Bryce Brown right tackle for 1 yard (tackle by William Hayes),-0.200,-0.810
2,7:37,3,8,SEA 21,10,0,Russell Wilson sacked by William Hayes and Akeem Ayers for -13 yards,-0.810,-2.490
2,7:01,4,21,SEA 8,10,0,"Jon Ryan punts 41 yards, returned by Tavon Austin for 21 yards (tackle by Clint Gresham)",-2.490,-3.710
2,6:49,1,10,SEA 28,16,0,"Case Keenum pass complete deep right to Kenny Britt for 28 yards, touchdown",3.710,7.000
2,6:49,,,SEA 28,16,0,Greg Zuerlein kicks extra point no good,0.000,-1.000
2,6:49,,,STL 35,16,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,6:43,1,10,SEA 20,16,0,Russell Wilson pass complete short right to Fred Jackson for 4 yards (tackle by Akeem Ayers),0.280,0.270
2,6:09,2,6,SEA 24,16,0,Russell Wilson pass incomplete short right intended for Luke Willson (defended by Lamarcus Joyner),0.270,-0.430
2,5:58,3,6,SEA 24,16,0,"Russell Wilson pass incomplete short right intended for Luke Willson (defended by Trumaine Johnson). Penalty on Trumaine Johnson: Unnecessary Roughness, 15 yards (no play)",-0.430,1.530
2,5:54,1,10,SEA 39,16,0,Russell Wilson pass complete short middle to Christine Michael for 11 yards (tackle by Trumaine Johnson),1.530,2.260
2,5:16,1,10,,16,0,Christine Michael middle for -3 yards (tackle by Michael Brockers),2.260,1.310
2,4:37,2,13,SEA 47,16,0,Russell Wilson pass complete short right to Christine Michael for 3 yards (tackle by William Hayes),1.310,1.030
2,3:58,3,10,,16,0,Russell Wilson pass complete short middle to Doug Baldwin for 12 yards (tackle by Maurice Alexander and James Laurinaitis),1.030,3.050
2,3:29,1,10,STL 38,16,0,Russell Wilson sacked by William Hayes for -7 yards,3.050,3.050
2,2:42,1,10,STL 38,16,0,Timeout #2 by Seattle Seahawks,3.050,1.560
2,2:42,2,17,STL 45,16,0,Russell Wilson pass complete deep right to Tyler Lockett for 16 yards (tackle by Maurice Alexander),1.560,3.010
2,2:13,3,1,STL 29,16,0,Christine Michael middle for 1 yard (tackle by Michael Brockers),3.010,3.710
2,2:00,1,10,STL 28,16,0,Russell Wilson pass incomplete short right intended for Cooper Helfet,3.710,3.170
2,1:55,2,10,STL 28,16,0,Fred Jackson left tackle for 7 yards (tackle by Eugene Sims and Maurice Alexander),3.170,3.400
2,1:18,3,3,STL 21,16,0,"Russell Wilson pass complete short middle to Doug Baldwin for 13 yards (tackle by Chris Long). Doug Baldwin fumbles (forced by Chris Long), recovered by Jermaine Kearse at STL-3",3.400,5.370
2,0:29,1,8,STL 8,16,0,Russell Wilson pass incomplete short right intended for Jermaine Kearse,5.370,4.570
2,0:27,2,8,STL 8,16,0,Russell Wilson pass incomplete short right intended for Doug Baldwin (defended by Trumaine Johnson),4.570,3.580
