Quarter,Time,Tm,Detail,STL,SEA
1.0,8:10,Rams,Greg Zuerlein 42 yard field goal,3,0
,6:34,Rams,Akeem Ayers 45 yard defensive fumble return (Greg Zuerlein kick),10,0
2.0,6:43,Rams,Kenny Britt 28 yard pass from Case Keenum (Greg Zuerlein kick failed),16,0
,0:15,Seahawks,Stephen Hauschka 26 yard field goal,16,3
3.0,8:23,Seahawks,Doug Baldwin 25 yard pass from Russell Wilson (Stephen Hauschka kick),16,10
4.0,10:34,Rams,Todd Gurley 2 yard rush (Greg Zuerlein kick),23,10
,0:17,Seahawks,Jermaine Kearse 18 yard pass from Russell Wilson (Stephen Hauschka kick),23,17
