Unnamed: 0,STL,SEA
First Downs,14,18
Rush-Yds-TDs,30-102-1,22-59-0
Cmp-Att-Yd-TD-INT,14-23-103-1-0,25-41-289-2-1
Sacked-Yards,0-0,4-36
Net Pass Yards,103,253
Total Yards,205,312
Fumbles-Lost,2-0,5-2
Turnovers,0,3
Penalties-Yards,5-60,10-83
Third Down Conv.,5-12,8-17
Fourth Down Conv.,0-0,1-1
Time of Possession,27:54,32:06
