Unnamed: 0,ARI,NYJ
First Downs,5,20
Rush-Yds-TDs,21-81-0,43-177-0
Cmp-Att-Yd-TD-INT,10-31-72-0-1,15-28-126-1-3
Sacked-Yards,2-16,3-14
Net Pass Yards,56,112
Total Yards,137,289
Fumbles-Lost,0-0,1-1
Turnovers,1,4
Penalties-Yards,4-30,3-20
Third Down Conv.,0-15,5-14
Fourth Down Conv.,1-2,0-0
Time of Possession,21:52,38:08
