Quarter,Time,Tm,Detail,ARI,NYJ
2.0,0:00,Cardinals,Jay Feely 48 yard field goal,3,0
4.0,14:55,Jets,Jeff Cumberland 1 yard pass from Greg McElroy (Nick Folk kick),3,7
,10:39,Cardinals,Jay Feely 35 yard field goal,6,7
