Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 58 yards, returned by William Powell for 14 yards (tackle by Lex Hilliard)",0.000,0.340
1,14:54,1,10,ARI 21,0,0,Chris Wells left tackle for 1 yard (tackle by Antonio Cromartie),0.340,-0.070
1,14:21,2,9,ARI 22,0,0,Ryan Lindley pass complete deep left to Larry Fitzgerald for 23 yards (tackle by Antonio Cromartie),-0.070,1.930
1,13:46,1,10,ARI 45,0,0,LaRod Stephens-Howling up the middle for 1 yard (tackle by Kyle Wilson),1.930,1.520
1,13:11,2,9,ARI 46,0,0,"Ryan Lindley pass incomplete deep right intended for Michael Floyd. Penalty on Kyle Wilson: Defensive Holding, 5 yards (no play)",1.520,2.320
1,13:05,1,10,NYJ 49,0,0,Ryan Lindley pass incomplete short left intended for LaRod Stephens-Howling,2.320,1.780
1,13:01,2,10,NYJ 49,0,0,Chris Wells right tackle for 3 yards (tackle by Calvin Pace),1.780,1.490
1,12:17,3,7,NYJ 46,0,0,Ryan Lindley pass incomplete short middle intended for Rob Housler (defended by Eric Smith),1.490,0.200
1,12:13,4,7,NYJ 46,0,0,"Dave Zastudil punts 33 yards, fair catch by Jeremy Kerley",0.200,0.320
1,12:06,1,10,NYJ 13,0,0,Mark Sanchez pass incomplete short middle intended for Jeremy Kerley is intercepted by Kerry Rhodes at NYJ-28 and returned for 2 yards (tackle by Dustin Keller),-0.320,-3.840
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
1,11:58,1,10,NYJ 26,0,0,William Powell up the middle for 8 yards (tackle by Calvin Pace and David Harris),3.840,4.450
1,11:20,2,2,NYJ 18,0,0,Chris Wells left tackle for 1 yard (tackle by Muhammad Wilkerson and Bryan Thomas),4.450,3.950
1,10:46,3,1,NYJ 17,0,0,Chris Wells right guard for no gain (tackle by Sione Pouha),3.950,2.460
1,10:11,4,1,NYJ 17,0,0,Chris Wells left tackle for -1 yards (tackle by Bryan Thomas),2.460,-0.040
