Unnamed: 0,DEN,KAN
First Downs,22,15
Rush-Yds-TDs,31-154-0,24-89-1
Cmp-Att-Yd-TD-INT,22-40-257-1-2,15-29-184-0-1
Sacked-Yards,1-7,1-6
Net Pass Yards,250,178
Total Yards,404,267
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,5-37,7-60
Third Down Conv.,4-14,5-12
Fourth Down Conv.,3-6,0-0
Time of Possession,33:30,26:30
