Unnamed: 0,SEA,CHI
First Downs,18,13
Rush-Yds-TDs,33-60-2,31-132-0
Cmp-Att-Yd-TD-INT,19-31-227-1-0,11-25-123-1-4
Sacked-Yards,1-1,4-34
Net Pass Yards,226,89
Total Yards,286,221
Fumbles-Lost,2-1,1-1
Turnovers,1,5
Penalties-Yards,6-36,5-45
Third Down Conv.,6-16,3-10
Fourth Down Conv.,0-2,0-0
Time of Possession,31:37,28:23
