Quarter,Time,Tm,Detail,SEA,CHI
1.0,8:41,Seahawks,Marshawn Lynch 2 yard rush (Stephen Hauschka kick),7,0
,2:23,Bears,Israel Idonije defensive fumble recovery in end zone (Robbie Gould kick),7,7
2.0,1:51,Bears,Kahlil Bell 25 yard pass from Caleb Hanie (Robbie Gould kick),7,14
3.0,13:02,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),14,14
,12:12,Seahawks,Red Bryant 20 yard interception return (Stephen Hauschka kick),21,14
,1:03,Seahawks,Stephen Hauschka 33 yard field goal,24,14
4.0,12:39,Seahawks,Michael Robinson 2 yard pass from Tarvaris Jackson (Stephen Hauschka kick),31,14
,5:00,Seahawks,Brandon Browner 42 yard interception return (Stephen Hauschka kick),38,14
