Unnamed: 0,SDG,MIA
First Downs,12,24
Rush-Yds-TDs,20-64-0,44-222-2
Cmp-Att-Yd-TD-INT,15-22-107-0-1,14-23-194-1-0
Sacked-Yards,3-27,1-3
Net Pass Yards,80,191
Total Yards,144,413
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,6-41,7-70
Third Down Conv.,2-9,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:06,35:54
