Quarter,Time,Down,ToGo,Location,SDG,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 65 yards, returned by Ronney Jenkins for 29 yards (tackle by Travis Minor)",0.000,1.200
1,14:52,1,10,SDG 34,0,0,LaDainian Tomlinson middle for 3 yards (tackle by Tim Bowens),1.200,1.060
1,14:14,2,7,SDG 37,0,0,Drew Brees pass incomplete intended for Reche Caldwell is intercepted by Zach Thomas at SDG-38 and returned for 7 yards,1.060,-3.510
1,14:07,1,10,SDG 31,0,0,Ricky Williams middle for 14 yards (tackle by Rodney Harrison),3.510,4.440
1,13:33,1,10,SDG 17,0,0,Ricky Williams right tackle for 2 yards (tackle by Donnie Edwards),4.440,4.150
1,12:57,2,8,SDG 15,0,0,Ray Lucas pass complete to Chris Chambers for 7 yards (tackle by Junior Seau),4.150,4.800
1,12:16,3,1,SDG 8,0,0,Ray Lucas pass complete to Rob Konrad for 4 yards (tackle by Rodney Harrison and Donnie Edwards),4.800,6.280
1,11:34,1,4,SDG 4,0,0,Ricky Williams right tackle for 3 yards (tackle by Rodney Harrison),6.280,5.910
1,10:57,2,1,SDG 1,0,0,Ricky Williams middle for -1 yards (tackle by Jamal Williams),5.910,4.950
1,10:16,3,2,SDG 2,0,0,Ray Lucas pass incomplete intended for Chris Chambers,4.950,3.250
1,10:11,4,2,SDG 2,0,3,Olindo Mare 20 yard field goal good,3.250,3.000
1,10:11,,,MIA 30,0,3,"Olindo Mare kicks off 71 yards, returned by Ronney Jenkins for 24 yards (tackle by David Bowens)",0.000,0.480
1,10:00,1,10,SDG 23,0,3,LaDainian Tomlinson left guard for no gain (tackle by Larry Chester and Jason Taylor),0.480,-0.070
1,9:26,2,10,SDG 23,0,3,Drew Brees pass complete to Reche Caldwell for 10 yards (tackle by Jamar Fletcher),-0.070,1.140
1,8:50,1,10,SDG 33,0,3,"LaDainian Tomlinson left end for 4 yards (tackle by Sam Madison and Zach Thomas). Penalty on Sam Madison: Personal Foul, 15 yards",1.140,2.390
1,8:25,1,10,MIA 48,0,3,LaDainian Tomlinson right tackle for 2 yards (tackle by Jamar Fletcher),2.390,2.120
1,8:12,2,8,MIA 46,0,3,LaDainian Tomlinson middle for 9 yards (tackle by Arturo Freeman),2.120,3.120
1,7:58,1,10,MIA 37,0,3,Drew Brees pass complete to LaDainian Tomlinson for 12 yards (tackle by Derrick Rodgers),3.120,3.910
1,6:32,1,10,MIA 25,0,3,LaDainian Tomlinson right end for -1 yards (tackle by Patrick Surtain),3.910,3.230
1,5:48,2,11,MIA 26,0,3,LaDainian Tomlinson right guard for 3 yards (tackle by Larry Chester),3.230,2.940
1,5:05,3,8,MIA 23,0,3,Drew Brees pass complete to Tim Dwight for 3 yards (tackle by Shawn Wooden),2.940,2.170
1,4:32,4,5,MIA 20,3,3,Steve Christie 38 yard field goal good,2.170,3.000
1,4:32,,,SDG 30,3,3,"Wade Richey kicks off 67 yards, returned by Travis Minor for 11 yards (tackle by Davis Sanchez)",0.000,1.600
1,4:18,1,10,MIA 40,3,3,Ray Lucas pass complete to Rob Konrad for 9 yards (tackle by Rodney Harrison),1.600,2.270
1,3:52,2,1,MIA 49,3,3,Ricky Williams left tackle for 12 yards (tackle by Ryan McNeil),2.270,2.980
1,3:20,1,10,SDG 39,3,3,Ray Lucas pass complete to Rob Konrad for 6 yards (tackle by Junior Seau),2.980,3.250
1,2:45,2,4,SDG 33,3,3,Ricky Williams middle for 19 yards (tackle by Ryan McNeil),3.250,4.650
1,1:57,1,10,SDG 14,3,3,"Ricky Williams left tackle for 4 yards. Penalty on Chris Chambers: Offensive Holding, 10 yards",4.650,4.240
1,1:49,1,16,SDG 20,3,9,"Ray Lucas pass complete to James McKnight for 20 yards, touchdown",4.240,7.000
1,1:49,,,SDG 20,3,10,Olindo Mare kicks extra point good,0.000,0.000
1,1:49,,,MIA 30,3,10,"Olindo Mare kicks off 59 yards, returned by Ronney Jenkins for 14 yards (tackle by Tommy Hendricks)",0.000,0.610
1,1:38,1,10,SDG 25,3,10,Drew Brees pass incomplete intended for Stephen Alexander,0.610,0.060
1,1:28,2,10,SDG 25,3,10,Drew Brees pass complete to Reche Caldwell for 7 yards (tackle by Zach Thomas and Patrick Surtain),0.060,0.300
1,0:56,3,3,SDG 32,3,10,"Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Arturo Freeman). Penalty on Jamar Fletcher: Defensive Holding, 5 yards (no play)",0.300,1.400
1,0:48,1,10,SDG 37,3,10,"Drew Brees pass incomplete intended for Tim Dwight is intercepted by Patrick Surtain at MIA-29. Penalty on Zach Thomas: Roughing the Passer, 15 yards (no play)",1.400,2.390
1,0:38,1,10,MIA 48,3,10,Drew Brees sacked by Jason Taylor for -9 yards,2.390,0.630
1,0:04,1,10,MIA 48,,,Timeout #1 by Los Angeles Chargers,2.390,0.630
1,0:04,2,19,SDG 43,3,10,Drew Brees pass complete to LaDainian Tomlinson for 2 yards (tackle by Patrick Surtain),0.630,0.230
Quarter,Time,Down,ToGo,Location,SDG,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,SDG 45,3,10,Drew Brees pass complete to Stephen Alexander for 8 yards (tackle by Sam Madison),0.230,0.130
2,14:18,4,9,MIA 47,3,10,"Darren Bennett punts 33 yards, fair catch by Dedric Ward",0.130,0.280
2,14:09,1,10,MIA 14,3,10,Ricky Williams right tackle for no gain (tackle by Junior Seau and Marcellus Wiley),-0.280,-0.750
2,13:34,2,10,MIA 14,3,10,Ray Lucas pass complete to Chris Chambers for 9 yards (tackle by Quentin Jammer),-0.750,-0.320
2,12:59,3,1,MIA 23,3,10,"Ray Lucas pass incomplete intended for James McKnight. Penalty on Ben Leber: Defensive Pass Interference, 3 yards (no play)",-0.320,0.670
2,12:55,1,10,MIA 26,3,10,Ricky Williams middle for 9 yards (tackle by Quentin Jammer),0.670,1.350
2,12:15,2,1,MIA 35,3,10,Ricky Williams right guard for 3 yards (tackle by Jason Fisk and Raylee Johnson),1.350,1.470
2,11:34,1,10,MIA 38,3,10,Ray Lucas pass incomplete intended for Randy McMichael,1.470,0.920
2,11:29,2,10,MIA 38,3,10,Ricky Williams right end for 1 yard (tackle by Rodney Harrison),0.920,0.370
2,10:47,3,9,MIA 39,3,10,"Ray Lucas pass incomplete intended for James McKnight. Penalty on Junior Seau: Defensive Offside, 5 yards (no play)",0.370,1.020
2,10:41,3,4,MIA 44,3,10,Ray Lucas left tackle for 10 yards (tackle by Davis Sanchez). Penalty on Raylee Johnson: Defensive Offside (Declined),1.020,2.520
2,10:14,1,10,SDG 46,3,10,Ray Lucas pass complete to James McKnight for 14 yards (tackle by Adrian Dingle),2.520,3.450
2,9:26,1,10,SDG 32,3,10,Ray Lucas pass complete to Robert Baker for 17 yards (tackle by Rodney Harrison),3.450,4.580
2,8:55,1,10,SDG 15,3,10,Ricky Williams right guard for 1 yard (tackle by Donnie Edwards and Rodney Harrison),4.580,4.110
2,8:19,2,9,SDG 14,3,10,Ray Lucas pass complete to Chris Chambers for 11 yards,4.110,6.510
2,7:54,1,3,SDG 3,3,10,Ricky Williams right tackle for 2 yards (tackle by Keith Lyle),6.510,5.910
2,7:35,2,1,SDG 1,3,10,Ray Lucas right guard for no gain (tackle by Jason Fisk and Junior Seau),5.910,5.170
2,6:50,2,1,SDG 1,,,Timeout #1 by Miami Dolphins,5.910,5.170
2,6:50,3,1,SDG 1,3,16,"Ricky Williams right guard for 1 yard, touchdown",5.170,7.000
2,6:50,,,SDG 1,3,17,Olindo Mare kicks extra point good,0.000,0.000
2,6:50,,,MIA 30,3,17,"Olindo Mare kicks off 67 yards, returned by Ronney Jenkins for 24 yards (tackle by Scott McGarrahan)",0.000,0.740
2,6:38,1,10,SDG 27,3,17,Drew Brees pass complete to Stephen Alexander for 6 yards (tackle by Zach Thomas),0.740,1.010
2,6:03,2,4,SDG 33,3,17,LaDainian Tomlinson left guard for 4 yards (tackle by Zach Thomas),1.010,1.400
2,5:21,1,10,SDG 37,3,17,Drew Brees pass complete to Stephen Alexander for 11 yards (tackle by Brock Marion),1.400,2.130
