Quarter,Time,Tm,Detail,SDG,MIA
1.0,10:06,Dolphins,Olindo Mare 20 yard field goal,0,3
,4:27,Chargers,Steve Christie 38 yard field goal,3,3
,1:43,Dolphins,James McKnight 20 yard pass from Ray Lucas (Olindo Mare kick),3,10
2.0,6:45,Dolphins,Ricky Williams 1 yard rush (Olindo Mare kick),3,17
,0:15,Dolphins,Olindo Mare 38 yard field goal,3,20
3.0,2:14,Dolphins,Ricky Williams 12 yard rush (Olindo Mare kick),3,27
4.0,13:02,Dolphins,Olindo Mare 23 yard field goal,3,30
