Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA
2,13:36,3,9,CAR 18,0,0,Baker Mayfield pass complete short right to D.J. Moore for 5 yards (tackle by Marcus Peters),-1.130,-1.830
2,12:35,4,4,CAR 23,0,0,"Johnny Hekker punts 48 yards, returned by Devin Duvernay for 5 yards (tackle by Joel Iyiegbuniwe). Penalty on Raheem Blackshear: Face Mask (15 Yards), 15 yards (accepted)",-1.830,-2.190
2,12:35,1,10,BAL 49,0,0,Kenyan Drake left tackle for no gain (tackle by Brian Burns and Frankie Luvu),2.190,1.650
2,11:52,2,10,BAL 49,0,0,Lamar Jackson pass complete short right to Mike Davis for -3 yards (tackle by Shaq Thompson),1.650,0.560
2,11:05,3,13,BAL 46,0,0,Lamar Jackson pass complete short right to Demarcus Robinson for 13 yards (tackle by C.J. Henderson),0.560,2.850
2,10:52,1,10,CAR 41,0,0,Lamar Jackson pass complete short left to Demarcus Robinson for 7 yards (tackle by C.J. Henderson),2.850,3.250
2,10:15,2,3,CAR 34,0,0,Lamar Jackson right end for 5 yards (tackle by Sam Franklin),3.250,3.640
2,9:30,1,10,CAR 29,0,0,Lamar Jackson pass short middle intended for Mark Andrews is intercepted by Bravvion Roy at CAR-32 and returned for 3 yards (tackle by Ronnie Stanley),3.640,-1.270
2,9:19,1,10,CAR 35,0,0,Baker Mayfield pass complete short right to Ian Thomas for 8 yards (tackle by Marcus Peters),1.270,1.800
2,8:44,2,2,CAR 43,0,0,Chuba Hubbard left guard for 2 yards (tackle by Calais Campbell and Broderick Washington),1.800,1.930
2,7:59,1,10,CAR 45,0,0,Baker Mayfield pass complete short right to Laviska Shenault for 1 yard (tackle by Kyle Hamilton),1.930,1.520
2,7:17,2,9,CAR 46,0,0,D'Onta Foreman right tackle for 2 yards (tackle by Patrick Queen),1.520,1.090
2,6:36,3,7,CAR 48,0,0,Baker Mayfield scrambles up the middle for 8 yards (tackle by Patrick Queen and Marcus Peters),1.090,2.650
2,5:52,1,10,BAL 44,0,0,D'Onta Foreman left guard for no gain (tackle by Kyle Hamilton),2.650,2.110
2,5:08,2,10,BAL 44,0,0,"Baker Mayfield pass incomplete deep left intended for Tommy Tremble (defended by Marlon Humphrey). Penalty on Chuba Hubbard: Chop Block, 15 yards (accepted) (no play)",2.110,0.080
2,5:01,2,25,CAR 41,0,0,Baker Mayfield pass complete short middle to Ian Thomas for 12 yards (tackle by Brent Urban),0.080,1.030
2,4:09,3,13,BAL 47,0,0,", recovered by Baker Mayfield at 50 Baker Mayfield for no gain. Penalty on Bradley Bozeman: False Start, 5 yards (accepted) (no play)",1.030,0.370
2,3:52,3,18,CAR 48,0,0,Baker Mayfield pass incomplete intended for D.J. Moore,0.370,-0.190
2,3:49,4,18,CAR 48,0,0,Johnny Hekker punts 42 yards downed by Joel Iyiegbuniwe,-0.190,0.380
2,3:38,1,10,BAL 10,0,0,Lamar Jackson pass complete short middle to Demarcus Robinson for 6 yards (tackle by Brandon Smith),-0.380,-0.230
2,3:13,2,4,BAL 16,0,0,Justice Hill right tackle for 3 yards (tackle by Frankie Luvu),-0.230,-0.370
2,2:33,3,1,BAL 19,0,0,Devin Duvernay right end for 4 yards (tackle by Shaq Thompson and Jeremy Chinn),-0.370,0.480
2,2:00,1,10,BAL 23,0,0,Lamar Jackson left end for 7 yards (tackle by Sam Franklin),0.480,0.880
2,1:28,2,3,BAL 30,0,0,Justice Hill right tackle for 4 yards (tackle by Frankie Luvu and Shaq Thompson),0.880,1.200
2,1:08,1,10,BAL 34,0,0,Lamar Jackson pass complete short right to Justice Hill for 3 yards (tackle by Jeremy Chinn),1.200,1.060
2,0:53,2,7,BAL 37,0,0,Lamar Jackson pass complete short left to Demarcus Robinson for 7 yards (tackle by C.J. Henderson),1.060,1.860
2,0:45,1,10,BAL 44,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Xavier Woods),1.860,2.400
2,0:39,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:39,2,2,CAR 48,0,0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,2.400,1.690
2,0:35,3,2,CAR 48,0,0,Lamar Jackson right end for 3 yards (tackle by Frankie Luvu),1.690,2.590
2,0:28,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:28,1,10,CAR 45,0,0,Lamar Jackson pass complete short middle to Demarcus Robinson for 31 yards (tackle by Keith Taylor),2.590,4.650
2,0:21,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:21,1,10,CAR 14,0,0,Lamar Jackson pass incomplete short left intended for James Proche,4.650,4.000
2,0:17,2,10,CAR 14,0,0,Lamar Jackson pass incomplete intended for Isaiah Likely,4.000,3.110
2,0:10,,,,,,Timeout #2 by Carolina Panthers,,
2,0:10,3,10,CAR 14,0,0,Lamar Jackson pass incomplete short middle,3.110,2.510
2,0:05,4,10,CAR 14,0,3,Justin Tucker 32 yard field goal good,2.510,3.000
Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,0,3,"Justin Tucker kicks off 42 yards, returned by Raheem Blackshear for 8 yards (tackle by Justice Hill)",0.000,1.000
3,14:57,1,10,CAR 31,0,3,Baker Mayfield pass complete short middle to Ian Thomas for 4 yards (tackle by Roquan Smith),1.000,1.000
3,14:23,2,6,CAR 35,0,3,D'Onta Foreman right end for no gain (tackle by Tyus Bowser),1.000,0.300
3,14:00,3,6,CAR 35,0,3,Baker Mayfield pass incomplete short right intended for Ian Thomas,0.300,-1.040
3,13:55,4,6,CAR 35,0,3,"Johnny Hekker punts 53 yards, returned by Devin Duvernay for no gain (tackle by Sam Franklin). Penalty on Kyle Hamilton: Offensive Holding, 6 yards (accepted)",-1.040,0.380
3,13:41,1,10,BAL 6,0,3,Kenyan Drake right end for 3 yards (tackle by Frankie Luvu),-0.380,-0.560
3,12:58,2,7,BAL 9,0,3,Lamar Jackson sacked by Frankie Luvu for -1 yards,-0.560,-1.190
3,12:17,3,8,BAL 8,0,3,Lamar Jackson for -1 yards (tackle by Jaycee Horn),-1.190,-2.490
3,11:29,4,9,BAL 7,0,3,"Jordan Stout punts 44 yards, returned by Shi Smith for -3 yards (tackle by Malik Harrison)",-2.490,-1.990
3,11:22,1,10,CAR 46,0,3,D'Onta Foreman up the middle for 1 yard (tackle by Justin Houston and Broderick Washington),1.990,1.590
3,10:41,2,9,CAR 47,0,3,Baker Mayfield pass incomplete short middle intended for D.J. Moore,1.590,0.890
3,10:37,3,9,CAR 47,0,3,Baker Mayfield pass complete deep right to Terrace Marshall for 24 yards (tackle by Marcus Peters),0.890,3.710
3,10:14,1,10,BAL 28,0,3,Baker Mayfield pass incomplete short right,3.710,3.100
3,10:08,2,10,BAL 29,0,3,Baker Mayfield pass complete short left to Laviska Shenault for 2 yards (tackle by Geno Stone and Brent Urban),3.100,2.680
3,9:41,3,8,BAL 27,0,3,"Baker Mayfield pass incomplete deep left intended for Tommy Tremble. Penalty on Chuck Clark: Defensive Pass Interference, 12 yards (accepted) (no play)",2.680,4.580
3,9:34,1,10,BAL 15,0,3,Chuba Hubbard left end for -3 yards (tackle by Jason Pierre-Paul),4.580,3.560
3,8:57,2,13,BAL 18,0,3,Baker Mayfield pass incomplete deep left intended for Terrace Marshall,3.560,2.890
3,8:52,3,13,BAL 18,0,3,Baker Mayfield scrambles up the middle for 4 yards (tackle by Patrick Queen),2.890,2.510
3,8:11,4,9,BAL 14,3,3,Eddy Pineiro 32 yard field goal good,2.510,3.000
3,8:07,,,CAR 35,3,3,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
3,8:07,1,10,BAL 25,3,3,Justice Hill right guard for 11 yards (tackle by Brandon Smith),0.610,1.330
3,7:27,1,10,BAL 36,3,3,Lamar Jackson pass complete deep left to Demarcus Robinson for 20 yards (tackle by C.J. Henderson),1.330,2.650
3,6:47,1,10,CAR 44,3,3,Lamar Jackson pass complete short right to Devin Duvernay for 3 yards (tackle by Jeremy Chinn),2.650,2.520
3,6:21,2,7,CAR 41,3,3,Lamar Jackson pass complete short right to Josh Oliver for 2 yards (tackle by Jaycee Horn and Frankie Luvu),2.520,2.080
3,5:42,3,5,CAR 39,3,3,Lamar Jackson pass complete short middle to Mark Andrews for 14 yards (tackle by Jeremy Chinn),2.080,3.910
3,5:12,1,10,CAR 25,3,3,Lamar Jackson pass incomplete short middle intended for Kenyan Drake,3.910,3.360
3,5:09,2,10,CAR 25,3,3,Justice Hill right guard for 6 yards (tackle by Marquis Haynes),3.360,3.490
3,4:34,3,4,CAR 19,3,3,"Lamar Jackson pass complete short left to Justice Hill for no gain. Penalty on Morgan Moses: Personal Foul / Offense, 15 yards (accepted) (no play)",3.490,1.490
3,4:20,3,19,CAR 34,3,3,Lamar Jackson sacked by Brian Burns for -7 yards,1.490,0.530
3,4:01,4,26,CAR 41,3,3,"Jordan Stout punts, touchback. BAL challenged the touchback ruling, and the original play was overturned. Jordan Stout punts 35 yards downed by Nick Moore",0.530,0.380
3,3:53,1,10,CAR 6,3,3,Baker Mayfield pass complete short middle to D.J. Moore for 7 yards (tackle by Chuck Clark),-0.380,-0.270
3,3:21,2,3,CAR 13,3,3,D'Onta Foreman left guard for 5 yards (tackle by Roquan Smith),-0.270,0.040
3,2:47,1,10,CAR 18,3,3,"Baker Mayfield pass complete short right to Shi Smith for 10 yards (tackle by Chuck Clark). Penalty on Chuck Clark: Face Mask (15 Yards), 15 yards (accepted)",0.040,1.800
3,2:22,1,10,CAR 43,3,3,Chuba Hubbard right tackle for 1 yard (tackle by Patrick Queen and Odafe Oweh),1.800,1.390
3,1:43,2,9,CAR 44,3,3,Baker Mayfield pass incomplete short middle intended for D'Onta Foreman,1.390,0.690
3,1:32,3,9,CAR 44,3,3,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",0.690,0.040
3,1:32,3,14,CAR 39,3,3,Baker Mayfield pass complete short right to Raheem Blackshear for 10 yards (tackle by Roquan Smith),0.040,-0.130
3,0:45,4,4,CAR 49,3,3,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-0.130,-0.460
3,0:34,4,9,CAR 44,3,3,"Johnny Hekker punts 42 yards, fair catch by Devin Duvernay at BAL-14",-0.460,0.280
3,0:27,1,10,BAL 14,3,3,Lamar Jackson pass complete short middle to Kenyan Drake for 5 yards (tackle by Jeremy Chinn),-0.280,-0.040
Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,BAL 19,3,3,Kenyan Drake right end for 4 yards (tackle by Frankie Luvu),-0.040,-0.320
4,14:16,3,1,BAL 23,3,3,Lamar Jackson pass complete short right to Demarcus Robinson for 12 yards (tackle by C.J. Henderson),-0.320,1.270
4,13:41,1,10,BAL 35,3,3,Kenyan Drake right guard for 9 yards (tackle by Frankie Luvu),1.270,1.940
4,12:56,2,1,BAL 44,3,3,Patrick Ricard up the middle for 4 yards (tackle by Bravvion Roy),1.940,2.130
4,12:12,1,10,BAL 48,3,3,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Jaycee Horn),2.130,2.460
4,11:33,2,4,CAR 45,3,3,Justice Hill right tackle for 4 yards (tackle by Shaq Thompson),2.460,2.850
4,10:53,1,10,CAR 41,3,3,Lamar Jackson pass complete short left to Mark Andrews for 16 yards (tackle by Jeremy Chinn),2.850,3.910
4,10:12,1,10,CAR 25,3,3,Justice Hill left end for 2 yards (tackle by Xavier Woods),3.910,3.630
4,9:26,2,8,CAR 23,3,3,Lamar Jackson pass incomplete short middle intended for Kenyan Drake,3.630,2.940
4,9:19,3,8,CAR 23,3,3,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",2.940,2.280
4,9:19,3,13,CAR 28,3,3,Lamar Jackson pass complete short right to Demarcus Robinson for 9 yards (tackle by Yetur Gross-Matos and Jeremy Chinn),2.280,2.260
4,8:31,4,4,CAR 19,3,6,Justin Tucker 37 yard field goal good,2.260,3.000
4,8:27,,,BAL 35,3,6,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,8:27,1,10,CAR 25,3,6,Baker Mayfield pass incomplete short right,0.610,0.060
4,8:22,2,10,CAR 25,3,6,"Baker Mayfield pass complete short right to Shi Smith for 4 yards. Shi Smith fumbles (forced by Marcus Peters), recovered by Marlon Humphrey at CAR-29 (tackle by Marcus Peters)",0.060,-3.510
4,8:14,1,10,CAR 31,3,6,Kenyan Drake left end for 29 yards (tackle by Xavier Woods),3.510,6.740
4,7:50,1,2,CAR 2,3,6,"Kenyan Drake up the middle for no gain. Penalty on Brian Burns: Defensive Offside, 1 yard (accepted) (no play)",6.740,6.970
4,7:20,1,1,CAR 1,3,12,"Lamar Jackson up the middle for 1 yard, touchdown",6.970,7.000
4,7:16,,,CAR 15,3,13,Justin Tucker kicks extra point good,0.000,0.000
4,7:16,,,BAL 35,3,13,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,7:16,1,10,CAR 25,3,13,"Penalty on Del'Shawn Phillips: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.610,1.600
4,7:16,1,10,CAR 40,3,13,D'Onta Foreman left guard for 2 yards (tackle by Patrick Queen),1.600,1.320
4,6:55,2,8,CAR 42,3,13,Baker Mayfield sacked by Calais Campbell for -9 yards,1.320,-0.560
4,6:13,3,17,CAR 33,3,13,Baker Mayfield pass complete short left to Chuba Hubbard for 10 yards (tackle by Patrick Queen),-0.560,-0.520
4,5:37,4,7,CAR 43,3,13,Baker Mayfield sacked by Jason Pierre-Paul for -8 yards,-0.520,-3.250
4,5:26,1,10,CAR 35,3,13,"Lamar Jackson left end for 9 yards (tackle by Jeremy Chinn). Penalty on James Proche: Offensive Holding, 10 yards (accepted)",3.250,3.180
4,5:02,1,11,CAR 36,3,13,Kenyan Drake left end for 3 yards (tackle by C.J. Henderson),3.180,2.970
4,4:48,2,8,CAR 33,3,13,Lamar Jackson pass complete short middle to Isaiah Likely for 1 yard (tackle by Xavier Woods and Shaq Thompson),2.970,2.410
4,4:43,,,,,,Timeout #1 by Carolina Panthers,,
4,4:43,3,7,CAR 32,3,13,Lamar Jackson sacked by Yetur Gross-Matos for -8 yards,2.410,0.590
4,4:37,,,,,,Timeout #2 by Carolina Panthers,,
4,4:37,4,15,CAR 40,3,13,"Jordan Stout punts 27 yards, fair catch by Shi Smith at CAR-13",0.590,0.320
4,4:31,1,10,CAR 13,3,13,Baker Mayfield pass incomplete short left intended for Chuba Hubbard,-0.320,-0.770
4,4:25,2,10,CAR 13,3,13,"Baker Mayfield pass incomplete intended for Terrace Marshall. Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (accepted) (no play)",-0.770,-0.140
4,4:20,2,5,CAR 18,3,13,Baker Mayfield pass complete short middle to Shi Smith for 8 yards (tackle by Geno Stone and Tyus Bowser),-0.140,0.670
4,4:02,1,10,CAR 26,3,13,Baker Mayfield pass complete short middle to Chuba Hubbard for 15 yards (tackle by Roquan Smith),0.670,1.660
4,3:35,1,10,CAR 41,3,13,Baker Mayfield pass short right intended for Shi Smith is intercepted by Marlon Humphrey at CAR-41 and returned for no gain (tackle by Shi Smith),1.660,-2.850
4,3:28,1,10,CAR 41,3,13,Kenyan Drake right tackle for -1 yards (tackle by Derrick Brown),2.850,2.170
4,3:25,,,,,,Timeout #3 by Carolina Panthers,,
4,3:25,2,11,CAR 42,3,13,Lamar Jackson left end for -1 yards (tackle by C.J. Henderson),2.170,1.350
4,2:44,3,12,CAR 43,3,13,"Penalty on Brian Burns: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.350,2.020
4,2:44,3,7,CAR 38,3,13,Lamar Jackson up the middle for -3 yards (tackle by Brian Burns),2.020,0.530
4,2:00,4,10,CAR 41,3,13,"Jordan Stout punts 22 yards, recovered by Shi Smith at CAR-19",0.530,-0.150
4,1:52,1,10,CAR 19,3,13,Baker Mayfield sacked by Roquan Smith for -1 yards,0.150,-0.560
4,1:45,2,11,CAR 18,3,13,"Penalty on Tommy Tremble: False Start, 5 yards (accepted) (no play)",-0.560,-1.210
4,1:45,2,16,CAR 13,3,13,Baker Mayfield pass complete deep left to Terrace Marshall for 18 yards (tackle by Brandon Stephens),-1.210,1.000
4,1:38,1,10,CAR 31,3,13,Baker Mayfield pass complete deep middle to Terrace Marshall for 34 yards (tackle by Brandon Stephens),1.000,3.250
4,1:24,1,10,BAL 35,3,13,Baker Mayfield pass complete short middle to Shi Smith for 4 yards (tackle by Patrick Queen),3.250,3.240
4,1:02,2,6,BAL 31,3,13,Baker Mayfield pass incomplete short left intended for Terrace Marshall (defended by Brandon Stephens),3.240,2.540
4,0:49,3,6,BAL 31,3,13,Baker Mayfield pass short middle (defended by Broderick Washington) intended for Raheem Blackshear is intercepted by Jason Pierre-Paul at BAL-41 and returned for 3 yards (tackle by Taylor Moton),2.540,-1.860
4,0:43,1,10,BAL 44,3,13,Lamar Jackson kneels for -1 yards,1.860,1.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
