Unnamed: 0,CAR,BAL
First Downs,13,19
Rush-Yds-TDs,17-36-0,30-115-1
Cmp-Att-Yd-TD-INT,21-33-196-0-2,24-33-209-0-1
Sacked-Yards,4-27,3-16
Net Pass Yards,169,193
Total Yards,205,308
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,9-66,10-93
Third Down Conv.,3-12,6-15
Fourth Down Conv.,0-1,0-0
Time of Possession,26:46,33:14
