Quarter,Time,Tm,Detail,CAR,BAL
2.0,0:00,Ravens,Justin Tucker 32 yard field goal,0,3
3.0,8:07,Panthers,Eddy Pineiro 32 yard field goal,3,3
4.0,8:27,Ravens,Justin Tucker 37 yard field goal,3,6
,7:16,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),3,13
