Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Mike Vanderjagt kicks off 64 yards, returned by Richard Marshall for 26 yards (tackle by Ryan Fowler)",0.000,1.070
1,14:53,1,10,CAR 32,0,0,Jake Delhomme pass incomplete deep left intended for Keyshawn Johnson,1.070,0.530
1,14:47,2,10,CAR 32,0,0,DeShaun Foster right tackle for 1 yard (tackle by Greg Ellis),0.530,-0.030
1,14:09,3,9,CAR 33,0,0,Jake Delhomme pass incomplete,-0.030,-1.180
1,14:03,4,9,CAR 33,0,0,"Jason Baker punts 53 yards, returned by Terence Newman for 11 yards (tackle by Brad Hoover)",-1.180,-0.610
1,13:50,1,10,DAL 25,0,0,Tony Romo pass complete short left to Terrell Owens for 7 yards (tackle by Mike Minter),0.610,1.010
1,13:26,2,3,DAL 32,0,0,"Tony Romo pass complete short right to Anthony Fasano for 9 yards (tackle by Thomas Davis). Penalty on Andre Gurode: Chop Block, 15 yards (no play)",1.010,-1.150
1,13:01,2,18,DAL 17,0,0,Tony Romo pass complete short right to Jason Witten for 8 yards (tackle by Mike Minter),-1.150,-0.620
1,12:17,3,10,DAL 25,0,0,Tony Romo sacked by Kris Jenkins for -6 yards,-0.620,-2.140
1,12:03,4,16,DAL 19,0,0,"Mat McBriar punts 51 yards, returned by Chris Gamble for 6 yards (tackle by Akin Ayodele)",-2.140,-1.330
1,11:53,1,10,CAR 36,0,0,DeShaun Foster right guard for no gain (tackle by Akin Ayodele),1.330,0.790
1,11:17,2,10,CAR 36,0,0,Jake Delhomme pass incomplete short left intended for Steve Smith,0.790,0.100
1,11:13,3,10,CAR 36,0,0,Jake Delhomme pass incomplete deep right intended for Steve Smith,0.100,-0.980
1,11:07,4,10,CAR 36,0,0,"Jason Baker punts 51 yards, returned by Patrick Crayton for 5 yards (tackle by Brad Hoover)",-0.980,-0.040
1,10:57,1,10,DAL 18,0,0,Julius Jones left tackle for 13 yards (tackle by Na'il Diggs),0.040,1.000
1,10:19,1,10,DAL 31,0,0,Julius Jones left guard for -2 yards (tackle by Ma'ake Kemoeatu),1.000,0.190
