Unnamed: 0,NWE,NYG
First Downs,27,19
Rush-Yds-TDs,26-44-2,19-79-0
Cmp-Att-Yd-TD-INT,32-42-356-2-0,22-32-251-4-1
Sacked-Yards,1-10,1-14
Net Pass Yards,346,237
Total Yards,390,316
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-42,5-53
Third Down Conv.,6-13,6-10
Fourth Down Conv.,1-1,0-0
Time of Possession,36:18,23:42
