Quarter,Time,Tm,Detail,NWE,NYG
1.0,10:59,Giants,Brandon Jacobs 7 yard pass from Eli Manning (Lawrence Tynes kick),0,7
,5:19,Patriots,Stephen Gostkowski 37 yard field goal,3,7
2.0,14:55,Patriots,Randy Moss 4 yard pass from Tom Brady (Stephen Gostkowski kick),10,7
,14:44,Giants,Domenik Hixon 74 yard kickoff return (Lawrence Tynes kick),10,14
,9:59,Patriots,Stephen Gostkowski 45 yard field goal,13,14
,1:59,Patriots,Stephen Gostkowski 37 yard field goal,16,14
,0:13,Giants,Kevin Boss 3 yard pass from Eli Manning (Lawrence Tynes kick),16,21
3.0,9:12,Giants,Plaxico Burress 19 yard pass from Eli Manning (Lawrence Tynes kick),16,28
,4:00,Patriots,Laurence Maroney 6 yard rush (Stephen Gostkowski kick),23,28
4.0,11:06,Patriots,Randy Moss 65 yard pass from Tom Brady (Laurence Maroney run),31,28
,4:36,Patriots,Laurence Maroney 5 yard rush (Stephen Gostkowski kick),38,28
,1:04,Giants,Plaxico Burress 3 yard pass from Eli Manning (Lawrence Tynes kick),38,35
