Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 63 yards, returned by Domenik Hixon for 19 yards (tackle by Brandon Meriweather)",0.000,0.670
1,14:55,1,10,NYG 26,0,0,Brandon Jacobs right tackle for 4 yards (tackle by Ty Warren),0.670,0.670
1,14:21,2,6,NYG 30,0,0,Eli Manning pass complete deep middle to Plaxico Burress for 52 yards (tackle by Ellis Hobbs),0.670,4.370
1,13:36,1,10,NWE 18,0,0,Eli Manning pass incomplete short right intended for Steve Smith (defended by Asante Samuel),4.370,3.800
,,,,,,,"NYG challenged the pass completion ruling, and the play was upheld.",,
1,13:25,2,10,NWE 18,0,0,Brandon Jacobs right tackle for no gain (tackle by Ty Warren and Mike Vrabel),3.800,3.050
1,12:43,3,10,NWE 18,0,0,Eli Manning pass complete short left to Plaxico Burress for 10 yards (tackle by Ellis Hobbs),3.050,5.370
1,11:54,1,8,NWE 8,0,0,Brandon Jacobs right guard for 1 yard (tackle by Vince Wilfork),5.370,4.760
1,11:10,2,7,NWE 7,0,6,"Eli Manning pass complete short middle to Brandon Jacobs for 7 yards, touchdown",4.760,7.000
1,,,,NWE 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,NYG 30,0,7,"Lawrence Tynes kicks off 59 yards, returned by Ellis Hobbs for 16 yards (tackle by Reggie Torbor)",0.000,0.740
1,10:52,1,10,NWE 27,0,7,Tom Brady pass complete short middle to Randy Moss for 14 yards (tackle by Gibril Wilson),0.740,1.660
1,10:18,1,10,NWE 41,0,7,Tom Brady pass complete short left to Wes Welker for 14 yards (tackle by Antonio Pierce),1.660,2.590
1,9:43,1,10,NYG 45,0,7,Laurence Maroney left tackle for no gain (tackle by Michael Strahan and Fred Robbins),2.590,2.040
1,9:04,2,10,NYG 45,0,7,Tom Brady pass incomplete short right intended for Ben Watson,2.040,1.360
1,8:55,3,10,NYG 45,0,7,Tom Brady pass complete short right to Kevin Faulk for 8 yards (tackle by Aaron Ross),1.360,0.790
1,8:08,4,2,NYG 37,0,7,Tom Brady pass complete short right to Randy Moss for 5 yards (tackle by Sam Madison),0.790,3.450
1,7:37,1,10,NYG 32,0,7,Laurence Maroney left guard for no gain (tackle by Barry Cofield and Reggie Torbor),3.450,2.900
1,7:01,2,10,NYG 32,0,7,Tom Brady pass complete short middle to Wes Welker for 11 yards (tackle by Kawika Mitchell),2.900,4.170
1,6:24,1,10,NYG 21,0,7,Laurence Maroney up the middle for 2 yards (tackle by Fred Robbins and Antonio Pierce),4.170,3.900
1,5:42,2,8,NYG 19,0,7,Tom Brady pass incomplete short middle intended for Ben Watson,3.900,3.180
1,5:30,3,8,NYG 19,0,7,Tom Brady pass incomplete deep left intended for Randy Moss,3.180,2.180
1,5:24,4,8,NYG 19,3,7,Stephen Gostkowski 37 yard field goal good,2.180,3.000
1,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 60 yards, returned by Domenik Hixon for 11 yards (tackle by Antwain Spann)",0.000,0.340
1,5:14,1,10,NYG 21,3,7,Brandon Jacobs up the middle for 1 yard (tackle by Ty Warren),0.340,-0.070
1,4:44,2,9,NYG 22,3,7,Brandon Jacobs left tackle for -2 yards (tackle by Junior Seau),-0.070,-1.020
1,3:56,3,11,NYG 20,3,7,Eli Manning pass incomplete short middle intended for Amani Toomer,-1.020,-2.030
1,3:48,4,11,NYG 20,3,7,"Jeff Feagles punts 38 yards, returned by Wes Welker for 8 yards (tackle by Reuben Droughns)",-2.030,-2.260
1,3:36,1,10,,3,7,Tom Brady pass incomplete short right intended for Heath Evans,2.260,1.710
1,3:31,2,10,,3,7,Laurence Maroney left end for -4 yards (tackle by Gerris Wilkinson),1.710,0.500
1,2:51,3,14,NWE 46,3,7,"Tom Brady sacked by Antonio Pierce for -8 yards. Penalty on Corey Webster: Illegal Contact, 5 yards (no play)",0.500,2.320
1,2:28,1,10,NYG 49,3,7,Tom Brady pass complete short middle to Donte Stallworth for 13 yards (tackle by James Butler),2.320,3.180
1,1:50,1,10,NYG 36,3,7,Tom Brady pass complete short right to Wes Welker for 19 yards (tackle by James Butler),3.180,4.440
1,1:21,1,10,NYG 17,3,7,Kevin Faulk up the middle for no gain (tackle by Michael Strahan and Osi Umenyiora),4.440,3.850
