Unnamed: 0,CLE,BAL
First Downs,11,21
Rush-Yds-TDs,16-70-0,44-151-3
Cmp-Att-Yd-TD-INT,14-37-125-1-3,13-19-129-0-2
Sacked-Yards,4-26,1-7
Net Pass Yards,99,122
Total Yards,169,273
Fumbles-Lost,1-0,1-0
Turnovers,3,2
Penalties-Yards,9-65,5-40
Third Down Conv.,3-13,3-11
Fourth Down Conv.,0-0,2-3
Time of Possession,22:12,37:48
