Unnamed: 0,CHI,MIN
First Downs,23,26
Rush-Yds-TDs,42-199-2,28-158-1
Cmp-Att-Yd-TD-INT,15-21-202-1-1,24-35-271-2-1
Sacked-Yards,1-4,3-22
Net Pass Yards,198,249
Total Yards,397,407
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,4-36,1-5
Third Down Conv.,6-12,4-11
Fourth Down Conv.,0-0,0-2
Time of Possession,32:59,27:01
