Quarter,Time,Tm,Detail,CHI,MIN
1.0,9:01,Bears,Darnell Mooney 8 yard pass from Mitchell Trubisky (Cairo Santos kick),7,0
,4:46,Vikings,Adam Thielen 3 yard pass from Kirk Cousins (Dan Bailey kick),7,7
,1:16,Bears,Cairo Santos 42 yard field goal,10,7
2.0,6:46,Bears,David Montgomery 1 yard rush (Cairo Santos kick),17,7
,3:34,Bears,Cairo Santos 35 yard field goal,20,7
,0:26,Vikings,Dan Bailey 24 yard field goal,20,10
3.0,10:54,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),20,17
,5:30,Bears,David Montgomery 14 yard rush (Cairo Santos kick),27,17
,2:38,Vikings,Dan Bailey 22 yard field goal,27,20
4.0,13:33,Bears,Cairo Santos 48 yard field goal,30,20
,8:05,Vikings,Tyler Conklin 20 yard pass from Kirk Cousins (Dan Bailey kick),30,27
,0:56,Bears,Cairo Santos 42 yard field goal,33,27
