Quarter,Time,Tm,Detail,STL,IND
1.0,12:04,Rams,Steven Jackson 21 yard rush (Jeff Wilkins kick),7,0
,8:17,Rams,Jeff Wilkins 29 yard field goal,10,0
,3:31,Rams,Kevin Curtis 57 yard pass from Marc Bulger (Jeff Wilkins kick),17,0
2.0,9:44,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),17,7
,1:57,Colts,Reggie Wayne 3 yard pass from Peyton Manning (Mike Vanderjagt kick),17,14
,0:30,Rams,Jeff Wilkins 49 yard field goal,20,14
3.0,10:02,Colts,Mike Vanderjagt 22 yard field goal,20,17
,3:16,Colts,Edgerrin James 8 yard rush (Mike Vanderjagt kick),20,24
4.0,14:58,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),20,31
,9:25,Colts,Marvin Harrison 6 yard pass from Peyton Manning (Mike Vanderjagt kick),20,38
,8:12,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),20,45
,3:28,Rams,Cam Cleeland 9 yard pass from Jamie Martin (Marshall Faulk run),28,45
