Unnamed: 0,STL,IND
First Downs,20,31
Rush-Yds-TDs,21-105-1,38-176-4
Cmp-Att-Yd-TD-INT,23-29-255-2-3,22-32-191-2-0
Sacked-Yards,1-11,2-4
Net Pass Yards,244,187
Total Yards,349,363
Fumbles-Lost,2-1,2-1
Turnovers,4,1
Penalties-Yards,9-50,3-15
Third Down Conv.,3-7,8-12
Fourth Down Conv.,0-0,0-1
Time of Possession,27:06,32:54
