Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
2,8:39,2,1,STL 49,17,7,Steven Jackson right guard for 6 yards (tackle by Bob Sanders and Montae Reagor),2.270,2.590
2,7:59,1,10,IND 45,17,7,Jamie Martin pass incomplete intended for Steven Jackson (defended by Larry Tripplett),2.590,2.040
2,7:53,2,10,IND 45,17,7,Steven Jackson up the middle for -3 yards (tackle by Robert Mathis),2.040,0.960
2,7:12,3,13,IND 48,17,7,Jamie Martin pass complete to Marshall Faulk for 3 yards (tackle by Robert Mathis),0.960,0.270
2,6:28,4,10,IND 45,17,7,"Bryan Barker punts 31 yards, fair catch by Troy Walters",0.270,0.280
2,6:21,1,10,IND 14,17,7,Edgerrin James for 9 yards (tackle by Mike Furrey and Pisa Tinoisamoa),-0.280,0.550
2,6:03,2,1,IND 23,17,7,Peyton Manning pass complete to Marvin Harrison for 5 yards (tackle by Adam Archuleta and Pisa Tinoisamoa),0.550,0.810
2,5:29,1,10,IND 28,17,7,Edgerrin James for 7 yards (tackle by Brandon Chillar),0.810,1.210
2,5:03,2,3,IND 35,17,7,Edgerrin James up the middle for 2 yards (tackle by Damione Lewis),1.210,0.760
2,4:17,3,1,IND 37,17,7,Peyton Manning pass complete to Dallas Clark for 7 yards (tackle by DeJuan Groce),0.760,1.860
2,3:38,1,10,IND 44,17,7,Peyton Manning pass complete to Dallas Clark for 20 yards (tackle by Corey Ivy),1.860,3.180
2,2:56,1,10,STL 36,17,7,Edgerrin James left end for 18 yards (tackle by Brandon Chillar),3.180,4.370
2,2:14,1,10,STL 18,17,7,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by DeJuan Groce and Adam Archuleta),4.370,6.510
2,2:00,1,3,STL 3,17,13,"Peyton Manning pass complete to Reggie Wayne for 3 yards, touchdown",6.510,7.000
2,,,,STL 2,17,14,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,17,14,"Dave Rayner kicks off 68 yards, returned by Chris Johnson for 26 yards (tackle by Gilbert Gardner)",0.000,-0.810
2,1:50,1,10,STL 28,17,14,Jamie Martin pass complete to Marshall Faulk for 10 yards (tackle by Bob Sanders and Marlin Jackson),0.810,1.470
2,1:25,1,10,STL 38,17,14,Jamie Martin pass complete to Dane Looker for 18 yards (tackle by Bob Sanders),1.470,2.650
2,1:18,1,10,IND 44,17,14,Jamie Martin pass complete to Torry Holt for 4 yards (tackle by Cato June),2.650,2.650
2,1:14,2,6,IND 40,17,14,Jamie Martin pass complete to Dane Looker for 7 yards (tackle by Marlin Jackson and Cato June),2.650,3.380
2,1:03,,,,17,14,Timeout #2 by St. Louis Rams,0.000,3.380
2,1:03,1,10,IND 33,17,14,"Penalty on Torry Holt: False Start, 5 yards (no play)",3.380,3.050
2,1:03,1,15,IND 38,17,14,Jamie Martin pass complete to Marshall Faulk for no gain,3.050,2.160
2,0:57,2,15,IND 38,17,14,"Penalty on Alex Barron: False Start, 5 yards (no play)",2.160,1.490
2,0:57,2,20,IND 43,17,14,Jamie Martin pass complete to Torry Holt for 8 yards (tackle by Nick Harper),1.490,1.880
2,0:51,3,12,IND 35,17,14,Jamie Martin pass complete to Torry Holt for 4 yards (tackle by Marlin Jackson and Jason David),1.880,1.320
2,0:35,,,,17,14,Timeout #1 by Indianapolis Colts,0.000,1.320
2,0:35,4,8,IND 31,20,14,Jeff Wilkins 49 yard field goal good,1.320,3.000
2,,,,STL 30,20,14,"Jeff Wilkins kicks off 62 yards, returned by Dominic Rhodes for 29 yards (tackle by Corey Ivy)",0.000,1.400
2,0:24,1,10,IND 37,20,14,Peyton Manning sacked by Anthony Hargrove for -4 yards,1.400,0.320
2,0:16,,,,20,14,Timeout #2 by Indianapolis Colts,0.000,0.320
2,0:16,2,14,IND 33,20,14,Peyton Manning pass incomplete intended for Dominic Rhodes,0.320,-0.360
2,0:10,3,14,IND 33,20,14,Dominic Rhodes up the middle for -1 yards (tackle by Damione Lewis),-0.360,-1.240
2,0:02,,,,20,14,Timeout #3 by St. Louis Rams,0.000,-1.240
2,0:02,4,15,IND 32,20,14,Peyton Manning kneels for -3 yards,-1.240,1.270
Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,20,14,"Jeff Wilkins kicks off 67 yards, returned by Dominic Rhodes for 23 yards (tackle by Brandon Chillar)",0.000,0.670
3,14:56,1,10,IND 26,20,14,Edgerrin James up the middle for 10 yards (tackle by Travis Fisher),0.670,1.330
3,14:33,1,10,IND 36,20,14,Peyton Manning pass complete to Reggie Wayne for 14 yards (tackle by DeJuan Groce),1.330,2.260
3,13:56,1,10,IND 50,20,14,Edgerrin James left tackle for 21 yards (tackle by Mike Furrey),2.260,3.640
3,13:17,1,10,STL 29,20,14,Peyton Manning pass complete to Dominic Rhodes for 8 yards (tackle by Travis Fisher),3.640,4.180
3,12:43,2,2,STL 21,20,14,Dominic Rhodes up the middle for -4 yards (tackle by Brandon Green),4.180,2.940
3,12:06,3,6,STL 25,20,14,Peyton Manning up the middle for 9 yards (tackle by Adam Archuleta),2.940,4.510
3,11:28,1,10,STL 16,20,14,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Pisa Tinoisamoa),4.510,5.160
3,10:54,2,3,STL 9,20,14,Peyton Manning pass incomplete intended for Marvin Harrison,5.160,4.390
3,10:50,3,3,STL 9,20,14,"Edgerrin James up the middle for -1 yards (tackle by Brandon Green). Penalty on STL: Defensive 12 On-field, 5 yards (no play)",4.390,6.280
3,10:47,1,4,STL 4,20,14,Peyton Manning pass incomplete intended for Reggie Wayne,6.280,5.340
3,10:44,2,4,STL 4,20,14,Peyton Manning sacked by Pisa Tinoisamoa for 0 yards,5.340,4.490
3,10:11,3,4,STL 4,20,14,Peyton Manning pass incomplete intended for Reggie Wayne (defended by DeJuan Groce),4.490,3.030
3,10:05,4,4,STL 4,20,17,Mike Vanderjagt 22 yard field goal good,3.030,3.000
3,,,,IND 30,20,17,"Dave Rayner kicks off 61 yards, returned by Chris Johnson for 19 yards (tackle by Jason David). Penalty on Trev Faulk: Offensive Holding, 10 yards",0.000,-0.040
3,9:57,1,10,STL 18,20,17,Jamie Martin pass complete to Kevin Curtis for 5 yards (tackle by David Thornton),0.040,0.280
3,9:25,2,5,STL 23,20,17,Marshall Faulk up the middle for 4 yards (tackle by Mike Doss and Cato June),0.280,-0.020
3,8:41,3,1,STL 27,20,17,"Penalty on Orlando Pace: False Start, 5 yards (no play)",-0.020,-0.660
3,8:18,3,6,STL 22,20,17,Jamie Martin pass complete to Marshall Faulk for 8 yards (tackle by Mike Doss),-0.660,0.940
3,7:33,1,10,STL 30,20,17,Steven Jackson right tackle for 1 yard (tackle by Cato June and Josh Thomas),0.940,0.530
3,6:51,2,9,STL 31,20,17,Jamie Martin pass complete to Cam Cleeland for 9 yards (tackle by David Thornton),0.530,1.600
3,6:14,1,10,STL 40,20,17,"Steven Jackson up the middle for no gain (tackle by Dwight Freeney). Steven Jackson fumbles (forced by Dwight Freeney), recovered by Nick Harper at STL-42 and returned for 7 yards (tackle by Andy McCollum)",1.600,-3.250
3,6:04,1,10,STL 35,20,17,Peyton Manning pass incomplete intended for Edgerrin James,3.250,2.700
3,6:01,2,10,STL 35,20,17,Peyton Manning pass complete to Edgerrin James for 3 yards (tackle by Brandon Chillar),2.700,2.410
3,5:29,3,7,STL 32,20,17,Peyton Manning pass complete to Brandon Stokley for 13 yards (tackle by Terry Fair),2.410,4.310
3,4:54,1,10,STL 19,20,17,Edgerrin James up the middle for 1 yard (tackle by Brandon Chillar),4.310,3.880
3,4:21,2,9,STL 18,20,17,Peyton Manning pass complete to Edgerrin James for 5 yards (tackle by Pisa Tinoisamoa),3.880,3.960
3,3:46,3,4,STL 13,20,17,Peyton Manning pass complete to Brandon Stokley for 5 yards (tackle by Terry Fair),3.960,5.370
3,3:21,1,8,STL 8,20,23,"Edgerrin James left tackle for 8 yards, touchdown",5.370,7.000
3,,,,STL 2,20,24,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,IND 30,20,24,"Dave Rayner kicks off 70 yards, returned by Chris Johnson for 18 yards (tackle by Robert Mathis)",0.000,-0.040
3,3:11,1,10,STL 18,20,24,Jamie Martin pass incomplete intended for Brandon Manumaleuna is intercepted by Cato June at STL-24 and returned for 10 yards,0.040,-4.650
3,3:03,1,10,STL 14,20,24,Peyton Manning pass complete to Edgerrin James for 8 yards (tackle by Jimmy Kennedy and Ryan Pickett),4.650,5.470
3,2:30,2,2,STL 6,20,24,Dominic Rhodes up the middle for 1 yard (tackle by Ryan Pickett and DeJuan Groce),5.470,4.960
3,1:48,3,1,STL 5,20,24,Dominic Rhodes right tackle for 4 yards (tackle by Dexter Coakley and Terry Fair),4.960,6.970
3,1:05,1,1,STL 1,20,24,Dominic Rhodes left tackle for -1 yards (tackle by Damione Lewis),6.970,5.720
3,0:26,2,2,STL 2,20,24,Dominic Rhodes up the middle for 1 yard (tackle by Jimmy Kennedy and Ryan Pickett),5.720,5.170
Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,STL 1,20,30,"Dominic Rhodes right guard for 1 yard, touchdown",5.170,7.000
4,,,,STL 2,20,31,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,20,31,"Dave Rayner kicks off 65 yards, returned by Chris Johnson for 15 yards (tackle by Matt Giordano)",0.000,-0.280
4,14:51,1,10,STL 20,20,31,Steven Jackson up the middle for 1 yard (tackle by David Thornton),0.280,-0.130
4,14:15,2,9,STL 21,20,31,Steven Jackson up the middle for no gain (tackle by Bob Sanders),-0.130,-0.820
4,13:39,3,9,STL 21,20,31,"Penalty on Orlando Pace: False Start, 5 yards (no play)",-0.820,-1.690
4,13:22,,,,20,31,Timeout #1 by St. Louis Rams,0.000,-1.690
4,13:22,3,14,STL 16,20,31,"Jamie Martin sacked by Robert Mathis for -10 yards. Jamie Martin fumbles (forced by Robert Mathis), recovered by Orlando Pace at STL-2",-1.690,-2.490
4,12:38,4,28,STL 2,20,31,"Bryan Barker punts 55 yards, returned by Troy Walters for 19 yards (tackle by Brandon Chillar)",-2.490,-3.050
4,12:26,1,10,STL 38,20,31,Edgerrin James up the middle for -1 yards (tackle by Brandon Green),3.050,2.370
4,11:57,2,11,STL 39,20,31,Peyton Manning pass complete to Brandon Stokley for 16 yards (tackle by Travis Fisher),2.370,4.040
4,11:16,1,10,STL 23,20,31,Edgerrin James right end for 5 yards (tackle by Tyoka Jackson and Pisa Tinoisamoa),4.040,4.210
4,10:34,2,5,STL 18,20,31,"Peyton Manning pass complete to Reggie Wayne for 4 yards (tackle by DeJuan Groce). Penalty on DeJuan Groce: Defensive Holding, 5 yards (no play)",4.210,4.710
4,10:11,1,10,STL 13,20,31,Edgerrin James up the middle for 7 yards (tackle by Adam Archuleta),4.710,5.340
4,9:29,2,3,STL 6,20,37,"Peyton Manning pass complete to Marvin Harrison for 6 yards, touchdown",5.340,7.000
4,,,,STL 2,20,38,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,20,38,"Dave Rayner kicks off 66 yards, returned by Chris Johnson for 19 yards (tackle by Gerome Sapp)",0.000,-0.480
4,9:18,1,10,STL 23,20,38,Jamie Martin pass incomplete intended for Kevin Curtis is intercepted by Nick Harper at STL-40 and returned for 21 yards,0.480,-4.310
4,9:07,1,10,STL 19,20,38,Peyton Manning pass complete to Marvin Harrison for 18 yards (tackle by Travis Fisher),4.310,6.970
4,8:19,,,,20,38,Timeout #2 by Indianapolis Colts,0.000,6.970
4,8:19,1,1,STL 1,20,44,"Edgerrin James up the middle for 1 yard, touchdown",6.970,7.000
4,,,,STL 2,20,45,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,20,45,"Dave Rayner kicks off 67 yards, returned by Chris Johnson for 22 yards (tackle by Marlin Jackson)",0.000,-0.610
4,8:04,1,10,STL 25,20,45,Jamie Martin pass complete to Steven Jackson for 3 yards (tackle by Gary Brackett),0.610,0.470
4,7:29,2,7,STL 28,20,45,Steven Jackson up the middle for 8 yards (tackle by Bob Sanders),0.470,1.330
4,6:52,1,10,STL 36,20,45,Jamie Martin pass complete to Steven Jackson for 11 yards (tackle by Marlin Jackson),1.330,2.060
4,6:16,1,10,STL 47,20,45,Jamie Martin pass complete to Kevin Curtis for 11 yards (tackle by Nick Harper),2.060,2.790
4,5:40,1,10,IND 42,20,45,Steven Jackson up the middle for 14 yards (tackle by Bob Sanders),2.790,3.710
4,4:58,1,10,IND 28,20,45,Jamie Martin pass complete to Steven Jackson for 7 yards (tackle by Nick Harper and Cato June),3.710,4.110
4,4:21,2,3,IND 21,20,45,Jamie Martin pass incomplete intended for Torry Holt (defended by Nick Harper),4.110,3.400
4,4:16,3,3,IND 21,20,45,Marshall Faulk up the middle for 12 yards (tackle by Mike Doss and Bob Sanders),3.400,5.140
4,3:34,1,9,IND 9,26,45,"Jamie Martin pass complete to Cam Cleeland for 9 yards, touchdown",5.140,7.000
4,,,,,28,45,Two Point Attempt: conversion succeeds,1.000,1.000
4,,,,STL 30,28,45,Jeff Wilkins kicks onside 16 yards,0.000,2.520
4,3:27,1,10,STL 46,28,45,Dominic Rhodes up the middle for 3 yards (tackle by Brandon Green and Jimmy Kennedy),2.520,2.380
4,3:21,,,,28,45,Timeout #2 by St. Louis Rams,0.000,2.380
4,3:21,2,7,STL 43,28,45,Dominic Rhodes right end for 11 yards (tackle by Chris Claiborne and Mike Furrey),2.380,3.450
4,2:33,1,10,STL 32,28,45,Dominic Rhodes up the middle for 2 yards (tackle by Pisa Tinoisamoa),3.450,3.170
4,2:00,2,8,STL 30,28,45,Dominic Rhodes left end for 12 yards (tackle by Adam Archuleta),3.170,4.370
4,1:13,1,10,STL 18,28,45,Jim Sorgi kneels for -1 yards,4.370,3.670
4,0:36,2,11,STL 19,28,45,Jim Sorgi kneels for -1 yards,3.670,2.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
