Unnamed: 0,HOU,SDG
First Downs,7,16
Rush-Yds-TDs,25-89-0,35-124-1
Cmp-Att-Yd-TD-INT,6-25-87-0-2,15-28-163-1-1
Sacked-Yards,9-58,2-20
Net Pass Yards,29,143
Total Yards,118,267
Fumbles-Lost,2-1,1-0
Turnovers,3,1
Penalties-Yards,12-73,4-35
Third Down Conv.,1-14,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:36,32:24
