Quarter,Time,Tm,Detail,HOU,SDG
1.0,10:45,Chargers,Curtis Conway 35 yard pass from Drew Brees (Steve Christie kick),0,7
,2:03,Chargers,Curtis Conway 3 yard rush (Steve Christie kick),0,14
2.0,9:14,Texans,Kris Brown 45 yard field goal,3,14
,0:03,Chargers,Steve Christie 36 yard field goal,3,17
4.0,11:40,Chargers,Raylee Johnson defensive fumble recovery in end zone (Steve Christie kick),3,24
