Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
2,3:55,1,10,ARI 47,7,10,Philip Rivers pass complete deep right to Eric Parker for 19 yards (tackle by Robert Griffith),2.460,3.710
2,3:15,1,10,ARI 28,7,10,Michael Turner right end for 4 yards (tackle by Kendrick Clancy),3.710,3.710
2,2:34,2,6,ARI 24,7,10,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Karlos Dansby),3.710,4.510
2,2:00,1,10,ARI 16,7,10,LaDainian Tomlinson right end for 2 yards (tackle by Chike Okeafor),4.510,4.210
2,1:54,2,8,ARI 14,7,16,"Philip Rivers pass complete short left to Vincent Jackson for 14 yards, touchdown",4.210,7.000
2,1:54,,,ARI 2,7,17,Nate Kaeding kicks extra point good,0.000,0.000
2,1:49,,,SDG 30,7,17,"Nate Kaeding kicks off 64 yards, returned by Micheal Spurlock for 21 yards (tackle by Carlos Polk)",0.000,0.740
2,1:43,1,10,ARI 27,7,17,Kurt Warner pass complete short right to Bryant Johnson for 11 yards (tackle by Quentin Jammer),0.740,1.470
2,1:20,1,10,ARI 38,7,17,Kurt Warner pass complete short right to Micheal Spurlock for 5 yards (tackle by Quentin Jammer),1.470,1.600
2,1:15,2,5,ARI 43,7,17,Kurt Warner pass complete short middle to Obafemi Ayanbadejo for 13 yards (tackle by Donnie Edwards),1.600,2.650
2,1:07,,,,7,17,Timeout #1 by Arizona Cardinals,0.000,2.650
2,1:07,1,10,SDG 44,7,17,Kurt Warner pass complete short middle to Micheal Spurlock for 15 yards (tackle by Clinton Hart),2.650,3.640
2,1:01,1,10,SDG 29,7,17,Obafemi Ayanbadejo left end for 9 yards (tackle by Donnie Edwards and Drayton Florence),3.640,4.320
2,0:38,2,1,SDG 20,7,17,Kurt Warner pass complete short right to Micheal Spurlock for 6 yards (tackle by Quentin Jammer),4.320,4.650
2,0:28,,,,7,17,Timeout #2 by Arizona Cardinals,0.000,4.650
2,0:28,1,10,SDG 14,7,17,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald (defended by Clinton Hart),4.650,4.000
2,0:21,2,10,SDG 14,7,17,Kurt Warner pass complete short middle to Micheal Spurlock for 5 yards (tackle by Clinton Hart and Shawne Merriman),4.000,4.050
2,0:13,,,,7,17,Timeout #3 by Arizona Cardinals,0.000,4.050
2,0:13,3,5,SDG 9,7,17,Kurt Warner pass complete short right to Anquan Boldin for 7 yards (tackle by Quentin Jammer and Drayton Florence),4.050,4.510
Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,,,"Nate Kaeding kicks off 65 yards, returned by Micheal Spurlock for 14 yards (tackle by Antonio Cromartie)",,
3,14:52,1,10,ARI 19,7,17,Edgerrin James left end for 2 yards (tackle by Jamal Williams and Ryon Bingham),0.150,-0.060
3,14:20,2,8,ARI 21,7,17,Kurt Warner pass incomplete short right intended for Larry Fitzgerald (defended by Quentin Jammer),-0.060,-0.810
3,14:15,3,8,ARI 21,7,17,Kurt Warner pass incomplete short left intended for Marcel Shipp,-0.810,-1.960
3,14:08,4,8,ARI 21,7,17,"Scott Player punts 46 yards, returned by Cletis Gordon for no gain",-1.960,-1.140
3,14:00,1,10,SDG 33,7,17,LaDainian Tomlinson middle for 1 yard (tackle by Monty Beisel and Antonio Smith),1.140,0.730
3,13:19,2,9,SDG 34,7,17,Philip Rivers pass incomplete deep left intended for Vincent Jackson,0.730,0.040
3,13:13,3,9,SDG 34,7,17,Philip Rivers pass complete short left to Keenan McCardell for 5 yards (tackle by Karlos Dansby),0.040,-0.780
3,12:37,4,4,SDG 39,7,23,"Mike Scifres punts 55 yards, muffed catch by Bryant Johnson, recovered by Tim Dobbins and returned for no gain, touchdown. Penalty on Eric Green: Personal Foul, 15 yards",-0.780,7.000
3,,,,SDG 2,7,24,Nate Kaeding kicks extra point good,0.000,0.000
3,12:25,,,SDG 45,7,24,"Nate Kaeding kicks off 55 yards, touchback",0.000,0.280
3,12:25,1,10,ARI 20,7,24,Kurt Warner pass incomplete short right intended for Larry Fitzgerald (defended by Quentin Jammer),0.280,-0.270
3,12:22,2,10,ARI 20,7,24,Edgerrin James middle for 3 yards (tackle by Donnie Edwards and Stephen Cooper),-0.270,-0.560
3,11:38,3,7,ARI 23,7,24,Kurt Warner sacked by Shawne Merriman for -10 yards,-0.560,-2.490
3,10:56,4,17,ARI 13,7,24,"Scott Player punts 49 yards, fair catch by Cletis Gordon",-2.490,-1.470
3,10:48,1,10,SDG 38,7,24,LaDainian Tomlinson middle for 10 yards (tackle by Robert Griffith),1.470,2.130
3,10:08,1,10,SDG 48,7,24,LaDainian Tomlinson middle for 11 yards (tackle by Chike Okeafor),2.130,2.850
3,9:21,1,10,ARI 41,7,24,Philip Rivers sacked by Karlos Dansby for -5 yards,2.850,1.630
3,8:44,2,15,ARI 46,7,24,Philip Rivers pass complete short right to Michael Turner for 30 yards (tackle by Orlando Huff),1.630,4.510
3,7:54,1,10,ARI 16,7,24,LaDainian Tomlinson middle for no gain (tackle by Karlos Dansby),4.510,3.900
3,7:17,2,10,ARI 16,7,24,LaDainian Tomlinson left end for -1 yards (tackle by Karlos Dansby),3.900,3.020
3,6:32,3,11,ARI 17,7,24,Philip Rivers pass incomplete short right intended for Antonio Gates,3.020,2.310
3,6:26,4,11,ARI 17,7,27,Nate Kaeding 35 yard field goal good,2.310,3.000
3,6:23,,,SDG 30,7,27,"Nate Kaeding kicks off 72 yards, returned by Micheal Spurlock for 19 yards (tackle by Carlos Polk)",0.000,-0.060
3,6:18,1,10,ARI 17,7,27,Edgerrin James left end for 4 yards (tackle by Shaun Phillips and Drayton Florence),-0.060,0.080
3,5:41,2,6,ARI 21,7,27,Kurt Warner pass complete deep left to John Bronson for 25 yards (tackle by Donnie Edwards),0.080,1.990
3,5:00,1,10,ARI 46,7,27,Kurt Warner pass complete deep middle to Leonard Pope for 33 yards (tackle by Marlon McCree),1.990,4.170
3,4:14,1,10,SDG 21,7,27,Kurt Warner pass complete short right to Larry Fitzgerald for 8 yards (tackle by Shawne Merriman),4.170,4.950
3,3:41,2,2,SDG 13,7,27,Edgerrin James middle for 3 yards (tackle by Ryon Bingham and Stephen Cooper),4.950,4.910
3,3:11,1,10,SDG 10,7,27,Edgerrin James left end for 4 yards (tackle by Igor Olshansky and Donnie Edwards),4.910,4.950
3,2:31,2,6,SDG 6,7,27,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald (defended by Marlon McCree),4.950,4.040
3,2:26,3,6,SDG 6,7,27,"Penalty on Anquan Boldin: Offensive Pass Interfere, 10 yards (no play)",4.040,2.850
3,2:22,3,16,SDG 16,7,27,Kurt Warner pass complete short right to Obafemi Ayanbadejo for 6 yards (tackle by Quentin Jammer and Drayton Florence),2.850,2.760
3,1:35,4,10,SDG 10,10,27,Neil Rackers 28 yard field goal good,2.760,3.000
3,1:31,,,ARI 30,10,27,"Neil Rackers kicks off 68 yards, returned by Cletis Gordon for 23 yards (tackle by Brandon Johnson). Penalty on Brandon Johnson: Personal Foul, 15 yards",0.000,1.600
3,1:26,1,10,SDG 40,10,27,Michael Turner right tackle for 4 yards (tackle by Chike Okeafor),1.600,1.590
3,0:43,2,6,SDG 44,10,27,Michael Turner left tackle for 9 yards (tackle by Robert Griffith),1.590,2.460
Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 47,10,27,Michael Turner left tackle for no gain (tackle by Eric Green),2.460,1.910
4,14:17,2,10,ARI 47,10,27,Billy Volek pass complete short right to Vincent Jackson for 4 yards (tackle by Orlando Huff),1.910,1.750
4,13:32,3,6,ARI 43,10,27,Billy Volek sacked by Karlos Dansby for -6 yards,1.750,0.000
4,12:58,4,12,ARI 49,10,27,Mike Scifres punts 35 yards,0.000,0.280
4,12:47,1,10,ARI 14,10,27,Edgerrin James middle for 2 yards (tackle by Stephen Cooper and Donnie Edwards),-0.280,-0.510
4,12:16,2,8,ARI 16,10,27,Kurt Warner pass complete deep middle to Bryant Johnson for 21 yards (tackle by Quentin Jammer),-0.510,1.400
4,11:42,1,10,ARI 37,10,27,Kurt Warner pass complete deep left to Bryant Johnson for 44 yards,1.400,4.310
4,11:14,1,10,SDG 19,10,27,"Penalty on Nick Leckey: False Start, 5 yards (no play)",4.310,3.970
4,10:56,1,15,SDG 24,10,27,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards (tackle by Antonio Cromartie),3.970,4.530
4,10:21,2,5,SDG 14,10,27,Edgerrin James right end for 3 yards (tackle by Brandon McKinney and Ryon Bingham),4.530,4.430
4,9:41,3,2,SDG 11,10,27,Obafemi Ayanbadejo middle for 2 yards (tackle by Donnie Edwards),4.430,5.140
4,9:08,1,9,SDG 9,16,27,"Kurt Warner pass complete short left to Larry Fitzgerald for 9 yards, touchdown",5.140,7.000
4,9:08,,,SDG 2,17,27,Neil Rackers kicks extra point good,0.000,0.000
4,9:06,,,ARI 30,17,27,"Neil Rackers kicks off 52 yards, out of bounds",0.000,1.600
4,9:06,1,10,SDG 40,17,27,Michael Turner left tackle for 2 yards (tackle by Chike Okeafor and Robert Griffith),1.600,1.320
4,8:18,2,8,SDG 42,17,27,Michael Turner left tackle for 6 yards (tackle by Kendrick Clancy),1.320,1.420
4,7:37,,,,17,27,Timeout #1 by Arizona Cardinals,0.000,1.420
4,7:37,3,2,SDG 48,17,27,Billy Volek pass incomplete short left intended for Vincent Jackson (defended by Eric Green),1.420,-0.190
4,7:32,4,2,SDG 48,17,27,"Mike Scifres punts 38 yards, fair catch by Bryant Johnson",-0.190,0.280
4,7:25,1,10,ARI 14,17,27,Kurt Warner pass complete short left to Larry Fitzgerald for 6 yards (tackle by Marlon McCree and Stephen Cooper),-0.280,0.150
4,6:49,2,4,ARI 20,17,27,Kurt Warner pass complete short left to Leonard Pope for 7 yards (tackle by Shawne Merriman),0.150,0.740
4,6:19,1,10,ARI 27,17,27,Edgerrin James left end for 4 yards (tackle by Igor Olshansky),0.740,0.740
4,5:37,2,6,ARI 31,17,27,Kurt Warner pass incomplete (defended by Brandon McKinney),0.740,0.040
4,5:32,3,6,ARI 31,17,27,Kurt Warner pass complete short right to Anquan Boldin for 64 yards (tackle by Drayton Florence and Shawne Merriman),0.040,6.060
4,4:43,1,5,SDG 5,17,27,Obafemi Ayanbadejo middle for no gain (tackle by Stephen Cooper and Igor Olshansky),6.060,5.150
4,4:06,2,5,SDG 5,17,27,Edgerrin James middle for 3 yards (tackle by Brandon McKinney and Ryon Bingham),5.150,4.950
4,3:29,3,2,SDG 2,17,27,Kurt Warner pass incomplete short right intended for Leonard Pope (defended by Shawne Merriman),4.950,3.250
4,3:26,4,2,SDG 2,20,27,Neil Rackers 20 yard field goal good,3.250,3.000
4,3:23,,,ARI 30,20,27,"Neil Rackers kicks off 70 yards, returned by Eric Parker for 12 yards (tackle by Brandon Johnson)",0.000,-0.350
4,3:20,1,10,SDG 12,20,27,Michael Turner left tackle for 5 yards (tackle by Eric Green and Robert Griffith),-0.350,-0.230
4,2:33,2,5,SDG 17,20,27,Michael Turner left tackle for 3 yards (tackle by Monty Beisel and Orlando Huff),-0.230,-0.480
4,2:27,,,,20,27,Timeout #2 by Arizona Cardinals,0.000,-0.480
4,2:27,3,2,SDG 20,20,27,Michael Turner left tackle for 3 yards (tackle by Chike Okeafor),-0.480,0.480
4,2:00,1,10,SDG 23,20,27,Michael Turner right end for 8 yards (tackle by Chike Okeafor),0.480,1.010
4,1:52,,,,20,27,Timeout #3 by Arizona Cardinals,0.000,1.010
4,1:52,2,2,SDG 31,20,27,"Lorenzo Neal middle for 43 yards (tackle by Robert Griffith). Penalty on Robert Griffith: Face Mask (15 Yards), 13 yards",1.010,4.710
4,1:43,1,10,ARI 13,20,27,Billy Volek kneels for -1 yards,4.710,3.900
4,0:57,2,11,ARI 14,20,27,Billy Volek kneels for -1 yards,3.900,3.030
4,0:27,3,12,ARI 15,20,27,Billy Volek kneels for -1 yards,3.030,2.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
