Unnamed: 0,ARI,SDG
First Downs,19,23
Rush-Yds-TDs,22-98-1,33-169-0
Cmp-Att-Yd-TD-INT,22-32-356-1-0,20-26-235-2-1
Sacked-Yards,1-10,3-17
Net Pass Yards,346,218
Total Yards,444,387
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,9-93,1-15
Third Down Conv.,5-11,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,26:28,33:32
