Quarter,Time,Tm,Detail,ARI,SDG
1.0,6:21,Cardinals,Edgerrin James 8 yard rush (Neil Rackers kick),7,0
,2:23,Chargers,Nate Kaeding 47 yard field goal,7,3
2.0,10:25,Chargers,Antonio Gates 33 yard pass from Philip Rivers (Nate Kaeding kick),7,10
,1:49,Chargers,Vincent Jackson 14 yard pass from Philip Rivers (Nate Kaeding kick),7,17
3.0,12:25,Chargers,Tim Dobbins fumble recovery in end zone (Nate Kaeding kick),7,24
,6:23,Chargers,Nate Kaeding 35 yard field goal,7,27
,1:31,Cardinals,Neil Rackers 28 yard field goal,10,27
4.0,9:06,Cardinals,Larry Fitzgerald 9 yard pass from Kurt Warner (Neil Rackers kick),17,27
,3:23,Cardinals,Neil Rackers 20 yard field goal,20,27
