Quarter,Time,Down,ToGo,Location,SDG,NYJ,Detail,EPB,EPA
1,2:15,1,10,NYJ 38,14,0,Curtis Martin left end for 8 yards (tackle by Clinton Hart),1.470,2.000
1,1:49,2,2,NYJ 46,14,0,Vinny Testaverde pass complete to Chris Baker for 47 yards (tackle by Shawne Merriman),2.000,5.600
1,1:01,1,7,SDG 7,14,0,Curtis Martin up the middle for 3 yards (tackle by Stephen Cooper and Donnie Edwards),5.600,5.340
1,0:25,2,4,SDG 4,14,0,Curtis Martin up the middle for 3 yards (tackle by Jamal Williams and Igor Olshansky),5.340,5.170
Quarter,Time,Down,ToGo,Location,SDG,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,SDG 1,14,6,"Curtis Martin right guard for 1 yard, touchdown",5.170,7.000
2,,,,SDG 2,14,7,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,14,7,"Mike Nugent kicks off 65 yards, returned by Darren Sproles for 20 yards (tackle by Barry Gardner)",0.000,0.610
2,14:51,1,10,SDG 25,14,7,Drew Brees pass complete to Reche Caldwell for 5 yards (tackle by Justin Miller),0.610,0.740
2,14:12,2,5,SDG 30,14,7,LaDainian Tomlinson right guard for 1 yard (tackle by Shaun Ellis),0.740,0.170
2,13:34,3,4,SDG 31,14,7,LaDainian Tomlinson left tackle for 8 yards (tackle by Derrick Strait and Kerry Rhodes),0.170,1.530
2,12:57,1,10,SDG 39,14,7,Drew Brees pass complete to Vincent Jackson for 18 yards (tackle by Justin Miller),1.530,2.720
2,12:13,1,10,NYJ 43,14,7,Michael Turner right tackle for 3 yards (tackle by James Reed),2.720,2.580
2,11:41,2,7,NYJ 40,14,7,"LaDainian Tomlinson right guard for 4 yards (tackle by Dewayne Robertson and Jonathan Vilma). Penalty on Bob Hallen: Offensive Holding, 10 yards (no play)",2.580,1.230
2,11:15,2,17,NYJ 50,14,7,"Penalty on Reche Caldwell: False Start, 5 yards (no play)",1.230,0.560
2,10:55,2,22,SDG 45,14,7,LaDainian Tomlinson right guard for 2 yards (tackle by Jonathan Vilma and Rashad Washington),0.560,0.170
2,10:14,3,20,SDG 47,14,7,Drew Brees pass complete to Keenan McCardell for 21 yards (tackle by Justin Miller),0.170,3.450
2,9:28,1,10,NYJ 32,14,7,Drew Brees pass complete to Antonio Gates for 29 yards (tackle by Kerry Rhodes),3.450,6.510
2,8:40,1,3,NYJ 3,14,7,Lorenzo Neal right guard for 2 yards (tackle by Jonathan Vilma and Mark Brown),6.510,5.910
2,7:57,2,1,NYJ 1,20,7,"LaDainian Tomlinson left guard for 1 yard, touchdown",5.910,7.000
2,,,,NYJ 2,21,7,"Nate Kaeding kicks extra point good. Penalty on Shane Olivea: False Start, 5 yards (no play)",0.000,0.000
2,,,,NYJ 2,21,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,21,7,"Nate Kaeding kicks off 53 yards, returned by Justin Miller for 23 yards (tackle by Lorenzo Neal)",0.000,1.600
2,7:47,1,10,NYJ 40,21,7,Curtis Martin right guard for 5 yards (tackle by Jamal Williams),1.600,1.730
2,7:09,2,5,NYJ 45,21,7,Vinny Testaverde pass complete to Laveranues Coles for 13 yards (tackle by Bhawoh Jue and Quentin Jammer),1.730,2.790
2,6:25,1,10,SDG 42,21,7,Curtis Martin left tackle for 1 yard (tackle by Jamal Williams),2.790,2.380
2,5:42,2,9,SDG 41,21,7,Vinny Testaverde pass complete to Laveranues Coles for 19 yards (tackle by Sammy Davis),2.380,4.110
2,5:07,1,10,SDG 22,21,7,Curtis Martin right tackle for 1 yard (tackle by Shawne Merriman and Stephen Cooper),4.110,3.700
2,4:29,2,9,SDG 21,21,7,Curtis Martin right end for 4 yards (tackle by Shawne Merriman),3.700,3.560
2,3:48,3,5,SDG 17,21,7,Vinny Testaverde pass incomplete intended for Chris Baker,3.560,2.360
2,3:41,4,5,SDG 17,21,10,Mike Nugent 35 yard field goal good,2.360,3.000
2,,,,NYJ 30,21,10,"Mike Nugent kicks off 66 yards, returned by Darren Sproles for 25 yards (tackle by Derrick Strait)",0.000,0.870
2,3:30,1,10,SDG 29,21,10,Drew Brees pass complete to Reche Caldwell for 11 yards (tackle by Kerry Rhodes),0.870,1.600
2,2:55,1,10,SDG 40,21,10,Drew Brees pass complete to Antonio Gates for 13 yards (tackle by Erik Coleman and Jonathan Vilma),1.600,2.460
2,2:21,1,10,NYJ 47,21,10,LaDainian Tomlinson left tackle for 13 yards (tackle by Erik Coleman),2.460,3.310
2,2:00,1,10,NYJ 34,21,10,Drew Brees pass incomplete,3.310,2.770
2,1:54,2,10,NYJ 34,21,10,"Drew Brees pass incomplete intended for Reche Caldwell. Penalty on David Barrett: Illegal Contact, 5 yards (no play)",2.770,3.640
2,1:54,1,10,NYJ 29,21,10,Drew Brees pass incomplete intended for Justin Peelle,3.640,3.100
2,1:42,2,10,NYJ 29,21,10,Drew Brees pass complete to Antonio Gates for 14 yards (tackle by Erik Coleman and Rashad Washington),3.100,4.580
2,1:08,1,10,NYJ 15,21,10,"LaDainian Tomlinson left end for no gain (tackle by David Barrett). Penalty on Kris Dielman: Offensive Holding, 10 yards (no play)",4.580,3.910
2,1:03,1,20,NYJ 25,21,10,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Victor Hobson and Ty Law),3.910,3.450
2,0:56,2,14,NYJ 19,21,10,Drew Brees pass incomplete intended for Reche Caldwell,3.450,2.790
2,0:50,,,,21,10,Timeout #1 by San Diego Chargers,0.000,2.790
2,0:50,3,14,NYJ 19,21,10,"Drew Brees pass incomplete is intercepted by David Barrett at NYJ-4 and returned for 10 yards. Penalty on David Barrett: Illegal Forward Pass, 5 yards",2.790,0.380
2,0:38,1,10,NYJ 9,21,10,Curtis Martin up the middle for 4 yards (tackle by Jacques Cesaire and Stephen Cooper),-0.380,-0.480
Quarter,Time,Down,ToGo,Location,SDG,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,21,10,"Mike Nugent kicks off 67 yards, returned by Darren Sproles for 11 yards (tackle by T.J. Hollowell). Penalty on Justin Peelle: Offensive Holding, 7 yards",0.000,-0.380
3,14:56,1,10,SDG 7,21,10,LaDainian Tomlinson right end for -3 yards (tackle by Shaun Ellis),-0.380,-1.000
3,14:15,2,13,SDG 4,21,10,Drew Brees pass incomplete intended for Lorenzo Neal,-1.000,-1.770
3,14:11,3,13,SDG 4,21,10,Michael Turner up the middle for 4 yards (tackle by Jonathan Vilma),-1.770,-2.490
3,13:39,4,9,SDG 8,21,10,"Mike Scifres punts 55 yards, returned by Jerricho Cotchery for 15 yards (tackle by Matt Wilhelm)",-2.490,-2.390
3,13:26,1,10,SDG 48,21,10,"Vinny Testaverde pass incomplete intended for Justin McCareins. Penalty on Quentin Jammer: Defensive Pass Interfere, 40 yards (no play)",2.390,5.370
3,13:19,1,8,SDG 8,21,10,Curtis Martin up the middle for -3 yards (tackle by Shaun Phillips and Igor Olshansky),5.370,4.020
3,12:36,2,11,SDG 11,21,10,Vinny Testaverde pass complete to Laveranues Coles for 4 yards (tackle by Sammy Davis),4.020,3.810
3,11:55,3,7,SDG 7,21,10,Vinny Testaverde pass complete to Chris Baker for 2 yards (tackle by Quentin Jammer and Matt Wilhelm),3.810,3.010
3,11:15,4,5,SDG 5,21,13,Mike Nugent 22 yard field goal good,3.010,3.000
3,,,,NYJ 30,21,13,"Mike Nugent kicks off 61 yards, returned by Darren Sproles for 22 yards (tackle by Barry Gardner)",0.000,1.000
3,11:04,1,10,SDG 31,21,13,Drew Brees pass complete to Antonio Gates for 4 yards (tackle by Mark Brown and Jonathan Vilma),1.000,1.000
3,10:38,2,6,SDG 35,21,13,LaDainian Tomlinson left end for 5 yards (tackle by David Barrett),1.000,0.960
3,9:54,3,1,SDG 40,21,13,Drew Brees pass incomplete intended for Antonio Gates,0.960,-0.720
3,9:50,4,1,SDG 40,21,13,"Mike Scifres punts 60 yards, touchback",-0.720,-0.280
3,9:38,1,10,NYJ 20,21,13,Cedric Houston left end for 2 yards (tackle by Shawne Merriman),0.280,0.000
3,8:57,2,8,NYJ 22,21,13,Vinny Testaverde pass incomplete intended for Doug Jolley,0.000,-0.690
3,8:53,3,8,NYJ 22,21,13,Vinny Testaverde sacked by Shaun Phillips for -8 yards,-0.690,-2.470
3,8:36,4,16,NYJ 14,21,13,Ben Graham punts 41 yards,-2.470,-1.930
3,8:25,1,10,SDG 45,21,13,LaDainian Tomlinson right guard for 5 yards (tackle by Sione Pouha and Victor Hobson),1.930,2.060
3,7:52,2,5,NYJ 50,21,13,Drew Brees pass complete to Antonio Gates for 8 yards (tackle by Kerry Rhodes),2.060,2.790
3,7:15,1,10,NYJ 42,21,13,LaDainian Tomlinson up the middle for 10 yards (tackle by Shaun Ellis),2.790,3.450
3,6:39,1,10,NYJ 32,21,13,LaDainian Tomlinson left guard for 2 yards (tackle by Derrick Strait),3.450,3.170
3,6:09,2,8,NYJ 30,21,13,LaDainian Tomlinson right end for 10 yards (tackle by Ty Law),3.170,4.240
3,5:35,1,10,NYJ 20,21,13,"Michael Turner up the middle for 6 yards (tackle by Erik Coleman and Derrick Strait). Penalty on Lance Legree: Defensive Holding, 5 yards",4.240,5.140
3,5:15,1,9,NYJ 9,21,13,Michael Turner right guard for 5 yards (tackle by Ty Law),5.140,5.340
3,4:39,2,4,NYJ 4,21,13,Lorenzo Neal right guard for 3 yards (tackle by James Reed and Victor Hobson),5.340,5.170
3,3:51,3,1,NYJ 1,27,13,"LaDainian Tomlinson left tackle for 1 yard, touchdown",5.170,7.000
3,,,,NYJ 2,28,13,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,28,13,"Nate Kaeding kicks off 65 yards, returned by Justin Miller for 20 yards (tackle by Jerry Wilson)",0.000,0.610
3,3:44,1,10,NYJ 25,28,13,Brooks Bollinger pass complete to Jerald Sowell for 6 yards (tackle by Shaun Phillips and Donnie Edwards),0.610,0.870
3,3:08,2,4,NYJ 31,28,13,Curtis Martin left tackle for 21 yards (tackle by Clinton Hart),0.870,2.390
3,2:24,1,10,SDG 48,28,13,Brooks Bollinger pass incomplete intended for Justin McCareins,2.390,1.850
3,2:16,2,10,SDG 48,28,13,Cedric Houston right guard for 8 yards (tackle by Stephen Cooper),1.850,2.210
3,1:46,3,2,SDG 40,28,13,Brooks Bollinger up the middle for 5 yards (tackle by Shaun Phillips),2.210,3.250
3,1:06,1,10,SDG 35,28,13,Brooks Bollinger pass complete to Jerald Sowell for 9 yards (tackle by Donnie Edwards),3.250,3.920
3,0:29,2,1,SDG 26,28,13,Curtis Martin right guard for no gain (tackle by Luis Castillo and Stephen Cooper),3.920,3.200
Quarter,Time,Down,ToGo,Location,SDG,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,SDG 26,28,13,Brooks Bollinger up the middle for 2 yards (tackle by Igor Olshansky and Jamal Williams),3.200,3.970
4,14:22,1,10,SDG 24,28,13,Brooks Bollinger sacked by Shaun Phillips for -8 yards,3.970,2.350
4,13:50,2,18,SDG 32,28,13,"Brooks Bollinger pass incomplete intended for Doug Jolley. Penalty on Bhawoh Jue: Defensive Pass Interfere, 14 yards (no play)",2.350,4.370
4,13:43,1,10,SDG 18,28,13,Brooks Bollinger pass incomplete intended for Doug Jolley,4.370,3.800
4,13:39,2,10,SDG 18,28,13,Brooks Bollinger pass complete to Doug Jolley for 12 yards (tackle by Stephen Cooper),3.800,5.830
4,13:10,1,6,SDG 6,28,13,Curtis Martin up the middle for 1 yard (tackle by Donnie Edwards and Shawne Merriman),5.830,5.150
4,12:32,2,5,SDG 5,28,19,"Brooks Bollinger pass complete to Jerald Sowell for 5 yards, touchdown",5.150,7.000
4,,,,SDG 2,28,20,Mike Nugent kicks extra point good,0.000,0.000
4,,,,NYJ 30,28,20,"Mike Nugent kicks off 70 yards, returned by Darren Sproles for 50 yards (tackle by Barry Gardner)",0.000,2.260
4,12:19,1,10,NYJ 50,28,20,Drew Brees pass complete to Keenan McCardell for 4 yards (tackle by Derrick Strait and David Barrett),2.260,2.250
4,11:50,2,6,NYJ 46,28,20,Drew Brees pass complete to Antonio Gates for 25 yards (tackle by Kerry Rhodes),2.250,4.170
4,11:10,1,10,NYJ 21,28,20,LaDainian Tomlinson left tackle for 12 yards (tackle by Kerry Rhodes),4.170,5.140
4,10:38,1,9,NYJ 9,28,20,LaDainian Tomlinson right tackle for 1 yard (tackle by Jonathan Vilma and John Abraham),5.140,4.570
4,9:55,2,8,NYJ 8,28,20,Drew Brees pass complete to Lorenzo Neal for 6 yards (tackle by Erik Coleman),4.570,4.950
4,9:16,3,2,NYJ 2,28,20,Lorenzo Neal up the middle for 1 yard (tackle by Jonathan Vilma and Shaun Ellis),4.950,3.550
4,8:39,,,,28,20,Timeout #1 by San Diego Chargers,0.000,3.550
4,8:39,4,1,NYJ 1,31,20,Nate Kaeding 18 yard field goal good,3.550,3.000
4,,,,SDG 30,31,20,"Nate Kaeding kicks off 63 yards, returned by Justin Miller for 45 yards (tackle by Nate Kaeding)",0.000,2.390
4,8:26,1,10,SDG 48,31,20,Brooks Bollinger pass incomplete intended for Joel Dreessen,2.390,1.850
4,8:20,2,10,SDG 48,31,20,Brooks Bollinger pass complete to Laveranues Coles for 11 yards (tackle by Sammy Davis and Quentin Jammer),1.850,3.120
4,8:03,1,10,SDG 37,31,20,Brooks Bollinger pass complete to Justin McCareins for 17 yards (tackle by Quentin Jammer and Shawne Merriman),3.120,4.240
4,7:24,1,10,SDG 20,31,20,Brooks Bollinger pass incomplete intended for Doug Jolley,4.240,3.690
4,7:17,2,10,SDG 20,31,20,Brooks Bollinger sacked by Shawne Merriman for -8 yards,3.690,1.950
4,6:41,,,,31,20,Timeout #1 by New York Jets,0.000,1.950
4,6:41,3,18,SDG 28,31,20,Brooks Bollinger pass complete to Wayne Chrebet for 20 yards,1.950,5.370
4,6:19,1,8,SDG 8,31,26,"Brooks Bollinger pass complete to Laveranues Coles for 8 yards, touchdown",5.370,7.000
4,,,,,31,26,"Two Point Attempt: Brooks Bollinger pass incomplete intended for Wayne Chrebet, conversion fails",1.000,-1.000
4,,,,NYJ 30,31,26,"Mike Nugent kicks off 57 yards, returned by Darren Sproles for 17 yards (tackle by Kenyatta Wright)",0.000,0.940
4,6:07,1,10,SDG 30,31,26,LaDainian Tomlinson up the middle for -1 yards (tackle by Derrick Strait),0.940,0.260
4,5:27,2,11,SDG 29,31,26,LaDainian Tomlinson left tackle for 7 yards (tackle by Jonathan Vilma and Mark Brown),0.260,0.500
4,4:43,,,,31,26,Timeout #2 by San Diego Chargers,0.000,0.500
4,4:43,3,4,SDG 36,31,26,Drew Brees pass complete to Reche Caldwell for 8 yards (tackle by David Barrett),0.500,1.860
4,4:43,1,10,SDG 44,31,26,"Penalty on Reche Caldwell: False Start, 5 yards (no play)",1.860,1.530
4,4:00,1,15,SDG 39,31,26,LaDainian Tomlinson right guard for -1 yards (tackle by Ty Law),1.530,0.510
4,3:21,2,16,SDG 38,31,26,LaDainian Tomlinson up the middle for 2 yards (tackle by James Reed),0.510,0.100
4,3:13,,,,31,26,Timeout #2 by New York Jets,0.000,0.100
4,3:13,3,14,SDG 40,31,26,"Drew Brees sacked by John Abraham for -8 yards. Drew Brees fumbles (forced by John Abraham), recovered by Jonathan Vilma at SDG-34 and returned for 4 yards (tackle by Leander Jordan)",0.100,-3.580
4,3:06,1,10,SDG 30,31,26,Brooks Bollinger pass incomplete intended for Justin McCareins,3.580,3.030
4,2:59,2,10,SDG 30,31,26,Brooks Bollinger pass complete to Laveranues Coles for 9 yards (tackle by Jamar Fletcher),3.030,3.530
4,2:52,3,1,SDG 21,31,26,Curtis Martin right guard for 1 yard (tackle by Shawne Merriman),3.530,4.240
4,2:29,1,10,SDG 20,31,26,Brooks Bollinger pass incomplete intended for Laveranues Coles (defended by Quentin Jammer),4.240,3.690
4,2:23,2,10,SDG 20,31,26,Curtis Martin left guard for 5 yards (tackle by Stephen Cooper and Jamar Fletcher),3.690,3.700
4,2:00,3,5,SDG 15,31,26,Brooks Bollinger pass complete to Wayne Chrebet for 6 yards (tackle by Jerry Wilson),3.700,5.140
4,1:46,,,,31,26,Timeout #3 by New York Jets,0.000,5.140
4,1:46,1,9,SDG 9,31,26,"Brooks Bollinger pass complete to Jerald Sowell for 3 yards (tackle by Donnie Edwards and Jamar Fletcher). Penalty on Donnie Edwards: Unnecessary Roughness, 3 yards",5.140,6.510
4,1:40,1,3,SDG 3,31,26,Curtis Martin left guard for no gain (tackle by Shawne Merriman),6.510,5.530
4,1:07,2,3,SDG 3,31,26,Brooks Bollinger pass incomplete intended for Laveranues Coles (defended by Jamar Fletcher),5.530,4.720
4,1:02,3,3,SDG 3,31,26,Brooks Bollinger pass incomplete intended for Justin McCareins,4.720,3.040
4,0:59,4,3,SDG 3,31,26,Brooks Bollinger pass incomplete intended for Justin McCareins (defended by Quentin Jammer),3.040,0.380
4,0:53,1,10,SDG 3,31,26,Drew Brees kneels for -1 yards,-0.380,-0.850
4,0:19,2,11,SDG 2,31,26,Drew Brees kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
