Quarter,Time,Tm,Detail,MIN,GNB
2.0,13:35,Vikings,Ryan Longwell 37 yard field goal,3,0
,10:07,Packers,Korey Hall 1 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
,3:21,Packers,Mason Crosby 42 yard field goal,3,10
3.0,10:52,Vikings,Ryan Longwell 27 yard field goal,6,10
,6:35,Packers,Will Blackmon 76 yard punt return (Mason Crosby kick),6,17
4.0,14:12,Vikings,Sidney Rice 23 yard pass from Tarvaris Jackson (pass failed),12,17
,6:03,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),12,24
,2:39,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),19,24
