Unnamed: 0,MIN,GNB
First Downs,21,15
Rush-Yds-TDs,33-187-1,27-139-1
Cmp-Att-Yd-TD-INT,16-35-178-1-1,18-22-178-1-0
Sacked-Yards,1-10,0-0
Net Pass Yards,168,178
Total Yards,355,317
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,9-42,12-118
Third Down Conv.,7-16,4-10
Fourth Down Conv.,2-2,0-0
Time of Possession,32:01,27:59
