Unnamed: 0,BUF,OAK
First Downs,15,18
Rush-Yds-TDs,13-13-0,36-140-0
Cmp-Att-Yd-TD-INT,32-49-329-3-2,17-34-214-2-0
Sacked-Yards,2-21,1-7
Net Pass Yards,308,207
Total Yards,321,347
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,7-55,4-35
Third Down Conv.,4-15,5-16
Fourth Down Conv.,0-0,0-0
Time of Possession,26:13,33:47
