Quarter,Time,Tm,Detail,BUF,OAK
1.0,9:45,Bills,Sammy Watkins 42 yard pass from Kyle Orton (Dan Carpenter kick),7,0
2.0,14:56,Raiders,James Jones 3 yard pass from Derek Carr (Sebastian Janikowski kick),7,7
,8:09,Raiders,Sebastian Janikowski 45 yard field goal,7,10
,1:11,Raiders,Sebastian Janikowski 36 yard field goal,7,13
,0:00,Bills,Dan Carpenter 54 yard field goal,10,13
3.0,10:18,Raiders,Sebastian Janikowski 38 yard field goal,10,16
,2:36,Raiders,Sebastian Janikowski 49 yard field goal,10,19
4.0,14:54,Bills,Scott Chandler 29 yard pass from Kyle Orton (Dan Carpenter kick),17,19
,2:51,Raiders,Jamize Olawale 1 yard pass from Derek Carr (Sebastian Janikowski kick),17,26
,1:09,Bills,Robert Woods 30 yard pass from Kyle Orton (Dan Carpenter kick),24,26
