Unnamed: 0,DET,CAR
First Downs,12,20
Rush-Yds-TDs,22-73-1,30-75-2
Cmp-Att-Yd-TD-INT,12-30-106-0-2,21-33-310-1-0
Sacked-Yards,6-57,0-0
Net Pass Yards,49,310
Total Yards,122,385
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,11-100,4-55
Third Down Conv.,1-15,3-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:17,33:43
