Unnamed: 0,CAR,ATL
First Downs,20,25
Rush-Yds-TDs,15-49-0,25-90-1
Cmp-Att-Yd-TD-INT,31-48-337-3-2,28-37-503-4-1
Sacked-Yards,1-8,3-22
Net Pass Yards,329,481
Total Yards,378,571
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,6-55,8-77
Third Down Conv.,7-16,8-13
Fourth Down Conv.,1-1,0-0
Time of Possession,26:11,33:49
