Unnamed: 0,NYG,BAL
First Downs,11,25
Rush-Yds-TDs,14-67-1,45-224-1
Cmp-Att-Yd-TD-INT,14-28-150-1-0,25-36-309-2-0
Sacked-Yards,3-31,0-0
Net Pass Yards,119,309
Total Yards,186,533
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-52,9-92
Third Down Conv.,2-10,11-18
Fourth Down Conv.,0-0,0-0
Time of Possession,20:39,39:21
