Quarter,Time,Tm,Detail,LAC,CHI
2.0,14:45,Bears,Eddy Pineiro 22 yard field goal,0,3
,4:16,Bears,Eddy Pineiro 25 yard field goal,0,6
,2:12,Chargers,Melvin Gordon 19 yard rush (Chase McLaughlin kick),7,6
,0:00,Bears,Eddy Pineiro 19 yard field goal,7,9
3.0,8:08,Bears,David Montgomery 4 yard rush (Eddy Pineiro kick),7,16
,0:39,Chargers,Chase McLaughlin 20 yard field goal,10,16
4.0,8:04,Chargers,Austin Ekeler 11 yard pass from Philip Rivers (Chase McLaughlin kick),17,16
