Unnamed: 0,LAC,CHI
First Downs,11,26
Rush-Yds-TDs,12-36-1,38-162-1
Cmp-Att-Yd-TD-INT,19-29-201-1-1,23-35-253-0-1
Sacked-Yards,1-6,4-27
Net Pass Yards,195,226
Total Yards,231,388
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,8-53,5-42
Third Down Conv.,2-10,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,22:00,38:00
