Quarter,Time,Tm,Detail,ATL,NOR
1.0,9:44,Saints,Mark Ingram 2 yard rush (Zach Hocker kick),0,7
,2:06,Saints,Michael Mauti 4 yard blocked punt return (Zach Hocker kick),0,14
2.0,14:12,Falcons,Roddy White 7 yard pass from Matt Ryan (Matt Bryant kick),7,14
3.0,7:19,Saints,Zach Hocker 31 yard field goal,7,17
,2:23,Saints,Ben Watson 2 yard pass from Drew Brees (Zach Hocker kick),7,24
4.0,13:07,Falcons,Devonta Freeman 25 yard rush (Matt Bryant kick),14,24
,8:02,Saints,Mark Ingram 1 yard rush (Zach Hocker kick),14,31
,1:29,Falcons,Devonta Freeman 13 yard pass from Matt Ryan (Matt Bryant kick),21,31
