Unnamed: 0,ATL,NOR
First Downs,23,25
Rush-Yds-TDs,21-150-1,32-81-2
Cmp-Att-Yd-TD-INT,30-44-295-2-0,30-39-312-1-0
Sacked-Yards,5-32,1-8
Net Pass Yards,263,304
Total Yards,413,385
Fumbles-Lost,5-3,0-0
Turnovers,3,0
Penalties-Yards,7-41,3-15
Third Down Conv.,3-12,8-16
Fourth Down Conv.,3-4,1-1
Time of Possession,27:30,32:30
