Unnamed: 0,NYG,DET
First Downs,19,17
Rush-Yds-TDs,27-72-0,11-25-0
Cmp-Att-Yd-TD-INT,28-39-283-1-0,28-43-377-1-3
Sacked-Yards,2-14,3-26
Net Pass Yards,269,351
Total Yards,341,376
Fumbles-Lost,3-2,3-1
Turnovers,2,4
Penalties-Yards,6-47,7-40
Third Down Conv.,4-14,1-10
Fourth Down Conv.,0-0,0-0
Time of Possession,35:17,24:43
