Quarter,Time,Tm,Detail,NYG,DET
1.0,0:37,Giants,Lawrence Tynes 28 yard field goal,3,0
2.0,0:23,Giants,Brandon Jacobs 10 yard pass from Eli Manning (Lawrence Tynes kick),10,0
3.0,10:52,Lions,Jason Hanson 42 yard field goal,10,3
,2:39,Giants,Lawrence Tynes 46 yard field goal,13,3
4.0,11:15,Giants,Lawrence Tynes 20 yard field goal,16,3
,4:34,Lions,Calvin Johnson 35 yard pass from Jon Kitna (Jason Hanson kick),16,10
