Quarter,Time,Down,ToGo,Location,NYG,DET,Detail,EPB,EPA
1,9:16,4,6,NYG 36,0,0,"Jeff Feagles punts 44 yards, fair catch by Troy Walters",-0.980,-0.280
1,9:07,1,10,DET 20,0,0,"Jon Kitna pass incomplete short right intended for Sean McHugh. Penalty on Jeff Backus: Face Mask (15 Yards), 10 yards (no play)",0.280,-0.760
1,9:00,1,20,DET 10,0,0,Kevin Jones up the middle for 1 yard (tackle by Justin Tuck),-0.760,-1.440
1,8:22,2,19,DET 11,0,0,Jon Kitna pass complete deep left to Shaun McDonald for 20 yards (tackle by Kevin Dockery),-1.440,1.000
1,7:41,1,10,DET 31,0,0,Jon Kitna pass complete deep right to Roy E. Williams for 26 yards (tackle by Sam Madison),1.000,2.720
1,7:01,1,10,NYG 43,0,0,Jon Kitna pass incomplete (defended by Justin Tuck),2.720,2.180
1,6:42,2,10,NYG 43,0,0,Kevin Jones right tackle for no gain (tackle by Michael Strahan),2.180,1.490
1,6:04,3,10,NYG 43,0,0,Jon Kitna pass incomplete deep right intended for Roy E. Williams (defended by Sam Madison),1.490,0.400
1,5:55,4,10,NYG 43,0,0,Nick Harris punts 34 yards,0.400,0.380
1,5:48,1,10,NYG 9,0,0,Eli Manning pass complete short middle to Brandon Jacobs for 34 yards (tackle by Fernando Bryant),-0.380,1.800
1,5:21,1,10,NYG 43,0,0,Brandon Jacobs left end for 1 yard (tackle by Ernie Sims),1.800,1.390
1,4:40,2,9,NYG 44,0,0,Eli Manning pass complete short middle to Jeremy Shockey for 7 yards (tackle by Boss Bailey),1.390,1.620
1,3:58,3,2,DET 49,0,0,Eli Manning pass complete short right to Amani Toomer for 17 yards (tackle by Fernando Bryant),1.620,3.450
1,3:20,1,10,DET 32,0,0,Eli Manning pass complete short right to Brandon Jacobs for -3 yards (tackle by Ernie Sims),3.450,2.500
1,2:40,2,13,DET 35,0,0,Brandon Jacobs right tackle for 18 yards (tackle by Travis Fisher),2.500,4.440
1,1:53,1,10,DET 17,0,0,Eli Manning pass incomplete short left intended for Plaxico Burress,4.440,3.850
1,1:48,2,10,DET 17,0,0,Reuben Droughns up the middle for -4 yards (tackle by Cory Redding),3.850,2.680
1,1:05,3,14,DET 21,0,0,Eli Manning pass complete short right to Reuben Droughns for 11 yards (tackle by Paris Lenon). Penalty on Kareem McKenzie: Illegal Formation (Declined),2.680,2.860
1,0:40,4,3,DET 10,3,0,Lawrence Tynes 28 yard field goal good,2.860,3.000
1,,,,NYG 30,3,0,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
1,0:37,1,10,DET 20,3,0,Kevin Jones right end for 1 yard (tackle by Antonio Pierce),0.280,-0.130
Quarter,Time,Down,ToGo,Location,NYG,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,DET 21,3,0,Jon Kitna sacked by Michael Strahan for -10 yards,-0.130,-2.470
2,14:27,3,19,DET 11,3,0,Jon Kitna pass incomplete deep middle intended for Roy E. Williams (defended by Gibril Wilson),-2.470,-2.490
2,14:20,4,19,DET 11,3,0,"Nick Harris punts 48 yards, returned by R.W. McQuarters for 21 yards (tackle by Keith Smith)",-2.490,-3.050
2,14:06,1,10,DET 38,3,0,"Brandon Jacobs right end for -1 yards (tackle by Langston Moore). Penalty on Shaun O'Hara: Offensive Holding, 10 yards (no play)",3.050,2.390
2,13:40,1,20,DET 48,3,0,Eli Manning pass complete short right to Sinorice Moss for 14 yards (tackle by Fernando Bryant),2.390,3.050
2,12:51,2,6,DET 34,3,0,Brandon Jacobs right end for 2 yards (tackle by Kenoy Kennedy),3.050,2.610
2,12:21,3,4,DET 32,3,0,"Eli Manning pass complete short right to Sinorice Moss for 8 yards (tackle by Kenoy Kennedy). Sinorice Moss fumbles (forced by Kenoy Kennedy), recovered by Kenoy Kennedy at DET-21 (tackle by Rich Seubert)",2.610,-0.340
2,12:11,1,10,DET 21,3,0,Jon Kitna pass complete short right to Sean McHugh for 18 yards (tackle by James Butler),0.340,1.530
2,11:47,1,10,DET 39,3,0,Jon Kitna pass incomplete short right intended for Kevin Jones,1.530,0.990
2,11:41,2,10,DET 39,3,0,Kevin Jones right end for -5 yards (tackle by Kevin Dockery and Michael Strahan),0.990,-0.360
2,10:58,3,15,DET 34,3,0,Jon Kitna pass incomplete short right intended for Shaun McDonald,-0.360,-1.110
2,10:53,4,15,DET 34,3,0,"Nick Harris punts 50 yards, returned by R.W. McQuarters for 21 yards (tackle by LaMarcus Hicks). Penalty on Aaron Ross: Offensive Holding, 8 yards",-1.110,0.380
2,10:38,1,10,NYG 8,3,0,Eli Manning pass complete short right to Amani Toomer for 8 yards (tackle by Fernando Bryant),-0.380,-0.090
2,10:01,2,2,NYG 16,3,0,Eli Manning right end for 9 yards (tackle by Fernando Bryant),-0.090,0.610
2,9:26,1,10,NYG 25,3,0,Eli Manning pass complete short middle to Kevin Boss for 15 yards (tackle by Teddy Lehman),0.610,1.600
2,8:39,1,10,NYG 40,3,0,Brandon Jacobs right tackle for 1 yard (tackle by Gerald Alexander and Corey Smith),1.600,1.190
2,8:03,2,9,NYG 41,3,0,Eli Manning pass complete short left to Brandon Jacobs for 8 yards (tackle by Ernie Sims),1.190,1.550
2,7:17,3,1,NYG 49,3,0,"Penalty on Chris Snee: False Start, 4 yards (no play)",1.550,1.030
2,7:13,3,5,NYG 45,3,0,Eli Manning pass complete short left to Jeremy Shockey for 3 yards (tackle by Travis Fisher),1.030,-0.190
2,6:19,4,2,NYG 48,3,0,"Jeff Feagles punts 52 yards, touchback",-0.190,-0.280
2,6:11,1,10,DET 20,3,0,Jon Kitna pass complete short left to Casey Fitzsimmons for 21 yards (tackle by Gibril Wilson),0.280,1.660
2,5:40,1,10,DET 41,3,0,Jon Kitna pass incomplete short left intended for Shaun McDonald,1.660,1.120
2,5:35,2,10,DET 41,3,0,Jon Kitna pass complete short left to Mike Furrey for 7 yards (tackle by Reggie Torbor),1.120,1.360
2,4:53,3,3,DET 48,3,0,Jon Kitna pass complete short left to Shaun McDonald for no gain,1.360,-0.190
,,,,,,,"NYG challenged the first down ruling, and the original play was overturned.",,
2,4:16,4,3,DET 48,3,0,"Nick Harris punts 52 yards, touchback",-0.190,-0.280
2,4:07,1,10,NYG 20,3,0,Brandon Jacobs left end for 18 yards (tackle by Jared DeVries),0.280,1.470
2,3:31,1,10,NYG 38,3,0,Eli Manning pass complete short left to Jeremy Shockey for 11 yards (tackle by Paris Lenon),1.470,2.190
2,2:52,1,10,NYG 49,3,0,"Penalty on Kalimba Edwards: Defensive Offside, 5 yards (no play)",2.190,2.920
2,2:41,1,5,DET 46,3,0,Brandon Jacobs up the middle for 1 yard (tackle by Cory Redding and Ernie Sims),2.920,2.460
2,2:07,2,4,DET 45,3,0,Eli Manning pass incomplete deep left intended for Plaxico Burress,2.460,1.750
2,2:00,3,4,DET 45,3,0,Eli Manning pass complete short middle to Sinorice Moss for 11 yards (tackle by Keith Smith),1.750,3.310
2,1:34,1,10,DET 34,3,0,Eli Manning pass complete short middle to Jeremy Shockey for 8 yards (tackle by Paris Lenon),3.310,3.850
2,1:12,2,2,DET 26,3,0,Brandon Jacobs up the middle for 4 yards (tackle by Shaun Cody and Paris Lenon),3.850,4.110
2,1:06,,,,3,0,Timeout #1 by New York Giants,0.000,4.110
2,1:06,1,10,DET 22,3,0,Eli Manning pass complete short left to Plaxico Burress for 6 yards (tackle by Keith Smith),4.110,4.460
2,0:38,2,4,DET 16,3,0,Eli Manning pass complete short left to Amani Toomer for 3 yards (tackle by Kenoy Kennedy),4.460,4.390
2,0:33,3,1,DET 13,3,0,Eli Manning up the middle for 3 yards (tackle by Ernie Sims),4.390,4.910
2,0:30,,,,3,0,Timeout #2 by New York Giants,0.000,4.910
2,0:30,1,10,DET 10,9,0,"Eli Manning pass complete short left to Brandon Jacobs for 10 yards, touchdown",4.910,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,,,,DET 2,10,0,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,10,0,"Lawrence Tynes kicks off 47 yards, returned by Blaine Saipaia for 12 yards (tackle by Michael Johnson)",0.000,1.270
2,0:18,1,10,DET 35,10,0,Jon Kitna pass complete short right to Kevin Jones for 7 yards (tackle by Antonio Pierce),1.270,1.670
2,0:12,,,,10,0,Timeout #1 by Detroit Lions,0.000,1.670
2,0:12,2,3,DET 42,10,0,Jon Kitna sacked by Michael Strahan for -8 yards,1.670,-0.100
2,0:04,,,,10,0,Timeout #2 by Detroit Lions,0.000,-0.100
2,0:04,3,11,DET 34,10,0,"Jon Kitna pass complete deep left to Shaun McDonald for 32 yards (tackle by Antonio Pierce). Shaun McDonald fumbles (forced by Antonio Pierce), recovered by James Butler at NYG-31 and returned for 4 yards (tackle by Mike Furrey)",-0.100,0.000
Quarter,Time,Down,ToGo,Location,NYG,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,10,0,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NYG 20,10,0,Eli Manning pass incomplete short left intended for Plaxico Burress,0.280,-0.270
3,14:55,2,10,NYG 20,10,0,Eli Manning pass incomplete deep right intended for Jeremy Shockey,-0.270,-0.960
3,14:47,3,10,NYG 20,10,0,Eli Manning pass incomplete short middle intended for Plaxico Burress (defended by Kenoy Kennedy),-0.960,-2.030
3,14:40,4,10,NYG 20,10,0,"Jeff Feagles punts 47 yards, fair catch by Troy Walters",-2.030,-1.140
3,14:32,1,10,DET 33,10,0,Jon Kitna pass incomplete deep middle intended for Roy E. Williams,1.140,0.590
3,14:24,2,10,DET 33,10,0,Jon Kitna pass complete short left to Roy E. Williams for 14 yards (tackle by Sam Madison),0.590,2.060
3,14:02,1,10,DET 47,10,0,Kevin Jones right tackle for no gain (tackle by Fred Robbins),2.060,1.520
3,13:26,2,10,DET 47,10,0,Jon Kitna pass complete short left to Shaun McDonald for 20 yards (tackle by Antonio Pierce),1.520,3.380
3,12:49,1,10,NYG 33,10,0,Jon Kitna sacked by Michael Strahan for -8 yards,3.380,1.760
3,12:09,2,18,NYG 41,10,0,Jon Kitna pass complete short right to Roy E. Williams for 11 yards (tackle by Sam Madison),1.760,2.540
3,11:29,3,7,NYG 30,10,0,"Jon Kitna pass complete short left to Calvin Johnson for 6 yards (tackle by Kevin Dockery). Calvin Johnson fumbles (forced by Kevin Dockery), ball out of bounds at NYG-24",2.540,2.020
3,10:56,4,1,NYG 24,10,3,Jason Hanson 42 yard field goal good,2.020,3.000
3,,,,DET 30,10,3,"Jason Hanson kicks off 72 yards, returned by Ahmad Bradshaw for 68 yards (tackle by Stanley Wilson)",0.000,3.310
3,10:39,1,10,DET 34,10,3,Brandon Jacobs up the middle for 1 yard (tackle by Kalimba Edwards),3.310,2.910
3,10:06,2,9,DET 33,10,3,"Brandon Jacobs up the middle for 5 yards (tackle by Paris Lenon). Brandon Jacobs fumbles (forced by Paris Lenon), recovered by Jared DeVries at DET-26 (tackle by Kareem McKenzie)",2.910,-0.670
3,9:59,1,10,DET 26,10,3,Jon Kitna pass complete deep left to Roy E. Williams for 19 yards (tackle by Sam Madison),0.670,1.930
3,9:23,1,10,DET 45,10,3,Kevin Jones left tackle for 7 yards (tackle by Sam Madison and Antonio Pierce),1.930,2.330
3,8:46,2,3,NYG 48,10,3,Kevin Jones right tackle for 2 yards (tackle by Reggie Torbor and Antonio Pierce),2.330,1.880
3,8:07,3,1,NYG 46,10,3,Jon Kitna pass complete short left to Roy E. Williams for 8 yards (tackle by Sam Madison),1.880,3.050
3,7:30,1,10,NYG 38,10,3,Jon Kitna pass complete short right to Calvin Johnson for 4 yards (tackle by James Butler),3.050,3.050
3,6:55,2,6,NYG 34,10,3,Jon Kitna pass incomplete short right intended for Shaun McDonald,3.050,2.340
3,6:47,3,6,NYG 34,10,3,Jon Kitna pass complete short left to Mike Furrey for 5 yards (tackle by R.W. McQuarters),2.340,1.620
3,6:04,4,1,NYG 29,10,3,"Penalty on Edwin Mulitalo: False Start, 5 yards (no play)",1.620,1.070
3,6:01,4,6,NYG 34,10,3,"Jason Hanson 52 yard field goal no good, blocked by Fred Robbins",1.070,-1.730
3,5:57,1,10,NYG 42,10,3,Eli Manning pass complete short middle to Michael Matthews for 6 yards (tackle by Paris Lenon),1.730,2.000
3,5:25,2,4,NYG 48,10,3,"Penalty on Shaun Rogers: Encroachment, 5 yards (no play)",2.000,2.460
3,5:08,1,10,DET 47,10,3,Eli Manning pass complete deep left to Plaxico Burress for 18 yards (tackle by Keith Smith),2.460,3.640
3,4:34,1,10,DET 29,10,3,Brandon Jacobs right end for -1 yards (tackle by Paris Lenon),3.640,2.970
3,3:57,2,11,DET 30,10,3,Eli Manning sacked by Boss Bailey for -7 yards,2.970,1.360
3,3:24,3,18,DET 37,10,3,Eli Manning pass complete short left to Reuben Droughns for 9 yards (tackle by Keith Smith),1.360,1.590
3,2:47,4,9,DET 28,13,3,Lawrence Tynes 46 yard field goal good,1.590,3.000
3,,,,NYG 30,13,3,"Lawrence Tynes kicks off 71 yards, returned by Aveion Cason for 19 yards (tackle by James Butler)",0.000,0.040
3,2:33,1,10,DET 18,13,3,Jon Kitna pass complete short left to Jon Bradley for 2 yards (tackle by Kawika Mitchell),0.040,-0.130
3,1:53,2,8,DET 20,13,3,Jon Kitna pass complete deep middle to Mike Furrey for 18 yards (tackle by James Butler),-0.130,1.470
3,1:16,1,10,DET 38,13,3,"Jon Kitna pass incomplete intended for Roy E. Williams is intercepted by Gibril Wilson at NYG-42 and returned for 2 yards (tackle by Roy E. Williams). Gibril Wilson fumbles (forced by Roy E. Williams), recovered by Antonio Pierce at NYG-45",1.470,-1.930
3,1:05,1,10,NYG 45,13,3,Eli Manning pass complete short left to Madison Hedgecock for 9 yards (tackle by Travis Fisher),1.930,2.600
3,0:24,2,1,DET 46,13,3,Reuben Droughns left tackle for 4 yards (tackle by Kenoy Kennedy),2.600,2.790
Quarter,Time,Down,ToGo,Location,NYG,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 42,13,3,Eli Manning pass complete short middle to Reuben Droughns for 6 yards (tackle by Ernie Sims),2.790,3.050
4,14:22,2,4,DET 36,13,3,"Eli Manning pass complete to Madison Hedgecock for 3 yards (tackle by Jared DeVries). Penalty on Shaun Rogers: Defensive Offside, 5 yards (no play)",3.050,3.510
4,14:05,1,10,DET 31,13,3,Reuben Droughns right tackle for 7 yards (tackle by Kenoy Kennedy),3.510,3.910
4,13:25,2,3,DET 24,13,3,Eli Manning pass complete short right to Sinorice Moss for 13 yards (tackle by Fernando Bryant),3.910,4.840
4,12:53,1,10,DET 11,13,3,Reuben Droughns right end for -3 yards (tackle by Cory Redding),4.840,3.690
4,12:13,2,13,DET 14,13,3,Eli Manning pass incomplete short right intended for Amani Toomer,3.690,3.030
4,12:08,3,13,DET 14,13,3,Eli Manning pass complete short right to Jeremy Shockey for 12 yards (tackle by Gerald Alexander),3.030,3.250
4,11:18,4,1,DET 2,16,3,Lawrence Tynes 20 yard field goal good,3.250,3.000
4,,,,NYG 30,16,3,"Lawrence Tynes kicks off 72 yards, returned by Aveion Cason for 24 yards (tackle by Chase Blackburn)",0.000,0.410
4,11:09,1,10,DET 22,16,3,Jon Kitna pass complete deep left to Roy E. Williams for 28 yards,0.410,2.260
4,10:45,1,10,,16,3,Jon Kitna pass incomplete short left intended for Shaun McDonald,2.260,1.710
4,10:40,2,10,,16,3,Jon Kitna pass incomplete deep left intended for Roy E. Williams,1.710,1.030
4,10:34,3,10,,16,3,Jon Kitna pass incomplete short right intended for Mike Furrey,1.030,-0.060
4,10:28,4,10,,16,3,"Nick Harris punts 42 yards, fair catch by R.W. McQuarters",-0.060,0.380
4,10:19,1,10,NYG 8,16,3,Reuben Droughns right tackle for 2 yards (tackle by Jared DeVries),-0.380,-0.630
4,9:42,2,8,NYG 10,16,3,Eli Manning pass complete short left to Amani Toomer for 11 yards (tackle by Travis Fisher),-0.630,0.340
4,9:00,1,10,NYG 21,16,3,Reuben Droughns right tackle for -1 yards (tackle by Kalimba Edwards and Ernie Sims),0.340,-0.340
4,8:19,2,11,NYG 20,16,3,Eli Manning pass complete short middle to Plaxico Burress for 14 yards (tackle by Fernando Bryant),-0.340,1.200
4,7:35,1,10,NYG 34,16,3,Reuben Droughns left end for 1 yard (tackle by Kenoy Kennedy),1.200,0.790
4,6:53,2,9,NYG 35,16,3,Reuben Droughns up the middle for -2 yards (tackle by Langston Moore),0.790,-0.160
4,6:10,3,11,NYG 33,16,3,Eli Manning pass incomplete short middle intended for Plaxico Burress (defended by Gerald Alexander),-0.160,-1.180
4,6:04,4,11,NYG 33,16,3,"Jeff Feagles punts 51 yards, returned by Troy Walters for 2 yards (tackle by Zak DeOssie)",-1.180,-0.040
4,5:52,1,10,DET 18,16,3,"Penalty on Michael Strahan: Defensive Offside, 5 yards (no play)",0.040,0.880
4,5:52,1,5,DET 23,16,3,Jon Kitna pass complete short left to Mike Furrey for 9 yards (tackle by R.W. McQuarters),0.880,1.070
4,5:26,1,10,DET 32,16,3,Jon Kitna pass complete short right to Shaun McDonald for 14 yards (tackle by James Butler),1.070,1.990
4,5:05,1,10,DET 46,16,3,Jon Kitna pass complete short middle to Troy Walters for 19 yards (tackle by James Butler),1.990,3.250
4,4:41,1,10,NYG 35,16,9,"Jon Kitna pass complete deep left to Calvin Johnson for 35 yards, touchdown",3.250,7.000
4,,,,NYG 2,16,10,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,16,10,"Jason Hanson kicks off 72 yards, returned by Ahmad Bradshaw for 29 yards (tackle by Boss Bailey)",0.000,0.740
4,4:26,1,10,NYG 27,16,10,Reuben Droughns up the middle for 1 yard (tackle by Kenoy Kennedy and Ernie Sims),0.740,0.330
4,3:49,2,9,NYG 28,16,10,Eli Manning pass complete short left to Madison Hedgecock for 5 yards (tackle by Travis Fisher),0.330,0.300
4,3:04,3,4,NYG 33,16,10,Eli Manning sacked by Kalimba Edwards for -7 yards,0.300,-1.630
4,2:33,4,11,NYG 26,16,10,"Jeff Feagles punts 42 yards, fair catch by Troy Walters",-1.630,-1.070
4,2:25,1,10,DET 32,16,10,"Jon Kitna pass complete short left to Shaun McDonald for no gain (tackle by Sam Madison). Shaun McDonald fumbles (forced by Sam Madison), ball out of bounds at DET-32",1.070,0.530
4,2:17,2,10,DET 32,16,10,"Jon Kitna pass complete short right to Kevin Jones for 2 yards (tackle by Antonio Pierce). Penalty on Justin Tuck: Roughing the Passer, 15 yards",0.530,2.190
4,2:09,1,10,DET 49,16,10,Jon Kitna pass incomplete deep right intended for Shaun McDonald,2.190,1.650
4,2:04,2,10,DET 49,16,10,Jon Kitna pass incomplete intended for Shaun McDonald is intercepted by James Butler at DET-0,1.650,-0.280
4,1:54,1,10,NYG 20,16,10,Eli Manning left end for -4 yards (tackle by Kalimba Edwards),0.280,-0.940
4,1:49,,,,16,10,Timeout #1 by Detroit Lions,0.000,-0.940
4,1:49,2,14,NYG 16,16,10,Reuben Droughns left tackle for 4 yards (tackle by Jared DeVries),-0.940,-0.960
4,1:43,,,,16,10,Timeout #2 by Detroit Lions,0.000,-0.960
4,1:43,3,10,NYG 20,16,10,Eli Manning pass incomplete short right intended for Amani Toomer (defended by Fernando Bryant),-0.960,-2.030
4,1:36,4,10,NYG 20,16,10,"Jeff Feagles punts 54 yards, returned by Troy Walters for 6 yards (tackle by Chase Blackburn)",-2.030,-1.070
4,1:25,1,10,DET 32,16,10,"Penalty on Jeff Backus: False Start, 5 yards (no play)",1.070,0.740
4,1:25,1,15,DET 27,16,10,Jon Kitna pass complete deep middle to Shaun McDonald for 27 yards (tackle by Antonio Pierce),0.740,2.520
4,1:02,1,10,NYG 46,16,10,Jon Kitna pass complete short right to Kevin Jones for 3 yards (tackle by Antonio Pierce),2.520,2.380
4,0:56,2,7,NYG 43,16,10,Jon Kitna pass incomplete intended for Shaun McDonald is intercepted by Sam Madison at NYG-30 and returned for 1 yard (tackle by Shaun McDonald),2.380,-1.000
4,0:48,1,10,NYG 31,16,10,Eli Manning kneels for -2 yards,1.000,0.190
4,0:24,2,12,NYG 29,16,10,Eli Manning kneels for -1 yards,0.190,-0.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
