Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
1,5:41,1,10,LVR 43,7,0,Patrick Mahomes scrambles right guard for 4 yards (tackle by Divine Deablo),2.720,2.720
1,5:01,2,6,LVR 39,7,0,Patrick Mahomes scrambles right tackle for 16 yards (tackle by Nate Hobbs),2.720,4.040
1,4:20,1,10,LVR 23,7,0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,4.040,3.500
1,4:16,2,10,LVR 23,7,0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by Rock Ya-Sin),3.500,2.810
1,4:11,3,10,LVR 23,7,0,Patrick Mahomes pass incomplete short middle,2.810,1.930
1,4:07,4,10,LVR 23,7,0,Matthew Wright 41 yard field goal no good,1.930,-1.000
1,4:03,1,10,LVR 31,7,0,Josh Jacobs right guard for 5 yards (tackle by Nick Bolton),1.000,1.140
1,3:29,2,5,LVR 36,7,0,Josh Jacobs left guard for 1 yard (tackle by Leo Chenal),1.140,0.560
1,2:47,3,4,LVR 37,7,0,Derek Carr pass complete short middle to Hunter Renfrow for 5 yards (tackle by L'Jarius Sneed),0.560,1.730
1,2:06,1,10,LVR 42,7,0,Josh Jacobs up the middle for 9 yards (tackle by Jaylen Watson and Juan Thornhill),1.730,2.400
1,1:26,2,1,KAN 49,7,0,Josh Jacobs left guard for 1 yard (tackle by Khalen Saunders and L'Jarius Sneed),2.400,2.390
1,0:56,1,10,KAN 48,7,0,Josh Jacobs left end for 1 yard (tackle by Khalen Saunders and Darius Harris),2.390,1.980
1,0:12,2,9,KAN 47,7,0,Derek Carr pass complete short right to Jakob Johnson for 5 yards (tackle by Darius Harris),1.980,1.950
Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,KAN 42,7,0,"Derek Carr pass incomplete deep right intended for Davante Adams. Penalty on Rashad Fenton: Defensive Pass Interference, 25 yards (accepted) (no play)",1.950,4.440
2,14:55,1,10,KAN 17,7,0,Zamir White left end for -7 yards (tackle by Frank Clark),4.440,2.950
2,14:14,2,17,KAN 24,7,0,"Derek Carr pass incomplete deep left intended for Davante Adams. Penalty on Jaylen Watson: Defensive Pass Interference, 23 yards (accepted) (no play)",2.950,6.970
2,14:08,1,1,KAN 1,7,0,Derek Carr pass incomplete short right intended for Mack Hollins,6.970,5.910
2,14:03,2,1,KAN 1,13,0,"Josh Jacobs up the middle for 1 yard, touchdown",5.910,7.000
2,14:00,,,KAN 15,14,0,Daniel Carlson kicks extra point good,0.000,0.000
2,14:00,,,LVR 35,14,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,14:00,1,10,KAN 25,14,0,Isiah Pacheco left end for no gain (tackle by Chandler Jones and Divine Deablo),0.610,0.060
2,13:22,2,10,KAN 25,14,0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Denzel Perryman),0.060,0.170
2,12:39,3,4,KAN 31,14,0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,0.170,-1.310
2,12:32,4,4,KAN 31,14,0,"Tommy Townsend punts 46 yards, fair catch by Keelan Cole at LV-23",-1.310,-0.480
2,12:25,1,10,LVR 23,14,0,Josh Jacobs right guard for 13 yards (tackle by Justin Reid),0.480,1.330
2,11:46,1,10,LVR 36,14,0,Josh Jacobs left guard for 21 yards (tackle by Justin Reid),1.330,2.720
2,10:58,1,10,KAN 43,14,0,Derek Carr pass incomplete short left intended for Davante Adams,2.720,2.180
2,10:54,2,10,KAN 43,14,0,Derek Carr pass complete short left to Hunter Renfrow for 2 yards (tackle by Darius Harris),2.180,1.750
2,10:16,3,8,KAN 41,14,0,Derek Carr pass complete short left to Josh Jacobs for 7 yards (tackle by Nick Bolton),1.750,1.100
2,9:27,,,,,,Timeout #1 by Las Vegas Raiders,,
2,9:27,4,1,KAN 34,17,0,Daniel Carlson 53 yard field goal good,1.100,3.000
2,9:22,,,LVR 35,17,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,9:22,1,10,KAN 25,17,0,Patrick Mahomes pass incomplete short right intended for Skyy Moore,0.610,0.060
2,9:16,2,10,KAN 25,17,0,Patrick Mahomes pass incomplete short right intended for JuJu Smith-Schuster,0.060,-0.620
2,9:12,3,10,KAN 25,17,0,"Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 18 yards (tackle by Nate Hobbs). Penalty on Chandler Jones: Defensive Offside, 5 yards (declined)",-0.620,1.800
2,8:44,1,10,KAN 43,17,0,Patrick Mahomes sacked by Maxx Crosby for -7 yards,1.800,0.310
2,8:05,2,17,KAN 36,17,0,Jerick McKinnon left end for 30 yards (tackle by Kendal Vickers and Nate Hobbs),0.310,3.310
2,7:28,1,10,LVR 34,17,0,Jerick McKinnon left end for 9 yards (tackle by Denzel Perryman and Nate Hobbs),3.310,3.990
2,6:53,2,1,LVR 25,17,0,Jerick McKinnon up the middle for 2 yards (tackle by Bilal Nichols and Denzel Perryman),3.990,4.040
2,6:15,1,10,LVR 23,17,0,Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 14 yards (tackle by Johnathan Abram),4.040,5.140
2,5:36,1,9,LVR 9,17,0,Patrick Mahomes pass complete short right to Mecole Hardman for 2 yards (tackle by Rock Ya-Sin),5.140,4.760
2,4:57,2,7,LVR 7,17,0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 6 yards (tackle by Blake Martinez),4.760,5.170
2,4:44,3,1,LVR 1,17,6,"Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard, touchdown",5.170,7.000
2,4:40,,,LVR 15,17,7,Matthew Wright kicks extra point good,0.000,0.000
2,4:40,,,KAN 35,17,7,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
2,4:40,1,10,LVR 25,17,7,Josh Jacobs up the middle for 8 yards (tackle by Derrick Nnadi and Darius Harris),0.610,1.140
2,3:59,2,2,LVR 33,17,7,"Josh Jacobs up the middle for no gain (tackle by Darius Harris). Penalty on Thayer Munford: Offensive Holding, 10 yards (accepted) (no play)",1.140,-0.210
2,3:35,2,12,LVR 23,17,7,Josh Jacobs right end for 6 yards (tackle by Leo Chenal),-0.210,-0.100
2,2:54,,,,,,Timeout #2 by Las Vegas Raiders,,
2,2:54,3,6,LVR 29,17,7,Derek Carr pass complete deep left to Davante Adams for 18 yards. Davante Adams fumbles (forced by L'Jarius Sneed),-0.100,1.860
2,2:30,1,10,LVR 44,17,7,Josh Jacobs right end for 2 yards (tackle by Khalen Saunders),1.860,1.590
2,2:00,2,8,LVR 46,17,7,Derek Carr pass complete short right to Josh Jacobs for no gain (tackle by Nick Bolton),1.590,0.890
2,1:13,3,8,LVR 46,17,7,"Derek Carr sacked by Chris Jones for no gain. Derek Carr fumbles (forced by Chris Jones), recovered by Chris Jones at LV-42 (tackle by Chris Jones). Penalty on Chris Jones: Roughing the Passer, 14 yards (accepted) (no play)",0.890,2.920
2,1:07,1,10,KAN 40,17,7,Josh Jacobs right tackle for 3 yards (tackle by Khalen Saunders),2.920,2.780
2,0:37,2,7,KAN 37,17,7,Derek Carr pass incomplete deep left intended for Mack Hollins,2.780,2.080
2,0:31,3,7,KAN 37,17,7,Josh Jacobs up the middle for 5 yards (tackle by L'Jarius Sneed and Bryan Cook),2.080,1.300
2,0:21,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:21,4,2,KAN 32,20,7,Daniel Carlson 50 yard field goal good,1.300,3.000
2,0:17,,,LVR 35,20,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:17,1,10,KAN 25,20,7,"Patrick Mahomes pass complete short right to Jerick McKinnon for 12 yards (tackle by Roderic Teamer). Penalty on Roderic Teamer: Face Mask (15 Yards), 15 yards (accepted)",0.610,2.390
2,0:12,1,10,LVR 48,20,7,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,2.390,1.850
2,0:07,2,10,LVR 48,20,7,Patrick Mahomes pass complete short right to Jerick McKinnon for 7 yards (tackle by Matthias Farley),1.850,2.080
2,0:03,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:03,3,3,LVR 41,20,10,Matthew Wright 59 yard field goal good,2.080,3.000
Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,20,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,20,10,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 8 yards (tackle by Amik Robertson),0.610,1.140
3,14:22,2,2,KAN 33,20,10,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Chandler Jones),1.140,1.330
3,13:48,1,10,KAN 36,20,10,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 10 yards (tackle by Divine Deablo),1.330,1.990
3,13:18,1,10,KAN 46,20,10,Clyde Edwards-Helaire right guard for 2 yards (tackle by Denzel Perryman),1.990,1.720
3,12:42,2,8,KAN 48,20,10,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.720,1.030
3,12:38,3,8,KAN 48,20,10,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 23 yards (tackle by Trevon Moehrig),1.030,3.640
3,12:11,1,10,LVR 29,20,10,Jerick McKinnon left guard for 4 yards (tackle by Divine Deablo),3.640,3.640
3,11:34,2,6,LVR 25,20,10,"Patrick Mahomes pass incomplete deep left intended for Mecole Hardman. Penalty on Trevon Moehrig: Illegal Contact, 5 yards (accepted) (no play)",3.640,4.240
3,11:29,1,10,LVR 20,20,10,Clyde Edwards-Helaire left guard for 2 yards (tackle by Neil Farrell),4.240,3.960
3,10:50,2,8,LVR 18,20,10,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 13 yards (tackle by Amik Robertson),3.960,6.060
3,10:12,1,5,LVR 5,20,10,Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard (tackle by Chandler Jones and Divine Deablo),6.060,5.340
3,9:33,2,4,LVR 4,20,10,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,5.340,4.490
3,9:29,3,4,LVR 4,20,16,"Patrick Mahomes pass complete short left to Travis Kelce for 4 yards, touchdown",4.490,7.000
3,9:25,,,LVR 15,20,17,Matthew Wright kicks extra point good,0.000,0.000
3,9:25,,,KAN 35,20,17,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
3,9:25,1,10,LVR 25,20,17,"Derek Carr pass complete short right to Josh Jacobs for no gain. Penalty on Mack Hollins: Offensive Pass Interference, 10 yards (accepted) (no play)",0.610,-0.410
3,8:55,1,20,LVR 15,20,17,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-0.410,-0.950
3,8:38,1,25,LVR 10,20,17,Derek Carr pass complete short right to Jesper Horsted for 6 yards (tackle by Darius Harris),-0.950,-1.290
3,7:54,2,19,LVR 16,20,17,"Derek Carr pass incomplete short left. Penalty on Derek Carr: Intentional Grounding, 8 yards (accepted)",-1.290,-3.410
3,7:48,3,27,LVR 8,20,17,Brandon Bolden right end for 5 yards (tackle by Nick Bolton),-3.410,-2.490
3,7:15,4,22,LVR 13,20,17,AJ Cole punts 44 yards out of bounds,-2.490,-1.800
3,7:04,1,10,KAN 43,20,17,Clyde Edwards-Helaire left end for 2 yards (tackle by Rock Ya-Sin and Divine Deablo),1.800,1.520
3,6:35,2,8,KAN 45,20,17,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,1.520,0.830
3,6:31,3,8,KAN 45,20,17,Patrick Mahomes pass complete deep right to Mecole Hardman for 28 yards (tackle by Johnathan Abram),0.830,3.780
3,5:55,1,10,LVR 27,20,17,Patrick Mahomes left end for 9 yards (tackle by Denzel Perryman),3.780,4.530
3,5:19,2,1,LVR 18,20,17,Jerick McKinnon left end for 2 yards (tackle by Denzel Perryman),4.530,4.510
3,4:38,1,10,LVR 16,20,17,"Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Sam Webb and Trevon Moehrig). Penalty on Sam Webb: Horse Collar Tackle, 2 yards (accepted)",4.510,6.970
3,4:13,1,1,LVR 1,20,17,Patrick Mahomes sacked by Denzel Perryman for -7 yards,6.970,4.570
3,3:29,2,8,LVR 8,20,23,"Patrick Mahomes pass complete short right to Travis Kelce for 8 yards, touchdown",4.570,7.000
3,3:20,,,LVR 15,20,24,Matthew Wright kicks extra point good,0.000,0.000
3,3:20,,,KAN 35,20,24,"Penalty on Divine Deablo: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,-2.260
3,3:20,1,10,KAN 50,20,24,"Matthew Wright kicks off 50 yards, returned by Ameer Abdullah for 16 yards (tackle by Elijah Lee and Jack Cochrane)",2.260,-0.140
3,3:14,1,10,LVR 16,20,24,Derek Carr pass complete short left to Jesper Horsted for 9 yards (tackle by Darius Harris),-0.140,0.690
3,2:36,2,1,LVR 25,20,24,Josh Jacobs up the middle for 2 yards (tackle by Derrick Nnadi and Leo Chenal),0.690,0.740
3,2:01,1,10,LVR 27,20,24,Josh Jacobs right tackle for 14 yards (tackle by Derrick Nnadi),0.740,1.660
3,1:21,1,10,LVR 41,20,24,Josh Jacobs right end for 37 yards (tackle by Darius Harris),1.660,4.110
3,0:41,1,10,KAN 22,20,24,Derek Carr sacked by Darius Harris for -11 yards,4.110,2.080
Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,21,KAN 33,20,24,Derek Carr pass complete short right to Jesper Horsted for 4 yards (tackle by Justin Reid),2.080,1.950
4,14:17,3,17,KAN 29,20,24,Derek Carr pass incomplete deep left intended for Mack Hollins (defended by Juan Thornhill),1.950,1.500
4,14:10,4,17,KAN 29,23,24,Daniel Carlson 47 yard field goal good,1.500,3.000
4,14:05,,,LVR 35,23,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,14:05,1,10,KAN 25,23,24,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 16 yards (tackle by Nate Hobbs),0.610,1.660
4,13:28,1,10,KAN 41,23,24,Jerick McKinnon left end for 7 yards (tackle by Divine Deablo),1.660,2.070
4,12:52,2,3,KAN 48,23,24,Jerick McKinnon left end for -2 yards (tackle by Maxx Crosby),2.070,1.090
4,12:10,3,5,KAN 46,23,24,"Penalty on Jerick McKinnon: False Start, 5 yards (accepted) (no play)",1.090,0.430
4,12:09,3,10,KAN 41,23,24,"Patrick Mahomes pass complete short middle to Travis Kelce for no gain (tackle by Nate Hobbs). Penalty on Travis Kelce: Illegal Motion, 5 yards (accepted) (no play)",0.430,-0.230
4,11:44,3,15,KAN 36,23,24,"Patrick Mahomes pass complete deep left to Mecole Hardman for 36 yards (tackle by Duron Harmon). Penalty on Clelin Ferrell: Illegal Use of Hands / Defense, 5 yards (declined)",-0.230,3.710
4,11:30,1,10,LVR 28,23,24,Patrick Mahomes pass complete short right to Noah Gray for 7 yards (tackle by Nate Hobbs),3.710,4.110
4,10:51,2,3,LVR 21,23,24,Mecole Hardman left end for 7 yards (tackle by Nate Hobbs),4.110,4.650
4,10:20,1,10,LVR 14,23,24,Clyde Edwards-Helaire up the middle for -4 yards (tackle by Bilal Nichols and Divine Deablo),4.650,3.480
4,9:38,2,14,LVR 18,23,24,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,3.480,2.840
4,9:34,3,14,LVR 18,23,24,Patrick Mahomes pass incomplete deep right intended for JuJu Smith-Schuster,2.840,2.250
4,9:28,4,14,LVR 18,23,24,"Matthew Wright yard field goal no good. Penalty on Malcolm Koonce: Defensive Holding, 5 yards (accepted) (no play)",2.250,4.710
4,9:25,1,10,LVR 13,23,24,Jerick McKinnon left end for 1 yard (tackle by Divine Deablo),4.710,4.220
4,8:41,2,9,LVR 12,23,24,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Duron Harmon),4.220,4.780
4,8:06,3,2,LVR 5,23,24,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 4 yards (tackle by Rock Ya-Sin),4.780,6.970
4,7:30,1,1,LVR 1,23,30,"Patrick Mahomes pass complete short left to Travis Kelce for 1 yard, touchdown",6.970,7.000
4,7:25,,,LVR 2,23,30,Two Point Attempt: Patrick Mahomes pass incomplete,1.000,-1.000
4,7:25,,,KAN 35,23,30,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
4,7:25,1,10,LVR 25,23,30,Derek Carr pass complete short right to Josh Jacobs for 13 yards (tackle by Justin Reid),0.610,1.470
4,6:42,1,10,LVR 38,23,30,Derek Carr pass incomplete short right intended for Davante Adams,1.470,0.920
4,6:39,2,10,LVR 38,23,30,Derek Carr pass complete short left to Josh Jacobs for 5 yards (tackle by Darius Harris),0.920,0.890
4,6:02,3,5,LVR 43,23,30,Derek Carr pass complete short right to Brandon Bolden for 5 yards (tackle by L'Jarius Sneed),0.890,2.130
4,5:22,1,10,LVR 48,23,30,Josh Jacobs right end for 1 yard (tackle by Nick Bolton),2.130,1.720
4,4:41,2,9,LVR 49,23,30,Derek Carr scrambles right end for 3 yards (tackle by Rashad Fenton),1.720,1.420
4,4:34,3,6,KAN 48,29,30,"Derek Carr pass complete deep right to Davante Adams for 48 yards, touchdown",1.420,7.000
4,4:27,,,KAN 2,29,30,"Two Point Attempt: Josh Jacobs rushes, conversion fails.",1.000,-1.000
4,4:27,,,LVR 35,29,30,"Daniel Carlson kicks off 53 yards, returned by Skyy Moore for 19 yards (tackle by Curtis Bolton)",0.000,1.000
4,4:21,1,10,KAN 31,29,30,Patrick Mahomes pass complete short right to Skyy Moore for 8 yards (tackle by Trevon Moehrig),1.000,1.540
4,3:40,2,2,KAN 39,29,30,Clyde Edwards-Helaire right guard for 8 yards (tackle by Duron Harmon),1.540,2.060
4,2:54,1,10,KAN 47,29,30,Patrick Mahomes pass complete short right to Skyy Moore for 7 yards (tackle by Trevon Moehrig),2.060,2.460
4,2:44,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:44,2,3,LVR 46,29,30,Clyde Edwards-Helaire right end for no gain (tackle by Divine Deablo),2.460,1.750
4,2:40,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:40,3,3,LVR 46,29,30,Patrick Mahomes pass incomplete deep right intended for Mecole Hardman,1.750,0.200
4,2:36,4,3,LVR 46,29,30,"Tommy Townsend punts 39 yards, fair catch by Keelan Cole at LV-7",0.200,0.380
4,2:29,1,10,LVR 7,29,30,Josh Jacobs up the middle for 8 yards (tackle by Malik Herring),-0.380,-0.140
4,2:07,2,2,LVR 15,29,30,Josh Jacobs up the middle for 8 yards (tackle by L'Jarius Sneed),-0.140,0.480
4,2:00,1,10,LVR 23,29,30,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Nick Bolton),0.480,1.150
4,1:37,2,1,LVR 32,29,30,Derek Carr pass incomplete short right,1.150,0.430
4,1:32,3,1,LVR 32,29,30,Josh Jacobs up the middle for 5 yards (tackle by Nick Bolton and Deon Bush),0.430,1.400
4,1:08,1,10,LVR 37,29,30,Derek Carr pass incomplete short right,1.400,0.860
4,1:01,2,10,LVR 37,29,30,Derek Carr pass complete short right to Hunter Renfrow for 9 yards (tackle by Jaylen Watson),0.860,1.360
4,0:51,,,,,,Timeout #3 by Las Vegas Raiders,,
4,0:51,3,1,LVR 46,29,30,"Derek Carr pass complete to Davante Adams for no gain Replay Assistant challenged the pass completion ruling, and the original play was overturned. Derek Carr pass incomplete short right intended for Davante Adams",1.360,-0.320
4,0:47,4,1,LVR 46,29,30,Derek Carr pass incomplete deep middle intended for Davante Adams,-0.320,-2.590
4,0:41,1,10,LVR 45,29,30,Patrick Mahomes kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
