Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Nate Hobbs,LVR,0,9,8,88.9%,120,15.0,13.3,1,155.8,8.3,73,47,0,0,0,0.0,0,9,2,18.2%
Denzel Perryman,LVR,0,4,4,100.0%,25,6.3,6.3,1,132.3,1.5,6,19,7,0,0,1.0,1,8,4,33.3%
Amik Robertson,LVR,0,4,4,100.0%,56,14.0,14.0,0,118.7,8.8,35,21,0,0,0,0.0,0,3,1,25.0%
Divine Deablo,LVR,0,6,4,66.7%,21,5.3,3.5,0,72.2,1.7,4,17,11,0,0,0.0,0,10,1,9.1%
Johnathan Abram,LVR,0,3,2,66.7%,24,12.0,8.0,0,91.0,7.3,16,8,5,0,1,0.0,1,3,1,25.0%
Sam Webb,LVR,0,4,2,50.0%,20,10.0,5.0,0,64.6,8.3,8,12,0,0,0,0.0,0,1,0,0.0%
Tre'von Moehrig,LVR,0,4,1,25.0%,1,1.0,0.3,1,79.2,12.0,1,0,3,1,0,0.0,1,4,2,33.3%
Rock Ya-Sin,LVR,0,4,1,25.0%,2,2.0,0.5,0,39.6,10.3,-6,8,0,0,0,0.0,0,3,2,40.0%
Roderic Teamer,LVR,0,1,1,100.0%,12,12.0,12.0,0,116.7,2.0,2,10,0,0,0,0.0,0,1,0,0.0%
Matthias Farley,LVR,0,1,1,100.0%,7,7.0,7.0,0,95.8,0.0,0,7,0,0,0,0.0,0,1,0,0.0%
Javelin Guidry,LVR,0,1,1,100.0%,4,4.0,4.0,1,122.9,3.0,3,1,0,0,0,0.0,0,0,1,100.0%
Blake Martinez,LVR,0,1,1,100.0%,6,6.0,6.0,0,91.7,6.0,6,0,0,0,0,0.0,0,1,0,0.0%
Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,1,0,2.0,3,4,1,20.0%
Chandler Jones,LVR,0,1,0,0.0%,,,0.0,,39.6,-1.0,,,16,1,1,0.0,2,4,2,33.3%
Bilal Nichols,LVR,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%
Andrew Billings,LVR,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,2,100.0%
Clelin Ferrell,LVR,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
L'Jarius Sneed,KAN,0,6,5,83.3%,53,10.6,8.8,0,103.5,5.3,24,29,3,0,0,0.0,0,7,1,12.5%
Nick Bolton,KAN,0,4,4,100.0%,30,7.5,7.5,0,97.9,2.0,8,22,2,0,1,0.0,1,9,0,0.0%
Jaylen Watson,KAN,0,6,4,66.7%,68,17.0,11.3,1,144.4,23.2,65,3,1,0,0,0.0,0,2,1,33.3%
Darius Harris,KAN,0,3,3,100.0%,20,6.7,6.7,0,94.4,1.0,3,17,4,0,0,1.0,1,10,0,0.0%
Rashad Fenton,KAN,0,3,2,66.7%,63,31.5,21.0,1,149.3,12.7,37,26,2,1,0,0.0,1,2,2,50.0%
Justin Reid,KAN,0,3,2,66.7%,16,8.0,5.3,0,79.9,6.0,11,5,4,0,0,0.0,0,4,1,20.0%
Bryan Cook,KAN,0,1,1,100.0%,48,48.0,48.0,1,158.3,48.0,48,0,1,0,0,0.0,0,2,0,0.0%
Chris Jones,KAN,0,0,0,,,,,,,,,,0,3,2,0.0,5,0,0,
Frank Clark,KAN,0,0,0,,,,,,,,,,0,1,1,0.5,3,2,0,0.0%
George Karlaftis III,KAN,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%
Khalen Saunders,KAN,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,1,20.0%
Leo Chenal,KAN,0,0,0,,,,,,,,,,4,0,0,0.0,0,3,1,25.0%
Juan Thornhill,KAN,0,1,0,0.0%,,,0.0,,39.6,29.0,,,0,0,0,0.0,0,1,2,66.7%
Derrick Nnadi,KAN,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
Deon Bush,KAN,0,1,0,0.0%,,,0.0,,39.6,15.0,,,1,0,0,0.0,0,1,0,0.0%
Joshua Williams,KAN,0,1,0,0.0%,,,0.0,,39.6,24.0,,,0,0,0,0.0,0,0,0,
